1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8000000033817F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:48:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:18:01 CST 2014
Total Mission Samples:  2054
Total Device Samples:  9010
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:18:01,C,24.922
23/06/14 10:23:01,C,25.109
23/06/14 10:28:01,C,25.297
23/06/14 10:33:01,C,25.359
23/06/14 10:38:01,C,25.484
23/06/14 10:43:01,C,25.672
23/06/14 10:48:01,C,25.547
23/06/14 10:53:01,C,25.797
23/06/14 10:58:01,C,25.984
23/06/14 11:03:01,C,26.297
23/06/14 11:08:01,C,26.359
23/06/14 11:13:01,C,26.422
23/06/14 11:18:01,C,26.547
23/06/14 11:23:01,C,26.547
23/06/14 11:28:01,C,26.547
23/06/14 11:33:01,C,26.359
23/06/14 11:38:01,C,26.172
23/06/14 11:43:01,C,25.984
23/06/14 11:48:01,C,26.172
23/06/14 11:53:01,C,25.984
23/06/14 11:58:01,C,25.797
23/06/14 12:03:01,C,25.547
23/06/14 12:08:01,C,25.484
23/06/14 12:13:01,C,25.109
23/06/14 12:18:01,C,24.547
23/06/14 12:23:01,C,23.984
23/06/14 12:28:01,C,23.797
23/06/14 12:33:01,C,23.672
23/06/14 12:38:01,C,23.734
23/06/14 12:43:01,C,23.734
23/06/14 12:48:01,C,23.672
23/06/14 12:53:01,C,23.797
23/06/14 12:58:01,C,23.797
23/06/14 13:03:01,C,23.797
23/06/14 13:08:01,C,23.859
23/06/14 13:13:01,C,23.859
23/06/14 13:18:01,C,23.922
23/06/14 13:23:01,C,23.922
23/06/14 13:28:01,C,23.922
23/06/14 13:33:01,C,23.922
23/06/14 13:38:01,C,23.859
23/06/14 13:43:01,C,23.984
23/06/14 13:48:01,C,24.172
23/06/14 13:53:01,C,24.359
23/06/14 13:58:01,C,24.547
23/06/14 14:03:01,C,24.609
23/06/14 14:08:01,C,24.734
23/06/14 14:13:01,C,24.672
23/06/14 14:18:01,C,24.797
23/06/14 14:23:01,C,24.859
23/06/14 14:28:01,C,24.922
23/06/14 14:33:01,C,24.984
23/06/14 14:38:01,C,25.109
23/06/14 14:43:01,C,25.109
23/06/14 14:48:01,C,25.047
23/06/14 14:53:01,C,24.859
23/06/14 14:58:01,C,24.734
23/06/14 15:03:01,C,24.609
23/06/14 15:08:01,C,24.484
23/06/14 15:13:01,C,24.422
23/06/14 15:18:01,C,24.422
23/06/14 15:23:01,C,24.422
23/06/14 15:28:01,C,24.422
23/06/14 15:33:01,C,24.422
23/06/14 15:38:01,C,24.359
23/06/14 15:43:01,C,24.422
23/06/14 15:48:01,C,24.422
23/06/14 15:53:01,C,24.422
23/06/14 15:58:01,C,24.359
23/06/14 16:03:01,C,24.297
23/06/14 16:08:01,C,23.984
23/06/14 16:13:01,C,23.609
23/06/14 16:18:01,C,23.422
23/06/14 16:23:01,C,23.297
23/06/14 16:28:01,C,23.047
23/06/14 16:33:01,C,22.922
23/06/14 16:38:01,C,22.734
23/06/14 16:43:01,C,22.422
23/06/14 16:48:01,C,22.484
23/06/14 16:53:01,C,22.484
23/06/14 16:58:01,C,22.359
23/06/14 17:03:01,C,22.296
23/06/14 17:08:01,C,22.296
23/06/14 17:13:01,C,22.171
23/06/14 17:18:01,C,22.109
23/06/14 17:23:01,C,22.046
23/06/14 17:28:01,C,22.046
23/06/14 17:33:01,C,21.984
23/06/14 17:38:01,C,21.984
23/06/14 17:43:01,C,21.921
23/06/14 17:48:01,C,21.859
23/06/14 17:53:01,C,21.859
23/06/14 17:58:01,C,21.796
23/06/14 18:03:01,C,21.796
23/06/14 18:08:01,C,21.796
23/06/14 18:13:01,C,21.734
23/06/14 18:18:01,C,21.671
23/06/14 18:23:01,C,21.671
23/06/14 18:28:01,C,21.671
23/06/14 18:33:01,C,21.671
23/06/14 18:38:01,C,21.734
23/06/14 18:43:01,C,21.734
23/06/14 18:48:01,C,21.734
23/06/14 18:53:01,C,21.796
23/06/14 18:58:01,C,21.796
23/06/14 19:03:01,C,21.734
23/06/14 19:08:01,C,21.796
23/06/14 19:13:01,C,21.796
23/06/14 19:18:01,C,21.796
23/06/14 19:23:01,C,21.796
23/06/14 19:28:01,C,21.796
23/06/14 19:33:01,C,21.734
23/06/14 19:38:01,C,21.734
23/06/14 19:43:01,C,21.734
23/06/14 19:48:01,C,21.671
23/06/14 19:53:01,C,21.671
23/06/14 19:58:01,C,21.609
23/06/14 20:03:01,C,21.609
23/06/14 20:08:01,C,21.609
23/06/14 20:13:01,C,21.609
23/06/14 20:18:01,C,21.546
23/06/14 20:23:01,C,21.546
23/06/14 20:28:01,C,21.484
23/06/14 20:33:01,C,21.484
23/06/14 20:38:01,C,21.421
23/06/14 20:43:01,C,21.421
23/06/14 20:48:01,C,21.421
23/06/14 20:53:01,C,21.421
23/06/14 20:58:01,C,21.421
23/06/14 21:03:01,C,21.359
23/06/14 21:08:01,C,21.421
23/06/14 21:13:01,C,21.421
23/06/14 21:18:01,C,21.359
23/06/14 21:23:01,C,21.296
23/06/14 21:28:01,C,21.296
23/06/14 21:33:01,C,21.234
23/06/14 21:38:01,C,21.171
23/06/14 21:43:01,C,21.171
23/06/14 21:48:01,C,21.171
23/06/14 21:53:01,C,21.234
23/06/14 21:58:01,C,21.171
23/06/14 22:03:01,C,21.108
23/06/14 22:08:01,C,21.046
23/06/14 22:13:01,C,21.108
23/06/14 22:18:01,C,21.046
23/06/14 22:23:01,C,20.983
23/06/14 22:28:01,C,20.983
23/06/14 22:33:01,C,20.983
23/06/14 22:38:01,C,20.921
23/06/14 22:43:01,C,20.858
23/06/14 22:48:01,C,20.796
23/06/14 22:53:01,C,20.796
23/06/14 22:58:01,C,20.796
23/06/14 23:03:01,C,20.796
23/06/14 23:08:01,C,20.858
23/06/14 23:13:01,C,20.796
23/06/14 23:18:01,C,20.733
23/06/14 23:23:01,C,20.733
23/06/14 23:28:01,C,20.608
23/06/14 23:33:01,C,20.608
23/06/14 23:38:01,C,20.608
23/06/14 23:43:01,C,20.608
23/06/14 23:48:01,C,20.608
23/06/14 23:53:01,C,20.608
23/06/14 23:58:01,C,20.546
24/06/14 00:03:01,C,20.483
24/06/14 00:08:01,C,20.483
24/06/14 00:13:01,C,20.483
24/06/14 00:18:01,C,20.483
24/06/14 00:23:01,C,20.421
24/06/14 00:28:01,C,20.358
24/06/14 00:33:01,C,20.296
24/06/14 00:38:01,C,20.233
24/06/14 00:43:01,C,20.108
24/06/14 00:48:01,C,20.108
24/06/14 00:53:01,C,20.045
24/06/14 00:58:01,C,19.983
24/06/14 01:03:01,C,19.983
24/06/14 01:08:01,C,19.92
24/06/14 01:13:01,C,19.983
24/06/14 01:18:01,C,19.92
24/06/14 01:23:01,C,19.858
24/06/14 01:28:01,C,19.858
24/06/14 01:33:01,C,19.795
24/06/14 01:38:01,C,19.795
24/06/14 01:43:01,C,19.795
24/06/14 01:48:01,C,19.795
24/06/14 01:53:01,C,19.733
24/06/14 01:58:01,C,19.67
24/06/14 02:03:01,C,19.608
24/06/14 02:08:01,C,19.608
24/06/14 02:13:01,C,19.608
24/06/14 02:18:01,C,19.545
24/06/14 02:23:01,C,19.545
24/06/14 02:28:01,C,19.545
24/06/14 02:33:01,C,19.482
24/06/14 02:38:01,C,19.42
24/06/14 02:43:01,C,19.357
24/06/14 02:48:01,C,19.295
24/06/14 02:53:01,C,19.357
24/06/14 02:58:01,C,19.357
24/06/14 03:03:01,C,19.357
24/06/14 03:08:01,C,19.357
24/06/14 03:13:01,C,19.357
24/06/14 03:18:01,C,19.295
24/06/14 03:23:01,C,19.295
24/06/14 03:28:01,C,19.232
24/06/14 03:33:01,C,19.17
24/06/14 03:38:01,C,19.17
24/06/14 03:43:01,C,19.107
24/06/14 03:48:01,C,19.107
24/06/14 03:53:01,C,19.107
24/06/14 03:58:01,C,19.045
24/06/14 04:03:01,C,18.982
24/06/14 04:08:01,C,18.982
24/06/14 04:13:01,C,18.982
24/06/14 04:18:01,C,18.92
24/06/14 04:23:01,C,18.92
24/06/14 04:28:01,C,18.92
24/06/14 04:33:01,C,18.92
24/06/14 04:38:01,C,18.982
24/06/14 04:43:01,C,18.982
24/06/14 04:48:01,C,18.982
24/06/14 04:53:01,C,19.045
24/06/14 04:58:01,C,18.982
24/06/14 05:03:01,C,18.982
24/06/14 05:08:01,C,19.045
24/06/14 05:13:01,C,19.045
24/06/14 05:18:01,C,18.982
24/06/14 05:23:01,C,18.982
24/06/14 05:28:01,C,18.92
24/06/14 05:33:01,C,18.92
24/06/14 05:38:01,C,18.857
