1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3300000033798C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:49:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:19:01 CST 2014
Total Mission Samples:  2054
Total Device Samples:  9008
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:19:01,C,25.078
23/06/14 10:24:01,C,25.266
23/06/14 10:29:01,C,25.453
23/06/14 10:34:01,C,25.453
23/06/14 10:39:01,C,25.641
23/06/14 10:44:01,C,25.766
23/06/14 10:49:01,C,25.703
23/06/14 10:54:01,C,25.953
23/06/14 10:59:01,C,26.14
23/06/14 11:04:01,C,26.39
23/06/14 11:09:01,C,26.515
23/06/14 11:14:01,C,26.64
23/06/14 11:19:01,C,26.578
23/06/14 11:24:01,C,26.703
23/06/14 11:29:01,C,26.64
23/06/14 11:34:01,C,26.515
23/06/14 11:39:01,C,26.203
23/06/14 11:44:01,C,26.078
23/06/14 11:49:01,C,26.203
23/06/14 11:54:01,C,26.078
23/06/14 11:59:01,C,25.828
23/06/14 12:04:01,C,25.578
23/06/14 12:09:01,C,25.453
23/06/14 12:14:01,C,25.078
23/06/14 12:19:01,C,24.453
23/06/14 12:24:01,C,24.016
23/06/14 12:29:01,C,23.891
23/06/14 12:34:01,C,23.766
23/06/14 12:39:01,C,23.828
23/06/14 12:44:01,C,23.766
23/06/14 12:49:01,C,23.703
23/06/14 12:54:01,C,23.828
23/06/14 12:59:01,C,23.891
23/06/14 13:04:01,C,23.891
23/06/14 13:09:01,C,23.891
23/06/14 13:14:01,C,23.953
23/06/14 13:19:01,C,23.953
23/06/14 13:24:01,C,23.953
23/06/14 13:29:01,C,23.953
23/06/14 13:34:01,C,23.953
23/06/14 13:39:01,C,23.953
23/06/14 13:44:01,C,24.078
23/06/14 13:49:01,C,24.266
23/06/14 13:54:01,C,24.453
23/06/14 13:59:01,C,24.578
23/06/14 14:04:01,C,24.703
23/06/14 14:09:01,C,24.828
23/06/14 14:14:01,C,24.828
23/06/14 14:19:01,C,24.891
23/06/14 14:24:01,C,24.953
23/06/14 14:29:01,C,25.016
23/06/14 14:34:01,C,25.078
23/06/14 14:39:01,C,25.203
23/06/14 14:44:01,C,25.141
23/06/14 14:49:01,C,25.078
23/06/14 14:54:01,C,24.828
23/06/14 14:59:01,C,24.766
23/06/14 15:04:01,C,24.578
23/06/14 15:09:01,C,24.516
23/06/14 15:14:01,C,24.453
23/06/14 15:19:01,C,24.453
23/06/14 15:24:01,C,24.516
23/06/14 15:29:01,C,24.453
23/06/14 15:34:01,C,24.453
23/06/14 15:39:01,C,24.453
23/06/14 15:44:01,C,24.453
23/06/14 15:49:01,C,24.453
23/06/14 15:54:01,C,24.453
23/06/14 15:59:01,C,24.391
23/06/14 16:04:01,C,24.328
23/06/14 16:09:01,C,23.891
23/06/14 16:14:01,C,23.64
23/06/14 16:19:01,C,23.39
23/06/14 16:24:01,C,23.328
23/06/14 16:29:01,C,23.078
23/06/14 16:34:01,C,23.015
23/06/14 16:39:01,C,22.702
23/06/14 16:44:01,C,22.452
23/06/14 16:49:01,C,22.515
23/06/14 16:54:01,C,22.515
23/06/14 16:59:01,C,22.39
23/06/14 17:04:01,C,22.327
23/06/14 17:09:01,C,22.327
23/06/14 17:14:01,C,22.202
23/06/14 17:19:01,C,22.202
23/06/14 17:24:01,C,22.077
23/06/14 17:29:01,C,22.077
23/06/14 17:34:01,C,22.077
23/06/14 17:39:01,C,22.014
23/06/14 17:44:01,C,21.952
23/06/14 17:49:01,C,21.889
23/06/14 17:54:01,C,21.889
23/06/14 17:59:01,C,21.827
23/06/14 18:04:01,C,21.827
23/06/14 18:09:01,C,21.827
23/06/14 18:14:01,C,21.764
23/06/14 18:19:01,C,21.702
23/06/14 18:24:01,C,21.702
23/06/14 18:29:01,C,21.702
23/06/14 18:34:01,C,21.764
23/06/14 18:39:01,C,21.764
23/06/14 18:44:01,C,21.827
23/06/14 18:49:01,C,21.827
23/06/14 18:54:01,C,21.827
23/06/14 18:59:01,C,21.827
23/06/14 19:04:01,C,21.827
23/06/14 19:09:01,C,21.827
23/06/14 19:14:01,C,21.827
23/06/14 19:19:01,C,21.827
23/06/14 19:24:01,C,21.827
23/06/14 19:29:01,C,21.827
23/06/14 19:34:01,C,21.827
23/06/14 19:39:01,C,21.764
23/06/14 19:44:01,C,21.764
23/06/14 19:49:01,C,21.702
23/06/14 19:54:01,C,21.702
23/06/14 19:59:01,C,21.702
23/06/14 20:04:01,C,21.702
23/06/14 20:09:01,C,21.702
23/06/14 20:14:01,C,21.639
23/06/14 20:19:01,C,21.639
23/06/14 20:24:01,C,21.577
23/06/14 20:29:01,C,21.514
23/06/14 20:34:01,C,21.514
23/06/14 20:39:01,C,21.451
23/06/14 20:44:01,C,21.451
