1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000003377A741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:44:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:19:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  12010
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:19:01,C,25.109
23/06/14 10:24:01,C,25.297
23/06/14 10:29:01,C,25.484
23/06/14 10:34:01,C,25.422
23/06/14 10:39:01,C,25.672
23/06/14 10:44:01,C,25.797
23/06/14 10:49:01,C,25.734
23/06/14 10:54:01,C,25.984
23/06/14 10:59:01,C,26.234
23/06/14 11:04:01,C,26.422
23/06/14 11:09:01,C,26.546
23/06/14 11:14:01,C,26.609
23/06/14 11:19:01,C,26.609
23/06/14 11:24:01,C,26.671
23/06/14 11:29:01,C,26.609
23/06/14 11:34:01,C,26.546
23/06/14 11:39:01,C,26.234
23/06/14 11:44:01,C,26.109
23/06/14 11:49:01,C,26.172
23/06/14 11:54:01,C,26.109
23/06/14 11:59:01,C,25.859
23/06/14 12:04:01,C,25.609
23/06/14 12:09:01,C,25.422
23/06/14 12:14:01,C,25.109
23/06/14 12:19:01,C,24.484
23/06/14 12:24:01,C,24.047
23/06/14 12:29:01,C,23.859
23/06/14 12:34:01,C,23.734
23/06/14 12:39:01,C,23.797
23/06/14 12:44:01,C,23.797
23/06/14 12:49:01,C,23.734
23/06/14 12:54:01,C,23.859
23/06/14 12:59:01,C,23.859
23/06/14 13:04:01,C,23.859
23/06/14 13:09:01,C,23.922
23/06/14 13:14:01,C,23.922
23/06/14 13:19:01,C,23.984
23/06/14 13:24:01,C,23.984
23/06/14 13:29:01,C,23.984
23/06/14 13:34:01,C,23.984
23/06/14 13:39:01,C,23.984
23/06/14 13:44:01,C,24.047
23/06/14 13:49:01,C,24.297
23/06/14 13:54:01,C,24.422
23/06/14 13:59:01,C,24.609
23/06/14 14:04:01,C,24.734
23/06/14 14:09:01,C,24.859
23/06/14 14:14:01,C,24.797
23/06/14 14:19:01,C,24.922
23/06/14 14:24:01,C,24.922
23/06/14 14:29:01,C,24.984
23/06/14 14:34:01,C,25.109
23/06/14 14:39:01,C,25.234
23/06/14 14:44:01,C,25.172
23/06/14 14:49:01,C,25.047
23/06/14 14:54:01,C,24.859
23/06/14 14:59:01,C,24.797
23/06/14 15:04:01,C,24.609
23/06/14 15:09:01,C,24.484
23/06/14 15:14:01,C,24.484
23/06/14 15:19:01,C,24.484
23/06/14 15:24:01,C,24.484
23/06/14 15:29:01,C,24.484
23/06/14 15:34:01,C,24.484
23/06/14 15:39:01,C,24.484
23/06/14 15:44:01,C,24.484
23/06/14 15:49:01,C,24.484
23/06/14 15:54:01,C,24.484
23/06/14 15:59:01,C,24.422
23/06/14 16:04:01,C,24.297
23/06/14 16:09:01,C,23.922
23/06/14 16:14:01,C,23.672
23/06/14 16:19:01,C,23.422
23/06/14 16:24:01,C,23.359
23/06/14 16:29:01,C,23.109
23/06/14 16:34:01,C,22.984
23/06/14 16:39:01,C,22.734
23/06/14 16:44:01,C,22.484
23/06/14 16:49:01,C,22.546
23/06/14 16:54:01,C,22.484
23/06/14 16:59:01,C,22.421
23/06/14 17:04:01,C,22.359
23/06/14 17:09:01,C,22.296
23/06/14 17:14:01,C,22.234
23/06/14 17:19:01,C,22.171
23/06/14 17:24:01,C,22.109
23/06/14 17:29:01,C,22.109
23/06/14 17:34:01,C,22.046
23/06/14 17:39:01,C,22.046
23/06/14 17:44:01,C,21.983
23/06/14 17:49:01,C,21.921
23/06/14 17:54:01,C,21.921
23/06/14 17:59:01,C,21.858
23/06/14 18:04:01,C,21.858
23/06/14 18:09:01,C,21.858
23/06/14 18:14:01,C,21.796
23/06/14 18:19:01,C,21.733
23/06/14 18:24:01,C,21.733
23/06/14 18:29:01,C,21.733
23/06/14 18:34:01,C,21.733
23/06/14 18:39:01,C,21.796
23/06/14 18:44:01,C,21.796
23/06/14 18:49:01,C,21.796
23/06/14 18:54:01,C,21.796
23/06/14 18:59:01,C,21.858
23/06/14 19:04:01,C,21.796
23/06/14 19:09:01,C,21.858
23/06/14 19:14:01,C,21.858
23/06/14 19:19:01,C,21.858
23/06/14 19:24:01,C,21.858
23/06/14 19:29:01,C,21.858
23/06/14 19:34:01,C,21.796
23/06/14 19:39:01,C,21.796
23/06/14 19:44:01,C,21.796
23/06/14 19:49:01,C,21.733
23/06/14 19:54:01,C,21.733
23/06/14 19:59:01,C,21.671
23/06/14 20:04:01,C,21.671
23/06/14 20:09:01,C,21.671
23/06/14 20:14:01,C,21.671
23/06/14 20:19:01,C,21.608
23/06/14 20:24:01,C,21.608
23/06/14 20:29:01,C,21.546
23/06/14 20:34:01,C,21.546
23/06/14 20:39:01,C,21.483
23/06/14 20:44:01,C,21.483
23/06/14 20:49:01,C,21.483
23/06/14 20:54:01,C,21.483
23/06/14 20:59:01,C,21.421
23/06/14 21:04:01,C,21.421
23/06/14 21:09:01,C,21.421
23/06/14 21:14:01,C,21.483
23/06/14 21:19:01,C,21.421
23/06/14 21:24:01,C,21.358
23/06/14 21:29:01,C,21.295
23/06/14 21:34:01,C,21.295
23/06/14 21:39:01,C,21.233
23/06/14 21:44:01,C,21.233
23/06/14 21:49:01,C,21.233
23/06/14 21:54:01,C,21.233
23/06/14 21:59:01,C,21.17
23/06/14 22:04:01,C,21.17
23/06/14 22:09:01,C,21.108
23/06/14 22:14:01,C,21.108
23/06/14 22:19:01,C,21.108
23/06/14 22:24:01,C,21.045
23/06/14 22:29:01,C,20.983
23/06/14 22:34:01,C,20.983
23/06/14 22:39:01,C,20.983
23/06/14 22:44:01,C,20.92
23/06/14 22:49:01,C,20.858
23/06/14 22:54:01,C,20.858
23/06/14 22:59:01,C,20.858
23/06/14 23:04:01,C,20.858
23/06/14 23:09:01,C,20.92
23/06/14 23:14:01,C,20.858
23/06/14 23:19:01,C,20.795
23/06/14 23:24:01,C,20.732
23/06/14 23:29:01,C,20.67
23/06/14 23:34:01,C,20.67
23/06/14 23:39:01,C,20.67
23/06/14 23:44:01,C,20.607
23/06/14 23:49:01,C,20.607
23/06/14 23:54:01,C,20.607
23/06/14 23:59:01,C,20.607
24/06/14 00:04:01,C,20.545
24/06/14 00:09:01,C,20.482
24/06/14 00:14:01,C,20.545
24/06/14 00:19:01,C,20.545
24/06/14 00:24:01,C,20.482
24/06/14 00:29:01,C,20.42
24/06/14 00:34:01,C,20.357
24/06/14 00:39:01,C,20.232
24/06/14 00:44:01,C,20.169
24/06/14 00:49:01,C,20.169
24/06/14 00:54:01,C,20.107
24/06/14 00:59:01,C,20.044
24/06/14 01:04:01,C,20.044
24/06/14 01:09:01,C,19.982
24/06/14 01:14:01,C,19.982
24/06/14 01:19:01,C,19.982
24/06/14 01:24:01,C,19.919
24/06/14 01:29:01,C,19.857
24/06/14 01:34:01,C,19.857
24/06/14 01:39:01,C,19.857
24/06/14 01:44:01,C,19.857
24/06/14 01:49:01,C,19.794
24/06/14 01:54:01,C,19.794
24/06/14 01:59:01,C,19.731
24/06/14 02:04:01,C,19.669
24/06/14 02:09:01,C,19.669
24/06/14 02:14:01,C,19.606
24/06/14 02:19:01,C,19.606
24/06/14 02:24:01,C,19.606
24/06/14 02:29:01,C,19.606
24/06/14 02:34:01,C,19.544
24/06/14 02:39:01,C,19.481
24/06/14 02:44:01,C,19.356
24/06/14 02:49:01,C,19.356
24/06/14 02:54:01,C,19.356
24/06/14 02:59:01,C,19.356
24/06/14 03:04:01,C,19.356
24/06/14 03:09:01,C,19.356
24/06/14 03:14:01,C,19.356
24/06/14 03:19:01,C,19.356
24/06/14 03:24:01,C,19.356
24/06/14 03:29:01,C,19.293
24/06/14 03:34:01,C,19.231
24/06/14 03:39:01,C,19.231
24/06/14 03:44:01,C,19.168
24/06/14 03:49:01,C,19.168
24/06/14 03:54:01,C,19.106
24/06/14 03:59:01,C,19.106
24/06/14 04:04:01,C,19.043
24/06/14 04:09:01,C,19.043
24/06/14 04:14:01,C,19.043
24/06/14 04:19:01,C,18.98
24/06/14 04:24:01,C,18.98
24/06/14 04:29:01,C,18.98
24/06/14 04:34:01,C,18.98
24/06/14 04:39:01,C,19.043
24/06/14 04:44:01,C,19.043
24/06/14 04:49:01,C,19.043
24/06/14 04:54:01,C,19.043
24/06/14 04:59:01,C,19.043
24/06/14 05:04:01,C,19.043
24/06/14 05:09:01,C,19.043
24/06/14 05:14:01,C,19.043
24/06/14 05:19:01,C,19.043
24/06/14 05:24:01,C,18.98
24/06/14 05:29:01,C,18.98
24/06/14 05:34:01,C,18.918
24/06/14 05:39:01,C,18.918
24/06/14 05:44:01,C,18.918
24/06/14 05:49:01,C,18.918
24/06/14 05:54:01,C,18.918
24/06/14 05:59:01,C,18.918
24/06/14 06:04:01,C,18.98
24/06/14 06:09:01,C,19.043
24/06/14 06:14:01,C,19.043
24/06/14 06:19:01,C,19.043
24/06/14 06:24:01,C,19.106
24/06/14 06:29:01,C,19.106
24/06/14 06:34:01,C,19.168
24/06/14 06:39:01,C,19.231
24/06/14 06:44:01,C,19.356
24/06/14 06:49:01,C,19.418
24/06/14 06:54:01,C,19.481
24/06/14 06:59:01,C,19.669
24/06/14 07:04:01,C,19.794
