1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6E000000337A8241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:44:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:24:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  11966
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:24:01,C,25.207
23/06/14 10:29:01,C,25.332
23/06/14 10:34:01,C,25.145
23/06/14 10:39:01,C,25.457
23/06/14 10:44:01,C,25.645
23/06/14 10:49:01,C,25.645
23/06/14 10:54:01,C,25.895
23/06/14 10:59:01,C,26.145
23/06/14 11:04:01,C,26.332
23/06/14 11:09:01,C,26.457
23/06/14 11:14:01,C,26.519
23/06/14 11:19:01,C,26.519
23/06/14 11:24:01,C,26.582
23/06/14 11:29:01,C,26.582
23/06/14 11:34:01,C,26.519
23/06/14 11:39:01,C,26.082
23/06/14 11:44:01,C,25.957
23/06/14 11:49:01,C,26.145
23/06/14 11:54:01,C,26.02
23/06/14 11:59:01,C,25.77
23/06/14 12:04:01,C,25.457
23/06/14 12:09:01,C,25.332
23/06/14 12:14:01,C,25.02
23/06/14 12:19:01,C,24.207
23/06/14 12:24:01,C,23.769
23/06/14 12:29:01,C,23.644
23/06/14 12:34:01,C,23.644
23/06/14 12:39:01,C,23.707
23/06/14 12:44:01,C,23.707
23/06/14 12:49:01,C,23.707
23/06/14 12:54:01,C,23.832
23/06/14 12:59:01,C,23.769
23/06/14 13:04:01,C,23.769
23/06/14 13:09:01,C,23.769
23/06/14 13:14:01,C,23.832
23/06/14 13:19:01,C,23.894
23/06/14 13:24:01,C,23.894
23/06/14 13:29:01,C,23.957
23/06/14 13:34:01,C,23.894
23/06/14 13:39:01,C,23.894
23/06/14 13:44:01,C,24.019
23/06/14 13:49:01,C,24.207
23/06/14 13:54:01,C,24.394
23/06/14 13:59:01,C,24.582
23/06/14 14:04:01,C,24.644
23/06/14 14:09:01,C,24.769
23/06/14 14:14:01,C,24.707
23/06/14 14:19:01,C,24.769
23/06/14 14:24:01,C,24.769
23/06/14 14:29:01,C,24.832
23/06/14 14:34:01,C,24.957
23/06/14 14:39:01,C,25.082
23/06/14 14:44:01,C,25.082
23/06/14 14:49:01,C,25.02
23/06/14 14:54:01,C,24.769
23/06/14 14:59:01,C,24.707
23/06/14 15:04:01,C,24.582
23/06/14 15:09:01,C,24.457
23/06/14 15:14:01,C,24.457
23/06/14 15:19:01,C,24.457
23/06/14 15:24:01,C,24.457
23/06/14 15:29:01,C,24.457
23/06/14 15:34:01,C,24.457
23/06/14 15:39:01,C,24.394
23/06/14 15:44:01,C,24.457
23/06/14 15:49:01,C,24.457
23/06/14 15:54:01,C,24.457
23/06/14 15:59:01,C,24.394
23/06/14 16:04:01,C,24.269
23/06/14 16:09:01,C,23.894
23/06/14 16:14:01,C,23.644
23/06/14 16:19:01,C,23.394
23/06/14 16:24:01,C,23.332
23/06/14 16:29:01,C,23.081
23/06/14 16:34:01,C,23.019
23/06/14 16:39:01,C,22.706
23/06/14 16:44:01,C,22.456
23/06/14 16:49:01,C,22.519
23/06/14 16:54:01,C,22.519
23/06/14 16:59:01,C,22.394
23/06/14 17:04:01,C,22.331
23/06/14 17:09:01,C,22.331
23/06/14 17:14:01,C,22.206
23/06/14 17:19:01,C,22.206
23/06/14 17:24:01,C,22.081
23/06/14 17:29:01,C,22.081
23/06/14 17:34:01,C,22.018
23/06/14 17:39:01,C,22.018
23/06/14 17:44:01,C,21.956
23/06/14 17:49:01,C,21.893
23/06/14 17:54:01,C,21.893
23/06/14 17:59:01,C,21.893
23/06/14 18:04:01,C,21.831
23/06/14 18:09:01,C,21.831
23/06/14 18:14:01,C,21.768
23/06/14 18:19:01,C,21.706
23/06/14 18:24:01,C,21.706
23/06/14 18:29:01,C,21.706
23/06/14 18:34:01,C,21.706
23/06/14 18:39:01,C,21.768
23/06/14 18:44:01,C,21.768
23/06/14 18:49:01,C,21.831
23/06/14 18:54:01,C,21.831
23/06/14 18:59:01,C,21.831
23/06/14 19:04:01,C,21.831
23/06/14 19:09:01,C,21.831
23/06/14 19:14:01,C,21.831
23/06/14 19:19:01,C,21.831
23/06/14 19:24:01,C,21.831
23/06/14 19:29:01,C,21.831
23/06/14 19:34:01,C,21.768
23/06/14 19:39:01,C,21.768
23/06/14 19:44:01,C,21.706
23/06/14 19:49:01,C,21.706
23/06/14 19:54:01,C,21.706
23/06/14 19:59:01,C,21.706
23/06/14 20:04:01,C,21.643
23/06/14 20:09:01,C,21.643
23/06/14 20:14:01,C,21.643
23/06/14 20:19:01,C,21.58
23/06/14 20:24:01,C,21.58
23/06/14 20:29:01,C,21.518
23/06/14 20:34:01,C,21.518
23/06/14 20:39:01,C,21.455
23/06/14 20:44:01,C,21.455
23/06/14 20:49:01,C,21.455
23/06/14 20:54:01,C,21.455
23/06/14 20:59:01,C,21.455
23/06/14 21:04:01,C,21.455
23/06/14 21:09:01,C,21.455
23/06/14 21:14:01,C,21.455
23/06/14 21:19:01,C,21.393
23/06/14 21:24:01,C,21.33
23/06/14 21:29:01,C,21.268
23/06/14 21:34:01,C,21.268
23/06/14 21:39:01,C,21.205
23/06/14 21:44:01,C,21.268
23/06/14 21:49:01,C,21.268
23/06/14 21:54:01,C,21.268
23/06/14 21:59:01,C,21.205
23/06/14 22:04:01,C,21.143
23/06/14 22:09:01,C,21.143
23/06/14 22:14:01,C,21.143
23/06/14 22:19:01,C,21.08
23/06/14 22:24:01,C,21.018
23/06/14 22:29:01,C,21.018
23/06/14 22:34:01,C,21.018
23/06/14 22:39:01,C,20.955
23/06/14 22:44:01,C,20.892
23/06/14 22:49:01,C,20.83
23/06/14 22:54:01,C,20.83
23/06/14 22:59:01,C,20.83
23/06/14 23:04:01,C,20.892
23/06/14 23:09:01,C,20.892
23/06/14 23:14:01,C,20.83
23/06/14 23:19:01,C,20.767
23/06/14 23:24:01,C,20.767
23/06/14 23:29:01,C,20.642
23/06/14 23:34:01,C,20.642
23/06/14 23:39:01,C,20.642
23/06/14 23:44:01,C,20.642
23/06/14 23:49:01,C,20.642
23/06/14 23:54:01,C,20.642
23/06/14 23:59:01,C,20.58
24/06/14 00:04:01,C,20.517
24/06/14 00:09:01,C,20.517
24/06/14 00:14:01,C,20.517
24/06/14 00:19:01,C,20.517
24/06/14 00:24:01,C,20.454
24/06/14 00:29:01,C,20.392
24/06/14 00:34:01,C,20.329
24/06/14 00:39:01,C,20.204
24/06/14 00:44:01,C,20.142
24/06/14 00:49:01,C,20.142
24/06/14 00:54:01,C,20.079
24/06/14 00:59:01,C,20.017
24/06/14 01:04:01,C,20.017
24/06/14 01:09:01,C,20.017
24/06/14 01:14:01,C,20.017
24/06/14 01:19:01,C,19.954
24/06/14 01:24:01,C,19.891
24/06/14 01:29:01,C,19.891
24/06/14 01:34:01,C,19.829
24/06/14 01:39:01,C,19.829
24/06/14 01:44:01,C,19.829
24/06/14 01:49:01,C,19.829
24/06/14 01:54:01,C,19.766
24/06/14 01:59:01,C,19.704
24/06/14 02:04:01,C,19.704
24/06/14 02:09:01,C,19.641
24/06/14 02:14:01,C,19.641
24/06/14 02:19:01,C,19.579
24/06/14 02:24:01,C,19.579
24/06/14 02:29:01,C,19.579
24/06/14 02:34:01,C,19.516
24/06/14 02:39:01,C,19.453
24/06/14 02:44:01,C,19.328
24/06/14 02:49:01,C,19.328
24/06/14 02:54:01,C,19.391
