1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CE000000337E6B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:38:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:23:01 CST 2014
Total Mission Samples:  2057
Total Device Samples:  11905
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:23:01,C,25.207
23/06/14 10:28:01,C,25.395
23/06/14 10:33:01,C,25.27
23/06/14 10:38:01,C,25.395
23/06/14 10:43:01,C,25.645
23/06/14 10:48:01,C,25.645
23/06/14 10:53:01,C,25.832
23/06/14 10:58:01,C,26.082
23/06/14 11:03:01,C,26.332
23/06/14 11:08:01,C,26.457
23/06/14 11:13:01,C,26.519
23/06/14 11:18:01,C,26.582
23/06/14 11:23:01,C,26.644
23/06/14 11:28:01,C,26.644
23/06/14 11:33:01,C,26.519
23/06/14 11:38:01,C,26.145
23/06/14 11:43:01,C,26.02
23/06/14 11:48:01,C,26.207
23/06/14 11:53:01,C,26.02
23/06/14 11:58:01,C,25.832
23/06/14 12:03:01,C,25.52
23/06/14 12:08:01,C,25.52
23/06/14 12:13:01,C,25.144
23/06/14 12:18:01,C,24.457
23/06/14 12:23:01,C,23.832
23/06/14 12:28:01,C,23.706
23/06/14 12:33:01,C,23.644
23/06/14 12:38:01,C,23.706
23/06/14 12:43:01,C,23.769
23/06/14 12:48:01,C,23.706
23/06/14 12:53:01,C,23.832
23/06/14 12:58:01,C,23.832
23/06/14 13:03:01,C,23.832
23/06/14 13:08:01,C,23.832
23/06/14 13:13:01,C,23.894
23/06/14 13:18:01,C,23.957
23/06/14 13:23:01,C,23.957
23/06/14 13:28:01,C,23.957
23/06/14 13:33:01,C,23.957
23/06/14 13:38:01,C,23.957
23/06/14 13:43:01,C,24.019
23/06/14 13:48:01,C,24.207
23/06/14 13:53:01,C,24.394
23/06/14 13:58:01,C,24.582
23/06/14 14:03:01,C,24.644
23/06/14 14:08:01,C,24.832
23/06/14 14:13:01,C,24.707
23/06/14 14:18:01,C,24.832
23/06/14 14:23:01,C,24.894
23/06/14 14:28:01,C,24.894
23/06/14 14:33:01,C,25.019
23/06/14 14:38:01,C,25.144
23/06/14 14:43:01,C,25.144
23/06/14 14:48:01,C,25.082
23/06/14 14:53:01,C,24.894
23/06/14 14:58:01,C,24.769
23/06/14 15:03:01,C,24.644
23/06/14 15:08:01,C,24.519
23/06/14 15:13:01,C,24.457
