1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 85000000337FFA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:50:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:25:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  8958
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:25:01,C,25.213
23/06/14 10:30:01,C,25.4
23/06/14 10:35:01,C,25.275
23/06/14 10:40:01,C,25.588
23/06/14 10:45:01,C,25.65
23/06/14 10:50:01,C,25.713
23/06/14 10:55:01,C,26.025
23/06/14 11:00:01,C,26.275
23/06/14 11:05:01,C,26.4
23/06/14 11:10:01,C,26.525
23/06/14 11:15:01,C,26.588
23/06/14 11:20:01,C,26.525
23/06/14 11:25:01,C,26.525
23/06/14 11:30:01,C,26.463
23/06/14 11:35:01,C,26.4
23/06/14 11:40:01,C,25.963
23/06/14 11:45:01,C,26.025
23/06/14 11:50:01,C,26.025
23/06/14 11:55:01,C,25.963
23/06/14 12:00:01,C,25.65
23/06/14 12:05:01,C,25.463
23/06/14 12:10:01,C,25.275
23/06/14 12:15:01,C,24.9
23/06/14 12:20:01,C,24.213
23/06/14 12:25:01,C,23.838
23/06/14 12:30:01,C,23.713
23/06/14 12:35:01,C,23.65
23/06/14 12:40:01,C,23.713
23/06/14 12:45:01,C,23.775
23/06/14 12:50:01,C,23.713
23/06/14 12:55:01,C,23.838
23/06/14 13:00:01,C,23.838
23/06/14 13:05:01,C,23.775
23/06/14 13:10:01,C,23.838
23/06/14 13:15:01,C,23.9
23/06/14 13:20:01,C,23.963
23/06/14 13:25:01,C,23.963
23/06/14 13:30:01,C,23.963
23/06/14 13:35:01,C,23.963
23/06/14 13:40:01,C,23.9
23/06/14 13:45:01,C,24.088
23/06/14 13:50:01,C,24.275
23/06/14 13:55:01,C,24.463
23/06/14 14:00:01,C,24.588
23/06/14 14:05:01,C,24.713
23/06/14 14:10:01,C,24.775
23/06/14 14:15:01,C,24.775
23/06/14 14:20:01,C,24.838
23/06/14 14:25:01,C,24.9
23/06/14 14:30:01,C,24.9
