1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 64000000337FA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:49:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:24:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  8942
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:24:01,C,25.186
23/06/14 10:29:01,C,25.311
23/06/14 10:34:01,C,25.248
23/06/14 10:39:01,C,25.498
23/06/14 10:44:01,C,25.623
23/06/14 10:49:01,C,25.623
23/06/14 10:54:01,C,25.936
23/06/14 10:59:01,C,26.186
23/06/14 11:04:01,C,26.373
23/06/14 11:09:01,C,26.435
23/06/14 11:14:01,C,26.56
23/06/14 11:19:01,C,26.56
23/06/14 11:24:01,C,26.56
23/06/14 11:29:01,C,26.498
23/06/14 11:34:01,C,26.435
23/06/14 11:39:01,C,26.061
23/06/14 11:44:01,C,25.936
23/06/14 11:49:01,C,26.061
23/06/14 11:54:01,C,25.998
23/06/14 11:59:01,C,25.748
23/06/14 12:04:01,C,25.436
23/06/14 12:09:01,C,25.311
23/06/14 12:14:01,C,24.936
23/06/14 12:19:01,C,24.248
23/06/14 12:24:01,C,23.81
23/06/14 12:29:01,C,23.685
23/06/14 12:34:01,C,23.623
23/06/14 12:39:01,C,23.685
23/06/14 12:44:01,C,23.685
23/06/14 12:49:01,C,23.685
23/06/14 12:54:01,C,23.81
23/06/14 12:59:01,C,23.81
23/06/14 13:04:01,C,23.81
23/06/14 13:09:01,C,23.81
23/06/14 13:14:01,C,23.873
23/06/14 13:19:01,C,23.873
23/06/14 13:24:01,C,23.935
23/06/14 13:29:01,C,23.873
23/06/14 13:34:01,C,23.873
23/06/14 13:39:01,C,23.873
23/06/14 13:44:01,C,23.998
23/06/14 13:49:01,C,24.186
23/06/14 13:54:01,C,24.436
23/06/14 13:59:01,C,24.561
23/06/14 14:04:01,C,24.623
23/06/14 14:09:01,C,24.811
23/06/14 14:14:01,C,24.748
23/06/14 14:19:01,C,24.811
23/06/14 14:24:01,C,24.811
23/06/14 14:29:01,C,24.873
23/06/14 14:34:01,C,24.998
23/06/14 14:39:01,C,25.186
23/06/14 14:44:01,C,25.123
23/06/14 14:49:01,C,25.061
23/06/14 14:54:01,C,24.811
23/06/14 14:59:01,C,24.748
23/06/14 15:04:01,C,24.561
23/06/14 15:09:01,C,24.498
23/06/14 15:14:01,C,24.498
23/06/14 15:19:01,C,24.436
23/06/14 15:24:01,C,24.436
23/06/14 15:29:01,C,24.436
23/06/14 15:34:01,C,24.436
23/06/14 15:39:01,C,24.436
23/06/14 15:44:01,C,24.436
23/06/14 15:49:01,C,24.436
23/06/14 15:54:01,C,24.436
23/06/14 15:59:01,C,24.373
23/06/14 16:04:01,C,24.311
23/06/14 16:09:01,C,23.935
23/06/14 16:14:01,C,23.623
23/06/14 16:19:01,C,23.373
23/06/14 16:24:01,C,23.248
23/06/14 16:29:01,C,23.06
23/06/14 16:34:01,C,22.935
23/06/14 16:39:01,C,22.685
23/06/14 16:44:01,C,22.435
23/06/14 16:49:01,C,22.498
23/06/14 16:54:01,C,22.435
23/06/14 16:59:01,C,22.31
23/06/14 17:04:01,C,22.248
23/06/14 17:09:01,C,22.248
23/06/14 17:14:01,C,22.123
23/06/14 17:19:01,C,22.123
23/06/14 17:24:01,C,22.06
23/06/14 17:29:01,C,21.998
23/06/14 17:34:01,C,21.998
23/06/14 17:39:01,C,21.998
23/06/14 17:44:01,C,21.872
23/06/14 17:49:01,C,21.872
23/06/14 17:54:01,C,21.872
23/06/14 17:59:01,C,21.81
