1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000033779E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:52:01 CST 2014
Mission Sample Count:  1457
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:52:01 CST 2014
Total Mission Samples:  1457
Total Device Samples:  8352
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:52:01,%RH,72.098
28/06/14 11:54:01,%RH,70.527
28/06/14 11:56:01,%RH,71.813
28/06/14 11:58:01,%RH,72.098
28/06/14 12:00:01,%RH,71.671
28/06/14 12:02:01,%RH,71.528
28/06/14 12:04:01,%RH,71.1
28/06/14 12:06:01,%RH,69.809
28/06/14 12:08:01,%RH,68.801
28/06/14 12:10:01,%RH,69.378
28/06/14 12:12:01,%RH,70.24
28/06/14 12:14:01,%RH,69.809
28/06/14 12:16:01,%RH,69.953
28/06/14 12:18:01,%RH,67.209
28/06/14 12:20:01,%RH,66.773
28/06/14 12:22:01,%RH,64.434
28/06/14 12:24:01,%RH,62.962
28/06/14 12:26:01,%RH,63.404
28/06/14 12:28:01,%RH,63.404
28/06/14 12:30:01,%RH,61.035
28/06/14 12:32:01,%RH,62.222
28/06/14 12:34:01,%RH,61.184
28/06/14 12:36:01,%RH,60.29
28/06/14 12:38:01,%RH,59.693
28/06/14 12:40:01,%RH,58.945
28/06/14 12:42:01,%RH,58.645
28/06/14 12:44:01,%RH,58.344
28/06/14 12:46:01,%RH,59.992
28/06/14 12:48:01,%RH,61.184
28/06/14 12:50:01,%RH,60.738
28/06/14 12:52:01,%RH,59.992
28/06/14 12:54:01,%RH,61.184
28/06/14 12:56:01,%RH,61.184
28/06/14 12:58:01,%RH,59.693
28/06/14 13:00:01,%RH,59.843
28/06/14 13:02:01,%RH,60.886
28/06/14 13:04:01,%RH,59.693
28/06/14 13:06:01,%RH,57.592
28/06/14 13:08:01,%RH,57.592
28/06/14 13:10:01,%RH,56.687
28/06/14 13:12:01,%RH,57.592
28/06/14 13:14:01,%RH,57.14
28/06/14 13:16:01,%RH,57.291
28/06/14 13:18:01,%RH,57.442
28/06/14 13:20:01,%RH,58.344
28/06/14 13:22:01,%RH,56.536
28/06/14 13:24:01,%RH,56.082
28/06/14 13:26:01,%RH,54.715
28/06/14 13:28:01,%RH,55.93
28/06/14 13:30:01,%RH,55.627
28/06/14 13:32:01,%RH,55.93
28/06/14 13:34:01,%RH,56.233
28/06/14 13:36:01,%RH,55.019
28/06/14 13:38:01,%RH,56.233
28/06/14 13:40:01,%RH,54.715
28/06/14 13:42:01,%RH,54.715
28/06/14 13:44:01,%RH,55.627
28/06/14 13:46:01,%RH,58.194
28/06/14 13:48:01,%RH,58.495
28/06/14 13:50:01,%RH,57.893
28/06/14 13:52:01,%RH,57.743
28/06/14 13:54:01,%RH,55.778
28/06/14 13:56:01,%RH,58.044
28/06/14 13:58:01,%RH,56.838
28/06/14 14:00:01,%RH,56.838
28/06/14 14:02:01,%RH,56.838
28/06/14 14:04:01,%RH,56.082
28/06/14 14:06:01,%RH,56.687
28/06/14 14:08:01,%RH,58.044
28/06/14 14:10:01,%RH,57.442
28/06/14 14:12:01,%RH,57.592
28/06/14 14:14:01,%RH,56.687
28/06/14 14:16:01,%RH,58.344
28/06/14 14:18:01,%RH,57.592
28/06/14 14:20:01,%RH,57.893
28/06/14 14:22:01,%RH,58.194
28/06/14 14:24:01,%RH,59.992
28/06/14 14:26:01,%RH,59.992
28/06/14 14:28:01,%RH,60.29
28/06/14 14:30:01,%RH,59.992
28/06/14 14:32:01,%RH,60.44
28/06/14 14:34:01,%RH,59.095
28/06/14 14:36:01,%RH,59.394
28/06/14 14:38:01,%RH,60.141
28/06/14 14:40:01,%RH,61.035
28/06/14 14:42:01,%RH,61.629
