1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3B000000337CBD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:50:01 CST 2014
Mission Sample Count:  1460
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:50:01 CST 2014
Total Mission Samples:  1460
Total Device Samples:  8331
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:50:01,%RH,73.509
28/06/14 11:52:01,%RH,73.789
28/06/14 11:54:01,%RH,73.789
28/06/14 11:56:01,%RH,72.528
28/06/14 11:58:01,%RH,72.949
28/06/14 12:00:01,%RH,71.541
28/06/14 12:02:01,%RH,72.105
28/06/14 12:04:01,%RH,71.823
28/06/14 12:06:01,%RH,71.823
28/06/14 12:08:01,%RH,70.265
28/06/14 12:10:01,%RH,70.122
28/06/14 12:12:01,%RH,70.407
28/06/14 12:14:01,%RH,69.695
28/06/14 12:16:01,%RH,70.122
28/06/14 12:18:01,%RH,68.263
28/06/14 12:20:01,%RH,67.543
28/06/14 12:22:01,%RH,66.24
28/06/14 12:24:01,%RH,62.726
28/06/14 12:26:01,%RH,62.431
28/06/14 12:28:01,%RH,62.135
28/06/14 12:30:01,%RH,61.245
28/06/14 12:32:01,%RH,60.35
28/06/14 12:34:01,%RH,59.752
28/06/14 12:36:01,%RH,59.902
28/06/14 12:38:01,%RH,59.752
28/06/14 12:40:01,%RH,59.603
28/06/14 12:42:01,%RH,59.453
28/06/14 12:44:01,%RH,59.303
28/06/14 12:46:01,%RH,61.096
28/06/14 12:48:01,%RH,61.096
28/06/14 12:50:01,%RH,61.393
28/06/14 12:52:01,%RH,61.542
28/06/14 12:54:01,%RH,61.987
28/06/14 12:56:01,%RH,61.69
28/06/14 12:58:01,%RH,62.726
28/06/14 13:00:01,%RH,61.393
28/06/14 13:02:01,%RH,62.431
28/06/14 13:04:01,%RH,60.5
28/06/14 13:06:01,%RH,58.702
28/06/14 13:08:01,%RH,59.752
28/06/14 13:10:01,%RH,59.603
28/06/14 13:12:01,%RH,60.798
28/06/14 13:14:01,%RH,59.752
28/06/14 13:16:01,%RH,60.5
28/06/14 13:18:01,%RH,59.453
28/06/14 13:20:01,%RH,60.947
28/06/14 13:22:01,%RH,60.798
28/06/14 13:24:01,%RH,59.453
28/06/14 13:26:01,%RH,59.002
28/06/14 13:28:01,%RH,58.551
28/06/14 13:30:01,%RH,59.752
28/06/14 13:32:01,%RH,59.752
28/06/14 13:34:01,%RH,57.797
28/06/14 13:36:01,%RH,58.551
28/06/14 13:38:01,%RH,59.303
28/06/14 13:40:01,%RH,58.702
28/06/14 13:42:01,%RH,58.099
28/06/14 13:44:01,%RH,58.4
28/06/14 13:46:01,%RH,59.902
28/06/14 13:48:01,%RH,60.052
28/06/14 13:50:01,%RH,60.201
28/06/14 13:52:01,%RH,59.752
28/06/14 13:54:01,%RH,59.453
28/06/14 13:56:01,%RH,62.726
28/06/14 13:58:01,%RH,59.902
28/06/14 14:00:01,%RH,59.902
28/06/14 14:02:01,%RH,59.902
28/06/14 14:04:01,%RH,60.201
28/06/14 14:06:01,%RH,60.5
28/06/14 14:08:01,%RH,61.245
28/06/14 14:10:01,%RH,62.431
28/06/14 14:12:01,%RH,60.947
28/06/14 14:14:01,%RH,60.798
28/06/14 14:16:01,%RH,62.283
28/06/14 14:18:01,%RH,62.283
28/06/14 14:20:01,%RH,61.245
28/06/14 14:22:01,%RH,62.283
28/06/14 14:24:01,%RH,62.431
28/06/14 14:26:01,%RH,61.096
28/06/14 14:28:01,%RH,62.726
28/06/14 14:30:01,%RH,62.579
28/06/14 14:32:01,%RH,63.316
28/06/14 14:34:01,%RH,64.051
28/06/14 14:36:01,%RH,63.61
28/06/14 14:38:01,%RH,64.491
28/06/14 14:40:01,%RH,64.93
28/06/14 14:42:01,%RH,65.368
28/06/14 14:44:01,%RH,65.95
28/06/14 14:46:01,%RH,64.637
28/06/14 14:48:01,%RH,66.531
28/06/14 14:50:01,%RH,66.386
28/06/14 14:52:01,%RH,66.386
28/06/14 14:54:01,%RH,67.687
28/06/14 14:56:01,%RH,66.965
28/06/14 14:58:01,%RH,67.11
28/06/14 15:00:01,%RH,66.386
28/06/14 15:02:01,%RH,66.965
28/06/14 15:04:01,%RH,66.82
