1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 74000000337C1341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:47:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:47:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8333
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:47:01,%RH,72.786
28/06/14 11:49:01,%RH,73.07
28/06/14 11:51:01,%RH,72.502
28/06/14 11:53:01,%RH,73.07
28/06/14 11:55:01,%RH,72.786
28/06/14 11:57:01,%RH,73.636
28/06/14 11:59:01,%RH,72.36
28/06/14 12:01:01,%RH,71.791
28/06/14 12:03:01,%RH,71.791
28/06/14 12:05:01,%RH,72.218
28/06/14 12:07:01,%RH,70.791
28/06/14 12:09:01,%RH,69.931
28/06/14 12:11:01,%RH,70.362
28/06/14 12:13:01,%RH,70.648
28/06/14 12:15:01,%RH,69.644
28/06/14 12:17:01,%RH,69.931
28/06/14 12:19:01,%RH,67.187
28/06/14 12:21:01,%RH,67.333
28/06/14 12:23:01,%RH,62.791
28/06/14 12:25:01,%RH,63.234
28/06/14 12:27:01,%RH,63.087
28/06/14 12:29:01,%RH,63.824
28/06/14 12:31:01,%RH,62.347
28/06/14 12:33:01,%RH,61.457
28/06/14 12:35:01,%RH,58.768
28/06/14 12:37:01,%RH,60.713
28/06/14 12:39:01,%RH,58.167
28/06/14 12:41:01,%RH,58.768
28/06/14 12:43:01,%RH,59.967
28/06/14 12:45:01,%RH,58.768
28/06/14 12:47:01,%RH,60.116
28/06/14 12:49:01,%RH,61.754
28/06/14 12:51:01,%RH,61.457
28/06/14 12:53:01,%RH,61.903
28/06/14 12:55:01,%RH,61.16
28/06/14 12:57:01,%RH,60.415
28/06/14 12:59:01,%RH,59.368
28/06/14 13:01:01,%RH,61.606
28/06/14 13:03:01,%RH,59.817
