1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7F0000003382EF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:53:01 CST 2014
Mission Sample Count:  1459
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:53:01 CST 2014
Total Mission Samples:  1459
Total Device Samples:  8259
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:53:01,%RH,71.876
28/06/14 11:55:01,%RH,72.573
28/06/14 11:57:01,%RH,72.991
28/06/14 11:59:01,%RH,72.155
28/06/14 12:01:01,%RH,71.876
28/06/14 12:03:01,%RH,71.876
28/06/14 12:05:01,%RH,71.736
28/06/14 12:07:01,%RH,70.615
28/06/14 12:09:01,%RH,69.911
28/06/14 12:11:01,%RH,70.052
28/06/14 12:13:01,%RH,70.756
28/06/14 12:15:01,%RH,69.346
28/06/14 12:17:01,%RH,69.911
28/06/14 12:19:01,%RH,67.927
28/06/14 12:21:01,%RH,68.638
28/06/14 12:23:01,%RH,65.925
28/06/14 12:25:01,%RH,64.773
28/06/14 12:27:01,%RH,65.925
28/06/14 12:29:01,%RH,65.638
28/06/14 12:31:01,%RH,64.773
28/06/14 12:33:01,%RH,64.339
28/06/14 12:35:01,%RH,62.304
28/06/14 12:37:01,%RH,64.194
28/06/14 12:39:01,%RH,61.279
28/06/14 12:41:01,%RH,60.397
28/06/14 12:43:01,%RH,62.304
28/06/14 12:45:01,%RH,61.719
28/06/14 12:47:01,%RH,62.304
28/06/14 12:49:01,%RH,63.469
28/06/14 12:51:01,%RH,62.45
28/06/14 12:53:01,%RH,62.45
28/06/14 12:55:01,%RH,63.178
28/06/14 12:57:01,%RH,61.425
28/06/14 12:59:01,%RH,60.102
28/06/14 13:01:01,%RH,61.572
28/06/14 13:03:01,%RH,61.132
28/06/14 13:05:01,%RH,59.215
28/06/14 13:07:01,%RH,59.511
28/06/14 13:09:01,%RH,59.659
28/06/14 13:11:01,%RH,59.215
28/06/14 13:13:01,%RH,60.102
28/06/14 13:15:01,%RH,59.807
28/06/14 13:17:01,%RH,59.659
28/06/14 13:19:01,%RH,58.325
28/06/14 13:21:01,%RH,58.622
28/06/14 13:23:01,%RH,58.028
28/06/14 13:25:01,%RH,57.581
28/06/14 13:27:01,%RH,57.73
28/06/14 13:29:01,%RH,56.685
28/06/14 13:31:01,%RH,57.73
28/06/14 13:33:01,%RH,56.834
28/06/14 13:35:01,%RH,57.581
28/06/14 13:37:01,%RH,57.73
28/06/14 13:39:01,%RH,57.133
28/06/14 13:41:01,%RH,55.935
28/06/14 13:43:01,%RH,55.785
