1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 60000000337E9F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:45:01 CST 2014
Mission Sample Count:  1464
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:45:01 CST 2014
Total Mission Samples:  1464
Total Device Samples:  8587
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:45:01,%RH,73.839
28/06/14 11:47:01,%RH,73.274
28/06/14 11:49:01,%RH,73.698
28/06/14 11:51:01,%RH,73.698
28/06/14 11:53:01,%RH,72.424
28/06/14 11:55:01,%RH,72.85
28/06/14 11:57:01,%RH,73.274
28/06/14 11:59:01,%RH,72.566
28/06/14 12:01:01,%RH,71.429
28/06/14 12:03:01,%RH,72.282
28/06/14 12:05:01,%RH,72.708
28/06/14 12:07:01,%RH,71.571
28/06/14 12:09:01,%RH,69.999
28/06/14 12:11:01,%RH,69.855
28/06/14 12:13:01,%RH,71.001
28/06/14 12:15:01,%RH,70.285
28/06/14 12:17:01,%RH,69.999
28/06/14 12:19:01,%RH,69.28
28/06/14 12:21:01,%RH,67.547
28/06/14 12:23:01,%RH,64.776
28/06/14 12:25:01,%RH,63.894
28/06/14 12:27:01,%RH,63.894
28/06/14 12:29:01,%RH,63.6
28/06/14 12:31:01,%RH,61.378
28/06/14 12:33:01,%RH,61.378
28/06/14 12:35:01,%RH,58.686
28/06/14 12:37:01,%RH,61.824
28/06/14 12:39:01,%RH,59.137
28/06/14 12:41:01,%RH,58.535
28/06/14 12:43:01,%RH,59.287
28/06/14 12:45:01,%RH,58.986
28/06/14 12:47:01,%RH,59.736
28/06/14 12:49:01,%RH,61.378
28/06/14 12:51:01,%RH,61.378
28/06/14 12:53:01,%RH,60.633
28/06/14 12:55:01,%RH,60.185
28/06/14 12:57:01,%RH,58.385
