1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A000000337C1141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:51:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:51:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8255
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:51:01,%RH,73.629
28/06/14 11:53:01,%RH,72.227
28/06/14 11:55:01,%RH,72.227
28/06/14 11:57:01,%RH,74.048
28/06/14 11:59:01,%RH,72.087
28/06/14 12:01:01,%RH,72.649
28/06/14 12:03:01,%RH,72.087
28/06/14 12:05:01,%RH,72.789
28/06/14 12:07:01,%RH,70.389
28/06/14 12:09:01,%RH,69.82
28/06/14 12:11:01,%RH,70.531
28/06/14 12:13:01,%RH,70.389
28/06/14 12:15:01,%RH,70.957
28/06/14 12:17:01,%RH,70.957
28/06/14 12:19:01,%RH,70.531
28/06/14 12:21:01,%RH,68.964
28/06/14 12:23:01,%RH,66.371
28/06/14 12:25:01,%RH,66.661
28/06/14 12:27:01,%RH,67.815
28/06/14 12:29:01,%RH,65.645
28/06/14 12:31:01,%RH,66.516
28/06/14 12:33:01,%RH,64.038
28/06/14 12:35:01,%RH,62.862
28/06/14 12:37:01,%RH,63.598
28/06/14 12:39:01,%RH,59.293
28/06/14 12:41:01,%RH,59.742
28/06/14 12:43:01,%RH,61.827
28/06/14 12:45:01,%RH,61.827
28/06/14 12:47:01,%RH,62.567
28/06/14 12:49:01,%RH,61.827
28/06/14 12:51:01,%RH,62.714
28/06/14 12:53:01,%RH,62.862
28/06/14 12:55:01,%RH,61.382
28/06/14 12:57:01,%RH,60.191
28/06/14 12:59:01,%RH,60.191
28/06/14 13:01:01,%RH,62.271
28/06/14 13:03:01,%RH,59.742
28/06/14 13:05:01,%RH,58.843
28/06/14 13:07:01,%RH,58.993
28/06/14 13:09:01,%RH,57.486
28/06/14 13:11:01,%RH,58.542
28/06/14 13:13:01,%RH,59.892
28/06/14 13:15:01,%RH,58.09
28/06/14 13:17:01,%RH,58.09
28/06/14 13:19:01,%RH,58.09
28/06/14 13:21:01,%RH,58.391
28/06/14 13:23:01,%RH,57.335
28/06/14 13:25:01,%RH,56.425
28/06/14 13:27:01,%RH,57.032
28/06/14 13:29:01,%RH,56.425
28/06/14 13:31:01,%RH,57.032
28/06/14 13:33:01,%RH,57.032
28/06/14 13:35:01,%RH,56.425
28/06/14 13:37:01,%RH,58.09
28/06/14 13:39:01,%RH,57.032
28/06/14 13:41:01,%RH,55.054
28/06/14 13:43:01,%RH,55.969
28/06/14 13:45:01,%RH,56.121
28/06/14 13:47:01,%RH,58.09
28/06/14 13:49:01,%RH,58.542
28/06/14 13:51:01,%RH,56.273
28/06/14 13:53:01,%RH,57.335
28/06/14 13:55:01,%RH,57.788
28/06/14 13:57:01,%RH,57.032
28/06/14 13:59:01,%RH,57.335
28/06/14 14:01:01,%RH,55.512
28/06/14 14:03:01,%RH,55.817
28/06/14 14:05:01,%RH,56.88
28/06/14 14:07:01,%RH,56.88
28/06/14 14:09:01,%RH,58.241
28/06/14 14:11:01,%RH,56.729
28/06/14 14:13:01,%RH,58.542
28/06/14 14:15:01,%RH,57.637
28/06/14 14:17:01,%RH,57.032
28/06/14 14:19:01,%RH,57.637
28/06/14 14:21:01,%RH,58.391
28/06/14 14:23:01,%RH,58.692
28/06/14 14:25:01,%RH,59.443
28/06/14 14:27:01,%RH,58.692
28/06/14 14:29:01,%RH,59.892
28/06/14 14:31:01,%RH,58.09
28/06/14 14:33:01,%RH,59.443
28/06/14 14:35:01,%RH,59.143
28/06/14 14:37:01,%RH,59.593
28/06/14 14:39:01,%RH,59.143
28/06/14 14:41:01,%RH,60.638
28/06/14 14:43:01,%RH,62.862
28/06/14 14:45:01,%RH,60.787
28/06/14 14:47:01,%RH,61.679
28/06/14 14:49:01,%RH,61.53
28/06/14 14:51:01,%RH,60.34
28/06/14 14:53:01,%RH,61.382
28/06/14 14:55:01,%RH,61.679
28/06/14 14:57:01,%RH,62.123
28/06/14 14:59:01,%RH,63.157
28/06/14 15:01:01,%RH,63.745
28/06/14 15:03:01,%RH,62.714
28/06/14 15:05:01,%RH,63.157
28/06/14 15:07:01,%RH,62.714
28/06/14 15:09:01,%RH,63.157
28/06/14 15:11:01,%RH,64.478
28/06/14 15:13:01,%RH,63.745
28/06/14 15:15:01,%RH,64.478
28/06/14 15:17:01,%RH,65.645
28/06/14 15:19:01,%RH,64.77
28/06/14 15:21:01,%RH,65.499
28/06/14 15:23:01,%RH,65.062
28/06/14 15:25:01,%RH,65.208
28/06/14 15:27:01,%RH,66.371
28/06/14 15:29:01,%RH,67.094
28/06/14 15:31:01,%RH,69.82
28/06/14 15:33:01,%RH,72.509
28/06/14 15:35:01,%RH,74.048
28/06/14 15:37:01,%RH,75.298
28/06/14 15:39:01,%RH,77.363
28/06/14 15:41:01,%RH,78.998
28/06/14 15:43:01,%RH,80.08
28/06/14 15:45:01,%RH,80.752
28/06/14 15:47:01,%RH,81.289
28/06/14 15:49:01,%RH,82.09
28/06/14 15:51:01,%RH,81.957
28/06/14 15:53:01,%RH,80.886
28/06/14 15:55:01,%RH,82.489
28/06/14 15:57:01,%RH,82.489
28/06/14 15:59:01,%RH,83.813
28/06/14 16:01:01,%RH,83.549
28/06/14 16:03:01,%RH,82.887
28/06/14 16:05:01,%RH,84.996
28/06/14 16:07:01,%RH,85.127
28/06/14 16:09:01,%RH,86.301
28/06/14 16:11:01,%RH,86.301
28/06/14 16:13:01,%RH,87.595
28/06/14 16:15:01,%RH,87.981
28/06/14 16:17:01,%RH,88.494
28/06/14 16:19:01,%RH,87.466
28/06/14 16:21:01,%RH,87.337
28/06/14 16:23:01,%RH,88.622
28/06/14 16:25:01,%RH,88.878
28/06/14 16:27:01,%RH,88.878
28/06/14 16:29:01,%RH,88.75
28/06/14 16:31:01,%RH,89.389
28/06/14 16:33:01,%RH,89.389
28/06/14 16:35:01,%RH,88.75
28/06/14 16:37:01,%RH,89.389
28/06/14 16:39:01,%RH,88.878
28/06/14 16:41:01,%RH,89.389
28/06/14 16:43:01,%RH,89.134
28/06/14 16:45:01,%RH,89.006
28/06/14 16:47:01,%RH,89.643
28/06/14 16:49:01,%RH,89.006
28/06/14 16:51:01,%RH,88.878
28/06/14 16:53:01,%RH,89.516
28/06/14 16:55:01,%RH,89.261
28/06/14 16:57:01,%RH,90.405
28/06/14 16:59:01,%RH,90.278
28/06/14 17:01:01,%RH,90.658
28/06/14 17:03:01,%RH,90.532
28/06/14 17:05:01,%RH,90.784
28/06/14 17:07:01,%RH,91.037
28/06/14 17:09:01,%RH,91.917
28/06/14 17:11:01,%RH,90.405
28/06/14 17:13:01,%RH,91.289
28/06/14 17:15:01,%RH,90.278
28/06/14 17:17:01,%RH,91.163
28/06/14 17:19:01,%RH,91.666
28/06/14 17:21:01,%RH,91.666
28/06/14 17:23:01,%RH,92.417
28/06/14 17:25:01,%RH,92.292
28/06/14 17:27:01,%RH,92.792
28/06/14 17:29:01,%RH,91.917
28/06/14 17:31:01,%RH,91.037
28/06/14 17:33:01,%RH,92.167
28/06/14 17:35:01,%RH,91.163
28/06/14 17:37:01,%RH,92.292
28/06/14 17:39:01,%RH,92.167
28/06/14 17:41:01,%RH,91.917
28/06/14 17:43:01,%RH,92.542
28/06/14 17:45:01,%RH,92.417
28/06/14 17:47:01,%RH,93.165
28/06/14 17:49:01,%RH,92.417
28/06/14 17:51:01,%RH,92.417
28/06/14 17:53:01,%RH,92.417
28/06/14 17:55:01,%RH,92.292
28/06/14 17:57:01,%RH,92.667
28/06/14 17:59:01,%RH,93.785
28/06/14 18:01:01,%RH,92.042
28/06/14 18:03:01,%RH,93.662
28/06/14 18:05:01,%RH,93.909
28/06/14 18:07:01,%RH,93.662
28/06/14 18:09:01,%RH,92.042
28/06/14 18:11:01,%RH,93.041
28/06/14 18:13:01,%RH,93.909
28/06/14 18:15:01,%RH,93.785
28/06/14 18:17:01,%RH,93.041
28/06/14 18:19:01,%RH,93.289
28/06/14 18:21:01,%RH,94.033
28/06/14 18:23:01,%RH,93.414
28/06/14 18:25:01,%RH,93.538
28/06/14 18:27:01,%RH,93.414
28/06/14 18:29:01,%RH,93.165
28/06/14 18:31:01,%RH,92.542
28/06/14 18:33:01,%RH,93.165
28/06/14 18:35:01,%RH,92.792
28/06/14 18:37:01,%RH,93.041
28/06/14 18:39:01,%RH,93.538
28/06/14 18:41:01,%RH,92.916
28/06/14 18:43:01,%RH,93.041
28/06/14 18:45:01,%RH,93.414
28/06/14 18:47:01,%RH,93.538
28/06/14 18:49:01,%RH,92.417
28/06/14 18:51:01,%RH,93.662
28/06/14 18:53:01,%RH,94.033
28/06/14 18:55:01,%RH,93.662
28/06/14 18:57:01,%RH,93.662
28/06/14 18:59:01,%RH,93.785
28/06/14 19:01:01,%RH,93.538
28/06/14 19:03:01,%RH,93.538
28/06/14 19:05:01,%RH,93.909
28/06/14 19:07:01,%RH,93.662
28/06/14 19:09:01,%RH,93.289
28/06/14 19:11:01,%RH,93.662
28/06/14 19:13:01,%RH,93.289
28/06/14 19:15:01,%RH,92.792
28/06/14 19:17:01,%RH,94.526
28/06/14 19:19:01,%RH,93.538
28/06/14 19:21:01,%RH,92.916
28/06/14 19:23:01,%RH,93.289
28/06/14 19:25:01,%RH,93.165
28/06/14 19:27:01,%RH,92.916
28/06/14 19:29:01,%RH,94.033
28/06/14 19:31:01,%RH,94.773
28/06/14 19:33:01,%RH,93.909
