1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A400000033779E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:52:01 CST 2014
Mission Sample Count:  1457
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:52:01 CST 2014
Total Mission Samples:  1457
Total Device Samples:  8352
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:52:01,C,27.39
28/06/14 11:54:01,C,27.452
28/06/14 11:56:01,C,27.39
28/06/14 11:58:01,C,27.577
28/06/14 12:00:01,C,27.577
28/06/14 12:02:01,C,27.64
28/06/14 12:04:01,C,27.765
28/06/14 12:06:01,C,28.015
28/06/14 12:08:01,C,28.077
28/06/14 12:10:01,C,27.827
28/06/14 12:12:01,C,27.827
28/06/14 12:14:01,C,28.077
28/06/14 12:16:01,C,28.389
28/06/14 12:18:01,C,28.889
28/06/14 12:20:01,C,29.513
28/06/14 12:22:01,C,30.075
28/06/14 12:24:01,C,30.013
28/06/14 12:26:01,C,29.95
28/06/14 12:28:01,C,30.075
28/06/14 12:30:01,C,30.325
28/06/14 12:32:01,C,30.325
28/06/14 12:34:01,C,30.512
28/06/14 12:36:01,C,30.7
28/06/14 12:38:01,C,30.949
28/06/14 12:40:01,C,31.012
28/06/14 12:42:01,C,30.7
28/06/14 12:44:01,C,30.512
28/06/14 12:46:01,C,30.263
28/06/14 12:48:01,C,30.387
28/06/14 12:50:01,C,30.575
28/06/14 12:52:01,C,30.575
28/06/14 12:54:01,C,30.575
28/06/14 12:56:01,C,30.575
28/06/14 12:58:01,C,30.762
28/06/14 13:00:01,C,30.7
28/06/14 13:02:01,C,31.074
28/06/14 13:04:01,C,31.386
28/06/14 13:06:01,C,31.511
28/06/14 13:08:01,C,31.449
28/06/14 13:10:01,C,31.261
28/06/14 13:12:01,C,31.261
28/06/14 13:14:01,C,31.449
28/06/14 13:16:01,C,31.511
28/06/14 13:18:01,C,31.636
28/06/14 13:20:01,C,31.885
28/06/14 13:22:01,C,32.073
28/06/14 13:24:01,C,32.01
28/06/14 13:26:01,C,31.573
28/06/14 13:28:01,C,31.573
28/06/14 13:30:01,C,31.511
28/06/14 13:32:01,C,31.449
28/06/14 13:34:01,C,31.573
28/06/14 13:36:01,C,31.636
28/06/14 13:38:01,C,32.135
28/06/14 13:40:01,C,32.073
28/06/14 13:42:01,C,31.636
28/06/14 13:44:01,C,31.074
28/06/14 13:46:01,C,30.762
28/06/14 13:48:01,C,31.137
28/06/14 13:50:01,C,31.636
28/06/14 13:52:01,C,31.698
28/06/14 13:54:01,C,31.761
28/06/14 13:56:01,C,31.885
28/06/14 13:58:01,C,31.948
28/06/14 14:00:01,C,32.073
28/06/14 14:02:01,C,32.073
28/06/14 14:04:01,C,31.948
28/06/14 14:06:01,C,31.823
28/06/14 14:08:01,C,31.761
28/06/14 14:10:01,C,32.01
28/06/14 14:12:01,C,31.948
28/06/14 14:14:01,C,31.698
28/06/14 14:16:01,C,31.636
28/06/14 14:18:01,C,31.698
28/06/14 14:20:01,C,31.386
28/06/14 14:22:01,C,31.199
28/06/14 14:24:01,C,31.137
28/06/14 14:26:01,C,31.012
28/06/14 14:28:01,C,31.074
28/06/14 14:30:01,C,31.261
28/06/14 14:32:01,C,31.137
28/06/14 14:34:01,C,31.012
28/06/14 14:36:01,C,30.887
28/06/14 14:38:01,C,30.637
28/06/14 14:40:01,C,30.325
28/06/14 14:42:01,C,30.387
28/06/14 14:44:01,C,30.575
28/06/14 14:46:01,C,30.637
28/06/14 14:48:01,C,30.575
28/06/14 14:50:01,C,30.512
28/06/14 14:52:01,C,30.138
28/06/14 14:54:01,C,29.888
28/06/14 14:56:01,C,29.763
28/06/14 14:58:01,C,29.763
28/06/14 15:00:01,C,29.701
28/06/14 15:02:01,C,29.888
28/06/14 15:04:01,C,29.701
28/06/14 15:06:01,C,29.701
28/06/14 15:08:01,C,29.701
28/06/14 15:10:01,C,29.576
28/06/14 15:12:01,C,29.389
