1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3B000000337CBD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:50:01 CST 2014
Mission Sample Count:  1460
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:50:01 CST 2014
Total Mission Samples:  1460
Total Device Samples:  8331
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:50:01,C,26.81
28/06/14 11:52:01,C,26.873
28/06/14 11:54:01,C,26.935
28/06/14 11:56:01,C,27.06
28/06/14 11:58:01,C,27.373
28/06/14 12:00:01,C,27.498
28/06/14 12:02:01,C,27.31
28/06/14 12:04:01,C,27.435
28/06/14 12:06:01,C,27.685
28/06/14 12:08:01,C,27.685
28/06/14 12:10:01,C,27.748
28/06/14 12:12:01,C,27.81
28/06/14 12:14:01,C,28.06
28/06/14 12:16:01,C,28.247
28/06/14 12:18:01,C,28.747
28/06/14 12:20:01,C,29.372
28/06/14 12:22:01,C,29.871
28/06/14 12:24:01,C,30.059
28/06/14 12:26:01,C,30.309
28/06/14 12:28:01,C,30.496
28/06/14 12:30:01,C,30.558
28/06/14 12:32:01,C,30.808
28/06/14 12:34:01,C,30.995
28/06/14 12:36:01,C,30.808
28/06/14 12:38:01,C,30.933
28/06/14 12:40:01,C,30.683
28/06/14 12:42:01,C,30.683
28/06/14 12:44:01,C,30.496
28/06/14 12:46:01,C,30.121
28/06/14 12:48:01,C,30.121
28/06/14 12:50:01,C,30.246
28/06/14 12:52:01,C,30.246
28/06/14 12:54:01,C,30.309
28/06/14 12:56:01,C,30.371
28/06/14 12:58:01,C,30.309
28/06/14 13:00:01,C,30.371
28/06/14 13:02:01,C,30.683
28/06/14 13:04:01,C,30.871
28/06/14 13:06:01,C,30.808
28/06/14 13:08:01,C,30.746
28/06/14 13:10:01,C,30.683
28/06/14 13:12:01,C,30.558
28/06/14 13:14:01,C,30.746
28/06/14 13:16:01,C,30.746
28/06/14 13:18:01,C,30.746
28/06/14 13:20:01,C,30.995
28/06/14 13:22:01,C,31.183
28/06/14 13:24:01,C,31.058
28/06/14 13:26:01,C,30.871
28/06/14 13:28:01,C,30.746
28/06/14 13:30:01,C,30.621
28/06/14 13:32:01,C,30.746
28/06/14 13:34:01,C,30.683
28/06/14 13:36:01,C,30.871
28/06/14 13:38:01,C,31.245
28/06/14 13:40:01,C,31.308
28/06/14 13:42:01,C,30.995
28/06/14 13:44:01,C,30.434
28/06/14 13:46:01,C,30.246
28/06/14 13:48:01,C,30.558
28/06/14 13:50:01,C,30.808
28/06/14 13:52:01,C,30.995
28/06/14 13:54:01,C,30.808
28/06/14 13:56:01,C,30.933
28/06/14 13:58:01,C,31.058
28/06/14 14:00:01,C,31.058
28/06/14 14:02:01,C,30.995
28/06/14 14:04:01,C,30.808
28/06/14 14:06:01,C,30.746
28/06/14 14:08:01,C,30.746
28/06/14 14:10:01,C,30.808
28/06/14 14:12:01,C,30.808
28/06/14 14:14:01,C,30.621
28/06/14 14:16:01,C,30.558
28/06/14 14:18:01,C,30.558
28/06/14 14:20:01,C,30.496
28/06/14 14:22:01,C,30.434
28/06/14 14:24:01,C,30.371
28/06/14 14:26:01,C,30.309
28/06/14 14:28:01,C,30.309
28/06/14 14:30:01,C,30.309
28/06/14 14:32:01,C,30.059
28/06/14 14:34:01,C,29.934
28/06/14 14:36:01,C,29.747
28/06/14 14:38:01,C,29.622
28/06/14 14:40:01,C,29.434
28/06/14 14:42:01,C,29.497
28/06/14 14:44:01,C,29.497
28/06/14 14:46:01,C,29.497
28/06/14 14:48:01,C,29.497
28/06/14 14:50:01,C,29.559
28/06/14 14:52:01,C,29.247
28/06/14 14:54:01,C,29.122
28/06/14 14:56:01,C,29.184
