1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 74000000337C1341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:47:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:47:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8333
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:47:01,C,26.81
28/06/14 11:49:01,C,26.873
28/06/14 11:51:01,C,26.935
28/06/14 11:53:01,C,26.998
28/06/14 11:55:01,C,27.06
28/06/14 11:57:01,C,27.185
28/06/14 11:59:01,C,27.373
28/06/14 12:01:01,C,27.373
28/06/14 12:03:01,C,27.435
28/06/14 12:05:01,C,27.623
28/06/14 12:07:01,C,27.747
28/06/14 12:09:01,C,27.747
28/06/14 12:11:01,C,27.685
28/06/14 12:13:01,C,27.872
28/06/14 12:15:01,C,28.06
28/06/14 12:17:01,C,28.434
28/06/14 12:19:01,C,28.872
28/06/14 12:21:01,C,29.496
28/06/14 12:23:01,C,29.871
28/06/14 12:25:01,C,29.995
28/06/14 12:27:01,C,30.183
28/06/14 12:29:01,C,30.37
28/06/14 12:31:01,C,30.495
28/06/14 12:33:01,C,30.682
28/06/14 12:35:01,C,30.744
28/06/14 12:37:01,C,30.807
28/06/14 12:39:01,C,30.869
28/06/14 12:41:01,C,30.744
28/06/14 12:43:01,C,30.557
28/06/14 12:45:01,C,30.245
28/06/14 12:47:01,C,30.12
28/06/14 12:49:01,C,30.183
28/06/14 12:51:01,C,30.245
28/06/14 12:53:01,C,30.245
28/06/14 12:55:01,C,30.307
28/06/14 12:57:01,C,30.307
28/06/14 12:59:01,C,30.37
28/06/14 13:01:01,C,30.495
28/06/14 13:03:01,C,30.744
28/06/14 13:05:01,C,30.869
28/06/14 13:07:01,C,30.807
28/06/14 13:09:01,C,30.744
28/06/14 13:11:01,C,30.62
28/06/14 13:13:01,C,30.744
28/06/14 13:15:01,C,30.869
28/06/14 13:17:01,C,30.932
28/06/14 13:19:01,C,31.056
28/06/14 13:21:01,C,31.306
28/06/14 13:23:01,C,31.368
28/06/14 13:25:01,C,31.119
28/06/14 13:27:01,C,30.869
28/06/14 13:29:01,C,30.807
28/06/14 13:31:01,C,30.744
28/06/14 13:33:01,C,30.744
28/06/14 13:35:01,C,30.869
28/06/14 13:37:01,C,31.056
28/06/14 13:39:01,C,31.431
28/06/14 13:41:01,C,31.306
28/06/14 13:43:01,C,30.807
28/06/14 13:45:01,C,30.432
28/06/14 13:47:01,C,30.432
28/06/14 13:49:01,C,30.744
28/06/14 13:51:01,C,30.994
28/06/14 13:53:01,C,30.994
28/06/14 13:55:01,C,30.994
28/06/14 13:57:01,C,31.181
28/06/14 13:59:01,C,31.244
28/06/14 14:01:01,C,31.306
28/06/14 14:03:01,C,31.181
28/06/14 14:05:01,C,30.994
28/06/14 14:07:01,C,30.807
28/06/14 14:09:01,C,30.994
28/06/14 14:11:01,C,30.994
28/06/14 14:13:01,C,30.807
28/06/14 14:15:01,C,30.682
28/06/14 14:17:01,C,30.744
28/06/14 14:19:01,C,30.682
28/06/14 14:21:01,C,30.62
28/06/14 14:23:01,C,30.557
28/06/14 14:25:01,C,30.557
28/06/14 14:27:01,C,30.495
28/06/14 14:29:01,C,30.557
28/06/14 14:31:01,C,30.432
28/06/14 14:33:01,C,30.307
28/06/14 14:35:01,C,30.12
28/06/14 14:37:01,C,29.995
28/06/14 14:39:01,C,29.746
28/06/14 14:41:01,C,29.683
28/06/14 14:43:01,C,29.746
28/06/14 14:45:01,C,29.808
28/06/14 14:47:01,C,29.746
28/06/14 14:49:01,C,29.808
28/06/14 14:51:01,C,29.683
28/06/14 14:53:01,C,29.434
28/06/14 14:55:01,C,29.371
28/06/14 14:57:01,C,29.309
28/06/14 14:59:01,C,29.371
28/06/14 15:01:01,C,29.371
28/06/14 15:03:01,C,29.246
28/06/14 15:05:01,C,29.121
28/06/14 15:07:01,C,29.121
28/06/14 15:09:01,C,28.934
28/06/14 15:11:01,C,28.809
28/06/14 15:13:01,C,28.622
28/06/14 15:15:01,C,28.747
28/06/14 15:17:01,C,28.872
28/06/14 15:19:01,C,28.872
28/06/14 15:21:01,C,28.809
28/06/14 15:23:01,C,28.684
28/06/14 15:25:01,C,28.559
28/06/14 15:27:01,C,28.247
28/06/14 15:29:01,C,27.747
28/06/14 15:31:01,C,27.123
28/06/14 15:33:01,C,26.498
28/06/14 15:35:01,C,25.936
28/06/14 15:37:01,C,25.436
