1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F2000000337C8241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:48:01 CST 2014
Mission Sample Count:  1462
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:48:01 CST 2014
Total Mission Samples:  1462
Total Device Samples:  8418
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:48:01,C,26.437
28/06/14 11:50:01,C,26.5
28/06/14 11:52:01,C,26.562
28/06/14 11:54:01,C,26.562
28/06/14 11:56:01,C,26.687
28/06/14 11:58:01,C,26.937
28/06/14 12:00:01,C,27.062
28/06/14 12:02:01,C,26.937
28/06/14 12:04:01,C,27.125
28/06/14 12:06:01,C,27.374
28/06/14 12:08:01,C,27.374
28/06/14 12:10:01,C,27.374
28/06/14 12:12:01,C,27.437
28/06/14 12:14:01,C,27.562
28/06/14 12:16:01,C,27.812
28/06/14 12:18:01,C,28.249
28/06/14 12:20:01,C,28.811
28/06/14 12:22:01,C,29.311
28/06/14 12:24:01,C,29.436
28/06/14 12:26:01,C,29.623
28/06/14 12:28:01,C,29.748
28/06/14 12:30:01,C,29.81
28/06/14 12:32:01,C,29.997
28/06/14 12:34:01,C,30.122
28/06/14 12:36:01,C,30.06
28/06/14 12:38:01,C,30.185
28/06/14 12:40:01,C,30.06
28/06/14 12:42:01,C,29.997
28/06/14 12:44:01,C,29.81
28/06/14 12:46:01,C,29.56
28/06/14 12:48:01,C,29.498
28/06/14 12:50:01,C,29.623
28/06/14 12:52:01,C,29.685
28/06/14 12:54:01,C,29.748
28/06/14 12:56:01,C,29.81
28/06/14 12:58:01,C,29.81
28/06/14 13:00:01,C,29.81
28/06/14 13:02:01,C,30.06
28/06/14 13:04:01,C,30.247
28/06/14 13:06:01,C,30.247
28/06/14 13:08:01,C,30.247
28/06/14 13:10:01,C,30.185
28/06/14 13:12:01,C,30.06
28/06/14 13:14:01,C,30.247
28/06/14 13:16:01,C,30.31
28/06/14 13:18:01,C,30.31
28/06/14 13:20:01,C,30.559
28/06/14 13:22:01,C,30.809
28/06/14 13:24:01,C,30.622
28/06/14 13:26:01,C,30.372
28/06/14 13:28:01,C,30.247
28/06/14 13:30:01,C,30.122
28/06/14 13:32:01,C,30.185
28/06/14 13:34:01,C,30.247
28/06/14 13:36:01,C,30.435
28/06/14 13:38:01,C,30.809
28/06/14 13:40:01,C,30.872
28/06/14 13:42:01,C,30.497
28/06/14 13:44:01,C,29.997
28/06/14 13:46:01,C,29.81
28/06/14 13:48:01,C,30.06
28/06/14 13:50:01,C,30.372
28/06/14 13:52:01,C,30.497
28/06/14 13:54:01,C,30.435
28/06/14 13:56:01,C,30.622
28/06/14 13:58:01,C,30.684
28/06/14 14:00:01,C,30.747
28/06/14 14:02:01,C,30.684
28/06/14 14:04:01,C,30.497
28/06/14 14:06:01,C,30.372
28/06/14 14:08:01,C,30.31
28/06/14 14:10:01,C,30.497
28/06/14 14:12:01,C,30.435
28/06/14 14:14:01,C,30.31
28/06/14 14:16:01,C,30.247
28/06/14 14:18:01,C,30.247
28/06/14 14:20:01,C,30.185
28/06/14 14:22:01,C,30.185
28/06/14 14:24:01,C,30.122
28/06/14 14:26:01,C,29.997
28/06/14 14:28:01,C,30.06
28/06/14 14:30:01,C,30.122
28/06/14 14:32:01,C,29.873
28/06/14 14:34:01,C,29.685
28/06/14 14:36:01,C,29.498
28/06/14 14:38:01,C,29.373
28/06/14 14:40:01,C,29.248
28/06/14 14:42:01,C,29.248
28/06/14 14:44:01,C,29.311
28/06/14 14:46:01,C,29.248
28/06/14 14:48:01,C,29.248
28/06/14 14:50:01,C,29.311
28/06/14 14:52:01,C,29.061
28/06/14 14:54:01,C,28.936
28/06/14 14:56:01,C,28.998
28/06/14 14:58:01,C,29.061
28/06/14 15:00:01,C,29.061
28/06/14 15:02:01,C,28.936
28/06/14 15:04:01,C,28.686
28/06/14 15:06:01,C,28.811
28/06/14 15:08:01,C,28.624
28/06/14 15:10:01,C,28.499
28/06/14 15:12:01,C,28.311
