1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7F0000003382EF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:53:01 CST 2014
Mission Sample Count:  1459
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:53:01 CST 2014
Total Mission Samples:  1459
Total Device Samples:  8259
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:53:01,C,27.144
28/06/14 11:55:01,C,27.144
28/06/14 11:57:01,C,27.207
28/06/14 11:59:01,C,27.269
28/06/14 12:01:01,C,27.394
28/06/14 12:03:01,C,27.457
28/06/14 12:05:01,C,27.644
28/06/14 12:07:01,C,27.894
28/06/14 12:09:01,C,27.707
28/06/14 12:11:01,C,27.519
28/06/14 12:13:01,C,27.707
28/06/14 12:15:01,C,27.956
28/06/14 12:17:01,C,28.269
28/06/14 12:19:01,C,28.768
28/06/14 12:21:01,C,29.393
28/06/14 12:23:01,C,29.58
28/06/14 12:25:01,C,29.518
28/06/14 12:27:01,C,29.518
28/06/14 12:29:01,C,29.83
28/06/14 12:31:01,C,29.83
28/06/14 12:33:01,C,30.08
28/06/14 12:35:01,C,30.205
28/06/14 12:37:01,C,30.392
28/06/14 12:39:01,C,30.642
28/06/14 12:41:01,C,30.455
28/06/14 12:43:01,C,30.205
28/06/14 12:45:01,C,29.893
28/06/14 12:47:01,C,29.893
28/06/14 12:49:01,C,29.955
28/06/14 12:51:01,C,30.142
28/06/14 12:53:01,C,30.018
28/06/14 12:55:01,C,30.142
28/06/14 12:57:01,C,30.267
28/06/14 12:59:01,C,30.267
28/06/14 13:01:01,C,30.392
28/06/14 13:03:01,C,30.767
28/06/14 13:05:01,C,31.017
28/06/14 13:07:01,C,30.954
28/06/14 13:09:01,C,30.892
28/06/14 13:11:01,C,30.704
28/06/14 13:13:01,C,30.892
28/06/14 13:15:01,C,31.079
28/06/14 13:17:01,C,31.204
28/06/14 13:19:01,C,31.266
28/06/14 13:21:01,C,31.703
28/06/14 13:23:01,C,31.766
28/06/14 13:25:01,C,31.329
28/06/14 13:27:01,C,31.141
28/06/14 13:29:01,C,31.079
28/06/14 13:31:01,C,30.954
28/06/14 13:33:01,C,30.954
28/06/14 13:35:01,C,31.141
28/06/14 13:37:01,C,31.391
28/06/14 13:39:01,C,31.703
28/06/14 13:41:01,C,31.578
28/06/14 13:43:01,C,31.079
28/06/14 13:45:01,C,30.517
28/06/14 13:47:01,C,30.58
28/06/14 13:49:01,C,30.954
28/06/14 13:51:01,C,31.266
28/06/14 13:53:01,C,31.391
28/06/14 13:55:01,C,31.454
28/06/14 13:57:01,C,31.641
28/06/14 13:59:01,C,31.703
28/06/14 14:01:01,C,31.891
28/06/14 14:03:01,C,31.828
28/06/14 14:05:01,C,31.578
28/06/14 14:07:01,C,31.516
28/06/14 14:09:01,C,31.703
28/06/14 14:11:01,C,31.641
28/06/14 14:13:01,C,31.454
28/06/14 14:15:01,C,31.391
28/06/14 14:17:01,C,31.454
28/06/14 14:19:01,C,31.329
28/06/14 14:21:01,C,31.204
28/06/14 14:23:01,C,31.079
28/06/14 14:25:01,C,31.079
28/06/14 14:27:01,C,30.954
28/06/14 14:29:01,C,31.141
28/06/14 14:31:01,C,31.141
28/06/14 14:33:01,C,31.017
28/06/14 14:35:01,C,30.892
28/06/14 14:37:01,C,30.704
28/06/14 14:39:01,C,30.392
28/06/14 14:41:01,C,30.205
28/06/14 14:43:01,C,30.392
28/06/14 14:45:01,C,30.58
28/06/14 14:47:01,C,30.517
28/06/14 14:49:01,C,30.517
28/06/14 14:51:01,C,30.392
28/06/14 14:53:01,C,30.018
28/06/14 14:55:01,C,29.83
28/06/14 14:57:01,C,29.768
28/06/14 14:59:01,C,29.768
28/06/14 15:01:01,C,29.768
28/06/14 15:03:01,C,29.768
28/06/14 15:05:01,C,29.705
28/06/14 15:07:01,C,29.705
28/06/14 15:09:01,C,29.518
28/06/14 15:11:01,C,29.393
28/06/14 15:13:01,C,29.081
28/06/14 15:15:01,C,29.331
28/06/14 15:17:01,C,29.268
28/06/14 15:19:01,C,29.206
28/06/14 15:21:01,C,28.956
28/06/14 15:23:01,C,28.831
28/06/14 15:25:01,C,28.706
28/06/14 15:27:01,C,28.394
28/06/14 15:29:01,C,27.832
28/06/14 15:31:01,C,27.082
28/06/14 15:33:01,C,26.394
28/06/14 15:35:01,C,25.832
28/06/14 15:37:01,C,25.332
28/06/14 15:39:01,C,25.082
28/06/14 15:41:01,C,24.957
28/06/14 15:43:01,C,24.769
28/06/14 15:45:01,C,24.644
28/06/14 15:47:01,C,24.519
28/06/14 15:49:01,C,24.519
28/06/14 15:51:01,C,24.457
28/06/14 15:53:01,C,24.332
28/06/14 15:55:01,C,24.207
28/06/14 15:57:01,C,24.082
28/06/14 15:59:01,C,24.019
28/06/14 16:01:01,C,23.957
28/06/14 16:03:01,C,23.832
28/06/14 16:05:01,C,23.707
28/06/14 16:07:01,C,23.582
28/06/14 16:09:01,C,23.519
28/06/14 16:11:01,C,23.519
28/06/14 16:13:01,C,23.457
28/06/14 16:15:01,C,23.457
28/06/14 16:17:01,C,23.394
28/06/14 16:19:01,C,23.332
28/06/14 16:21:01,C,23.269
28/06/14 16:23:01,C,23.207
28/06/14 16:25:01,C,23.144
28/06/14 16:27:01,C,23.144
28/06/14 16:29:01,C,23.081
28/06/14 16:31:01,C,23.081
28/06/14 16:33:01,C,23.019
28/06/14 16:35:01,C,23.019
28/06/14 16:37:01,C,23.019
28/06/14 16:39:01,C,22.956
28/06/14 16:41:01,C,22.956
28/06/14 16:43:01,C,22.956
28/06/14 16:45:01,C,22.956
28/06/14 16:47:01,C,22.956
28/06/14 16:49:01,C,22.956
28/06/14 16:51:01,C,22.894
28/06/14 16:53:01,C,22.894
28/06/14 16:55:01,C,22.831
28/06/14 16:57:01,C,22.769
