1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 60000000337E9F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:45:01 CST 2014
Mission Sample Count:  1464
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:45:01 CST 2014
Total Mission Samples:  1464
Total Device Samples:  8587
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:45:01,C,26.851
28/06/14 11:47:01,C,26.851
28/06/14 11:49:01,C,26.914
28/06/14 11:51:01,C,27.039
28/06/14 11:53:01,C,27.101
28/06/14 11:55:01,C,27.163
28/06/14 11:57:01,C,27.226
28/06/14 11:59:01,C,27.351
28/06/14 12:01:01,C,27.351
28/06/14 12:03:01,C,27.413
28/06/14 12:05:01,C,27.663
28/06/14 12:07:01,C,27.851
28/06/14 12:09:01,C,27.788
28/06/14 12:11:01,C,27.726
28/06/14 12:13:01,C,27.851
28/06/14 12:15:01,C,28.1
28/06/14 12:17:01,C,28.475
28/06/14 12:19:01,C,28.975
28/06/14 12:21:01,C,29.599
28/06/14 12:23:01,C,30.099
28/06/14 12:25:01,C,30.224
28/06/14 12:27:01,C,30.411
28/06/14 12:29:01,C,30.536
28/06/14 12:31:01,C,30.661
28/06/14 12:33:01,C,30.91
28/06/14 12:35:01,C,30.973
28/06/14 12:37:01,C,31.035
28/06/14 12:39:01,C,31.098
28/06/14 12:41:01,C,31.035
28/06/14 12:43:01,C,30.91
28/06/14 12:45:01,C,30.661
28/06/14 12:47:01,C,30.473
28/06/14 12:49:01,C,30.536
28/06/14 12:51:01,C,30.661
28/06/14 12:53:01,C,30.661
28/06/14 12:55:01,C,30.661
28/06/14 12:57:01,C,30.723
28/06/14 12:59:01,C,30.785
28/06/14 13:01:01,C,30.848
28/06/14 13:03:01,C,31.16
28/06/14 13:05:01,C,31.285
28/06/14 13:07:01,C,31.222
28/06/14 13:09:01,C,31.285
28/06/14 13:11:01,C,31.16
28/06/14 13:13:01,C,31.16
28/06/14 13:15:01,C,31.285
28/06/14 13:17:01,C,31.285
28/06/14 13:19:01,C,31.472
28/06/14 13:21:01,C,31.722
28/06/14 13:23:01,C,31.847
28/06/14 13:25:01,C,31.597
28/06/14 13:27:01,C,31.41
28/06/14 13:29:01,C,31.285
28/06/14 13:31:01,C,31.285
28/06/14 13:33:01,C,31.285
28/06/14 13:35:01,C,31.347
28/06/14 13:37:01,C,31.597
28/06/14 13:39:01,C,31.971
28/06/14 13:41:01,C,31.847
28/06/14 13:43:01,C,31.347
28/06/14 13:45:01,C,30.848
28/06/14 13:47:01,C,30.785
28/06/14 13:49:01,C,31.098
28/06/14 13:51:01,C,31.41
28/06/14 13:53:01,C,31.472
28/06/14 13:55:01,C,31.472
28/06/14 13:57:01,C,31.659
28/06/14 13:59:01,C,31.784
28/06/14 14:01:01,C,31.847
28/06/14 14:03:01,C,31.722
28/06/14 14:05:01,C,31.597
28/06/14 14:07:01,C,31.472
28/06/14 14:09:01,C,31.597
28/06/14 14:11:01,C,31.597
28/06/14 14:13:01,C,31.472
28/06/14 14:15:01,C,31.285
28/06/14 14:17:01,C,31.347
28/06/14 14:19:01,C,31.222
28/06/14 14:21:01,C,31.16
28/06/14 14:23:01,C,30.973
28/06/14 14:25:01,C,30.973
28/06/14 14:27:01,C,30.91
28/06/14 14:29:01,C,30.91
28/06/14 14:31:01,C,30.848
28/06/14 14:33:01,C,30.723
28/06/14 14:35:01,C,30.661
28/06/14 14:37:01,C,30.473
28/06/14 14:39:01,C,30.286
28/06/14 14:41:01,C,30.224
28/06/14 14:43:01,C,30.286
28/06/14 14:45:01,C,30.411
28/06/14 14:47:01,C,30.348
28/06/14 14:49:01,C,30.286
28/06/14 14:51:01,C,30.224
28/06/14 14:53:01,C,29.911
28/06/14 14:55:01,C,29.787
28/06/14 14:57:01,C,29.724
28/06/14 14:59:01,C,29.724
28/06/14 15:01:01,C,29.787
28/06/14 15:03:01,C,29.662
28/06/14 15:05:01,C,29.537
28/06/14 15:07:01,C,29.537
28/06/14 15:09:01,C,29.412
28/06/14 15:11:01,C,29.287
28/06/14 15:13:01,C,29.1
28/06/14 15:15:01,C,29.162
28/06/14 15:17:01,C,29.225
28/06/14 15:19:01,C,29.287
28/06/14 15:21:01,C,29.1
28/06/14 15:23:01,C,28.975
28/06/14 15:25:01,C,28.85
28/06/14 15:27:01,C,28.6
28/06/14 15:29:01,C,27.976
28/06/14 15:31:01,C,27.163
28/06/14 15:33:01,C,26.539
28/06/14 15:35:01,C,25.914
28/06/14 15:37:01,C,25.414
28/06/14 15:39:01,C,25.102
28/06/14 15:41:01,C,24.977
28/06/14 15:43:01,C,24.852
28/06/14 15:45:01,C,24.664
28/06/14 15:47:01,C,24.602
28/06/14 15:49:01,C,24.539
28/06/14 15:51:01,C,24.414
28/06/14 15:53:01,C,24.289
28/06/14 15:55:01,C,24.164
28/06/14 15:57:01,C,24.039
28/06/14 15:59:01,C,24.039
28/06/14 16:01:01,C,23.977
28/06/14 16:03:01,C,23.852
28/06/14 16:05:01,C,23.726
28/06/14 16:07:01,C,23.664
28/06/14 16:09:01,C,23.539
28/06/14 16:11:01,C,23.476
28/06/14 16:13:01,C,23.476
28/06/14 16:15:01,C,23.476
28/06/14 16:17:01,C,23.414
28/06/14 16:19:01,C,23.351
28/06/14 16:21:01,C,23.289
28/06/14 16:23:01,C,23.289
28/06/14 16:25:01,C,23.226
28/06/14 16:27:01,C,23.164
28/06/14 16:29:01,C,23.101
28/06/14 16:31:01,C,23.101
28/06/14 16:33:01,C,23.039
28/06/14 16:35:01,C,23.039
28/06/14 16:37:01,C,22.976
28/06/14 16:39:01,C,22.976
28/06/14 16:41:01,C,22.976
28/06/14 16:43:01,C,22.976
28/06/14 16:45:01,C,22.914
28/06/14 16:47:01,C,22.976
28/06/14 16:49:01,C,22.914
28/06/14 16:51:01,C,22.851
28/06/14 16:53:01,C,22.851
28/06/14 16:55:01,C,22.789
28/06/14 16:57:01,C,22.789
28/06/14 16:59:01,C,22.789
28/06/14 17:01:01,C,22.726
28/06/14 17:03:01,C,22.726
28/06/14 17:05:01,C,22.726
28/06/14 17:07:01,C,22.664
28/06/14 17:09:01,C,22.664
28/06/14 17:11:01,C,22.601
28/06/14 17:13:01,C,22.601
28/06/14 17:15:01,C,22.539
28/06/14 17:17:01,C,22.539
28/06/14 17:19:01,C,22.601
28/06/14 17:21:01,C,22.539
28/06/14 17:23:01,C,22.539
28/06/14 17:25:01,C,22.539
28/06/14 17:27:01,C,22.539
28/06/14 17:29:01,C,22.539
28/06/14 17:31:01,C,22.476
28/06/14 17:33:01,C,22.476
28/06/14 17:35:01,C,22.476
28/06/14 17:37:01,C,22.476
28/06/14 17:39:01,C,22.476
28/06/14 17:41:01,C,22.476
28/06/14 17:43:01,C,22.414
28/06/14 17:45:01,C,22.414
28/06/14 17:47:01,C,22.476
28/06/14 17:49:01,C,22.476
