1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A000000337A4741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:49:01 CST 2014
Mission Sample Count:  1463
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:49:01 CST 2014
Total Mission Samples:  1463
Total Device Samples:  8470
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:49:01,C,27.078
28/06/14 11:51:01,C,27.14
28/06/14 11:53:01,C,27.265
28/06/14 11:55:01,C,27.328
28/06/14 11:57:01,C,27.452
28/06/14 11:59:01,C,27.515
28/06/14 12:01:01,C,27.64
28/06/14 12:03:01,C,27.702
28/06/14 12:05:01,C,27.89
28/06/14 12:07:01,C,28.077
28/06/14 12:09:01,C,28.015
28/06/14 12:11:01,C,27.952
28/06/14 12:13:01,C,28.14
28/06/14 12:15:01,C,28.389
28/06/14 12:17:01,C,28.827
28/06/14 12:19:01,C,29.389
28/06/14 12:21:01,C,30.075
28/06/14 12:23:01,C,30.45
28/06/14 12:25:01,C,30.45
28/06/14 12:27:01,C,30.575
28/06/14 12:29:01,C,30.825
28/06/14 12:31:01,C,30.825
28/06/14 12:33:01,C,31.074
28/06/14 12:35:01,C,31.199
28/06/14 12:37:01,C,31.261
28/06/14 12:39:01,C,31.386
28/06/14 12:41:01,C,31.324
28/06/14 12:43:01,C,31.199
28/06/14 12:45:01,C,30.949
28/06/14 12:47:01,C,30.762
28/06/14 12:49:01,C,30.887
28/06/14 12:51:01,C,30.949
28/06/14 12:53:01,C,31.012
28/06/14 12:55:01,C,30.949
28/06/14 12:57:01,C,31.012
28/06/14 12:59:01,C,31.012
28/06/14 13:01:01,C,31.137
28/06/14 13:03:01,C,31.574
28/06/14 13:05:01,C,31.698
28/06/14 13:07:01,C,31.636
28/06/14 13:09:01,C,31.636
28/06/14 13:11:01,C,31.449
28/06/14 13:13:01,C,31.511
28/06/14 13:15:01,C,31.698
28/06/14 13:17:01,C,31.761
28/06/14 13:19:01,C,31.886
28/06/14 13:21:01,C,32.198
28/06/14 13:23:01,C,32.322
28/06/14 13:25:01,C,32.073
28/06/14 13:27:01,C,31.761
28/06/14 13:29:01,C,31.636
28/06/14 13:31:01,C,31.636
28/06/14 13:33:01,C,31.636
28/06/14 13:35:01,C,31.761
28/06/14 13:37:01,C,32.073
28/06/14 13:39:01,C,32.447
28/06/14 13:41:01,C,32.26
28/06/14 13:43:01,C,31.636
28/06/14 13:45:01,C,31.074
28/06/14 13:47:01,C,31.074
28/06/14 13:49:01,C,31.511
28/06/14 13:51:01,C,31.948
28/06/14 13:53:01,C,32.01
28/06/14 13:55:01,C,31.948
28/06/14 13:57:01,C,32.135
28/06/14 13:59:01,C,32.26
28/06/14 14:01:01,C,32.322
28/06/14 14:03:01,C,32.198
28/06/14 14:05:01,C,32.073
28/06/14 14:07:01,C,31.886
28/06/14 14:09:01,C,32.01
28/06/14 14:11:01,C,32.01
28/06/14 14:13:01,C,31.823
28/06/14 14:15:01,C,31.636
28/06/14 14:17:01,C,31.698
28/06/14 14:19:01,C,31.511
28/06/14 14:21:01,C,31.449
28/06/14 14:23:01,C,31.261
28/06/14 14:25:01,C,31.261
28/06/14 14:27:01,C,31.199
28/06/14 14:29:01,C,31.261
28/06/14 14:31:01,C,31.261
28/06/14 14:33:01,C,31.137
28/06/14 14:35:01,C,31.012
28/06/14 14:37:01,C,30.887
28/06/14 14:39:01,C,30.637
28/06/14 14:41:01,C,30.637
28/06/14 14:43:01,C,30.7
28/06/14 14:45:01,C,30.825
28/06/14 14:47:01,C,30.7
28/06/14 14:49:01,C,30.637
28/06/14 14:51:01,C,30.575
28/06/14 14:53:01,C,30.263
28/06/14 14:55:01,C,30.075
28/06/14 14:57:01,C,29.951
28/06/14 14:59:01,C,29.888
28/06/14 15:01:01,C,30.013
28/06/14 15:03:01,C,29.951
28/06/14 15:05:01,C,29.826
28/06/14 15:07:01,C,29.826
28/06/14 15:09:01,C,29.638
28/06/14 15:11:01,C,29.513
28/06/14 15:13:01,C,29.326
28/06/14 15:15:01,C,29.451
28/06/14 15:17:01,C,29.389
28/06/14 15:19:01,C,29.451
28/06/14 15:21:01,C,29.326
28/06/14 15:23:01,C,29.201
28/06/14 15:25:01,C,29.014
28/06/14 15:27:01,C,28.764
28/06/14 15:29:01,C,28.077
28/06/14 15:31:01,C,27.14
28/06/14 15:33:01,C,26.515
28/06/14 15:35:01,C,25.953
28/06/14 15:37:01,C,25.453
28/06/14 15:39:01,C,25.203
28/06/14 15:41:01,C,25.016
28/06/14 15:43:01,C,24.891
28/06/14 15:45:01,C,24.703
28/06/14 15:47:01,C,24.641
28/06/14 15:49:01,C,24.578
28/06/14 15:51:01,C,24.453
28/06/14 15:53:01,C,24.391
28/06/14 15:55:01,C,24.266
28/06/14 15:57:01,C,24.141
28/06/14 15:59:01,C,24.078
28/06/14 16:01:01,C,24.016
28/06/14 16:03:01,C,23.891
28/06/14 16:05:01,C,23.766
28/06/14 16:07:01,C,23.703
28/06/14 16:09:01,C,23.578
28/06/14 16:11:01,C,23.578
28/06/14 16:13:01,C,23.515
28/06/14 16:15:01,C,23.515
28/06/14 16:17:01,C,23.515
28/06/14 16:19:01,C,23.39
28/06/14 16:21:01,C,23.328
28/06/14 16:23:01,C,23.265
28/06/14 16:25:01,C,23.203
28/06/14 16:27:01,C,23.203
28/06/14 16:29:01,C,23.14
28/06/14 16:31:01,C,23.14
28/06/14 16:33:01,C,23.078
28/06/14 16:35:01,C,23.078
28/06/14 16:37:01,C,23.015
28/06/14 16:39:01,C,23.015
28/06/14 16:41:01,C,23.015
28/06/14 16:43:01,C,23.015
28/06/14 16:45:01,C,23.015
28/06/14 16:47:01,C,23.015
28/06/14 16:49:01,C,23.015
28/06/14 16:51:01,C,22.953
28/06/14 16:53:01,C,22.89
28/06/14 16:55:01,C,22.89
28/06/14 16:57:01,C,22.828
28/06/14 16:59:01,C,22.828
28/06/14 17:01:01,C,22.828
28/06/14 17:03:01,C,22.765
28/06/14 17:05:01,C,22.765
28/06/14 17:07:01,C,22.703
28/06/14 17:09:01,C,22.64
28/06/14 17:11:01,C,22.64
28/06/14 17:13:01,C,22.64
28/06/14 17:15:01,C,22.64
28/06/14 17:17:01,C,22.578
28/06/14 17:19:01,C,22.578
28/06/14 17:21:01,C,22.578
28/06/14 17:23:01,C,22.578
28/06/14 17:25:01,C,22.578
28/06/14 17:27:01,C,22.578
28/06/14 17:29:01,C,22.515
28/06/14 17:31:01,C,22.515
28/06/14 17:33:01,C,22.515
28/06/14 17:35:01,C,22.515
28/06/14 17:37:01,C,22.453
28/06/14 17:39:01,C,22.453
28/06/14 17:41:01,C,22.453
28/06/14 17:43:01,C,22.453
28/06/14 17:45:01,C,22.453
28/06/14 17:47:01,C,22.453
28/06/14 17:49:01,C,22.515
28/06/14 17:51:01,C,22.515
28/06/14 17:53:01,C,22.515
28/06/14 17:55:01,C,22.453
28/06/14 17:57:01,C,22.453
28/06/14 17:59:01,C,22.453
28/06/14 18:01:01,C,22.515
28/06/14 18:03:01,C,22.515
28/06/14 18:05:01,C,22.515
28/06/14 18:07:01,C,22.515
28/06/14 18:09:01,C,22.515
28/06/14 18:11:01,C,22.453
28/06/14 18:13:01,C,22.453
28/06/14 18:15:01,C,22.453
28/06/14 18:17:01,C,22.453
28/06/14 18:19:01,C,22.453
28/06/14 18:21:01,C,22.453
28/06/14 18:23:01,C,22.453
28/06/14 18:25:01,C,22.453
28/06/14 18:27:01,C,22.453
28/06/14 18:29:01,C,22.39
28/06/14 18:31:01,C,22.39
28/06/14 18:33:01,C,22.39
28/06/14 18:35:01,C,22.39
