1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 420000003378F341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:55:01 CST 2014
Mission Sample Count:  1453
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:55:01 CST 2014
Total Mission Samples:  1453
Total Device Samples:  8450
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:55:01,%RH,80.24
28/06/14 11:57:01,%RH,81.057
28/06/14 11:59:01,%RH,80.513
28/06/14 12:01:01,%RH,79.42
28/06/14 12:03:01,%RH,80.649
28/06/14 12:05:01,%RH,79.967
28/06/14 12:07:01,%RH,79.967
28/06/14 12:09:01,%RH,80.785
28/06/14 12:11:01,%RH,79.967
28/06/14 12:13:01,%RH,80.785
28/06/14 12:15:01,%RH,79.283
28/06/14 12:17:01,%RH,81.057
28/06/14 12:19:01,%RH,79.557
28/06/14 12:21:01,%RH,78.734
28/06/14 12:23:01,%RH,78.459
28/06/14 12:25:01,%RH,77.079
28/06/14 12:27:01,%RH,77.908
28/06/14 12:29:01,%RH,77.632
28/06/14 12:31:01,%RH,77.079
28/06/14 12:33:01,%RH,76.663
28/06/14 12:35:01,%RH,74.993
28/06/14 12:37:01,%RH,74.993
28/06/14 12:39:01,%RH,75.551
28/06/14 12:41:01,%RH,74.573
28/06/14 12:43:01,%RH,74.293
28/06/14 12:45:01,%RH,74.013
28/06/14 12:47:01,%RH,73.45
28/06/14 12:49:01,%RH,73.732
28/06/14 12:51:01,%RH,74.433
28/06/14 12:53:01,%RH,74.013
28/06/14 12:55:01,%RH,73.591
28/06/14 12:57:01,%RH,73.45
28/06/14 12:59:01,%RH,72.746
28/06/14 13:01:01,%RH,72.322
28/06/14 13:03:01,%RH,73.45
28/06/14 13:05:01,%RH,73.028
28/06/14 13:07:01,%RH,71.898
28/06/14 13:09:01,%RH,71.614
28/06/14 13:11:01,%RH,72.181
28/06/14 13:13:01,%RH,70.904
28/06/14 13:15:01,%RH,71.188
28/06/14 13:17:01,%RH,70.762
28/06/14 13:19:01,%RH,70.191
28/06/14 13:21:01,%RH,71.188
28/06/14 13:23:01,%RH,71.046
28/06/14 13:25:01,%RH,71.046
28/06/14 13:27:01,%RH,71.046
28/06/14 13:29:01,%RH,70.477
28/06/14 13:31:01,%RH,70.049
28/06/14 13:33:01,%RH,69.906
28/06/14 13:35:01,%RH,69.906
28/06/14 13:37:01,%RH,69.763
28/06/14 13:39:01,%RH,69.334
