1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0F000000337F0141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:49:01 CST 2014
Mission Sample Count:  1457
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:49:01 CST 2014
Total Mission Samples:  1457
Total Device Samples:  8364
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:49:01,%RH,80.287
28/06/14 11:51:01,%RH,79.883
28/06/14 11:53:01,%RH,80.556
28/06/14 11:55:01,%RH,80.69
28/06/14 11:57:01,%RH,81.092
28/06/14 11:59:01,%RH,80.556
28/06/14 12:01:01,%RH,79.883
28/06/14 12:03:01,%RH,80.018
28/06/14 12:05:01,%RH,79.883
28/06/14 12:07:01,%RH,79.748
28/06/14 12:09:01,%RH,79.883
28/06/14 12:11:01,%RH,78.802
28/06/14 12:13:01,%RH,78.666
28/06/14 12:15:01,%RH,79.073
28/06/14 12:17:01,%RH,78.666
28/06/14 12:19:01,%RH,77.986
28/06/14 12:21:01,%RH,77.85
28/06/14 12:23:01,%RH,77.304
28/06/14 12:25:01,%RH,77.441
28/06/14 12:27:01,%RH,76.207
28/06/14 12:29:01,%RH,76.619
28/06/14 12:31:01,%RH,75.932
28/06/14 12:33:01,%RH,75.519
28/06/14 12:35:01,%RH,74.827
28/06/14 12:37:01,%RH,74.134
28/06/14 12:39:01,%RH,73.716
28/06/14 12:41:01,%RH,73.577
28/06/14 12:43:01,%RH,73.018
28/06/14 12:45:01,%RH,72.458
28/06/14 12:47:01,%RH,73.018
28/06/14 12:49:01,%RH,73.577
28/06/14 12:51:01,%RH,74.134
28/06/14 12:53:01,%RH,73.158
28/06/14 12:55:01,%RH,72.178
28/06/14 12:57:01,%RH,72.178
28/06/14 12:59:01,%RH,72.598
28/06/14 13:01:01,%RH,71.896
28/06/14 13:03:01,%RH,72.178
28/06/14 13:05:01,%RH,72.458
28/06/14 13:07:01,%RH,73.158
