1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C000000337BDA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:50:01 CST 2014
Mission Sample Count:  1456
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:50:01 CST 2014
Total Mission Samples:  1456
Total Device Samples:  8387
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:50:01,%RH,80.178
28/06/14 11:52:01,%RH,79.496
28/06/14 11:54:01,%RH,79.769
28/06/14 11:56:01,%RH,79.496
28/06/14 11:58:01,%RH,78.949
28/06/14 12:00:01,%RH,79.36
28/06/14 12:02:01,%RH,80.314
28/06/14 12:04:01,%RH,79.769
28/06/14 12:06:01,%RH,80.042
28/06/14 12:08:01,%RH,79.496
28/06/14 12:10:01,%RH,78.812
28/06/14 12:12:01,%RH,78.675
28/06/14 12:14:01,%RH,78.538
28/06/14 12:16:01,%RH,77.575
28/06/14 12:18:01,%RH,78.263
28/06/14 12:20:01,%RH,76.884
28/06/14 12:22:01,%RH,77.299
28/06/14 12:24:01,%RH,75.913
28/06/14 12:26:01,%RH,75.913
28/06/14 12:28:01,%RH,76.33
28/06/14 12:30:01,%RH,75.913
28/06/14 12:32:01,%RH,75.356
28/06/14 12:34:01,%RH,73.818
28/06/14 12:36:01,%RH,73.678
28/06/14 12:38:01,%RH,74.938
28/06/14 12:40:01,%RH,70.992
28/06/14 12:42:01,%RH,72.127
28/06/14 12:44:01,%RH,70.85
28/06/14 12:46:01,%RH,72.127
28/06/14 12:48:01,%RH,72.551
28/06/14 12:50:01,%RH,71.702
28/06/14 12:52:01,%RH,71.844
28/06/14 12:54:01,%RH,72.268
28/06/14 12:56:01,%RH,72.127
28/06/14 12:58:01,%RH,71.986
28/06/14 13:00:01,%RH,71.561
28/06/14 13:02:01,%RH,71.561
28/06/14 13:04:01,%RH,70.85
28/06/14 13:06:01,%RH,70.708
