1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 420000003378F341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 120 second(s)
Mission Start Time:  Sat Jun 28 11:55:01 CST 2014
Mission Sample Count:  1453
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jun 28 11:55:01 CST 2014
Total Mission Samples:  1453
Total Device Samples:  8450
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
28/06/14 11:55:01,C,25.125
28/06/14 11:57:01,C,25.25
28/06/14 11:59:01,C,25.313
28/06/14 12:01:01,C,25.313
28/06/14 12:03:01,C,25.375
28/06/14 12:05:01,C,25.562
28/06/14 12:07:01,C,25.625
28/06/14 12:09:01,C,25.562
28/06/14 12:11:01,C,25.562
28/06/14 12:13:01,C,25.75
28/06/14 12:15:01,C,25.875
28/06/14 12:17:01,C,26.125
28/06/14 12:19:01,C,26.25
28/06/14 12:21:01,C,26.5
28/06/14 12:23:01,C,26.625
28/06/14 12:25:01,C,26.687
28/06/14 12:27:01,C,26.812
28/06/14 12:29:01,C,27
28/06/14 12:31:01,C,27.125
28/06/14 12:33:01,C,27.312
28/06/14 12:35:01,C,27.312
28/06/14 12:37:01,C,27.437
28/06/14 12:39:01,C,27.499
28/06/14 12:41:01,C,27.437
28/06/14 12:43:01,C,27.499
28/06/14 12:45:01,C,27.312
28/06/14 12:47:01,C,27.437
28/06/14 12:49:01,C,27.562
28/06/14 12:51:01,C,27.499
28/06/14 12:53:01,C,27.499
28/06/14 12:55:01,C,27.624
28/06/14 12:57:01,C,27.624
28/06/14 12:59:01,C,27.624
28/06/14 13:01:01,C,27.812
28/06/14 13:03:01,C,27.937
28/06/14 13:05:01,C,27.937
28/06/14 13:07:01,C,27.937
28/06/14 13:09:01,C,27.874
28/06/14 13:11:01,C,27.874
