1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 85000000337FFA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Wed Jul 02 23:25:01 CST 2014
Mission Sample Count:  1926
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jul 02 23:25:01 CST 2014
Total Mission Samples:  1926
Total Device Samples:  10885
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
02/07/14 23:25:01,%RH,100.111
02/07/14 23:26:01,%RH,99.613
02/07/14 23:27:01,%RH,99.986
02/07/14 23:28:01,%RH,99.613
02/07/14 23:29:01,%RH,99.488
02/07/14 23:30:01,%RH,99.488
02/07/14 23:31:01,%RH,99.738
02/07/14 23:32:01,%RH,100.111
02/07/14 23:33:01,%RH,99.114
02/07/14 23:34:01,%RH,98.613
02/07/14 23:35:01,%RH,98.111
02/07/14 23:36:01,%RH,99.738
02/07/14 23:37:01,%RH,99.239
02/07/14 23:38:01,%RH,99.738
02/07/14 23:39:01,%RH,99.613
02/07/14 23:40:01,%RH,99.738
02/07/14 23:41:01,%RH,99.986
02/07/14 23:42:01,%RH,100.111
02/07/14 23:43:01,%RH,99.239
02/07/14 23:44:01,%RH,98.989
02/07/14 23:45:01,%RH,99.738
02/07/14 23:46:01,%RH,99.114
02/07/14 23:47:01,%RH,99.738
02/07/14 23:48:01,%RH,99.862
02/07/14 23:49:01,%RH,98.613
02/07/14 23:50:01,%RH,99.239
02/07/14 23:51:01,%RH,99.114
02/07/14 23:52:01,%RH,99.738
02/07/14 23:53:01,%RH,100.359
02/07/14 23:54:01,%RH,99.862
02/07/14 23:55:01,%RH,99.488
02/07/14 23:56:01,%RH,99.239
02/07/14 23:57:01,%RH,99.114
02/07/14 23:58:01,%RH,99.364
02/07/14 23:59:01,%RH,99.862
03/07/14 00:00:01,%RH,99.488
03/07/14 00:01:01,%RH,99.364
03/07/14 00:02:01,%RH,99.488
03/07/14 00:03:01,%RH,99.613
03/07/14 00:04:01,%RH,98.989
03/07/14 00:05:01,%RH,99.488
03/07/14 00:06:01,%RH,99.239
03/07/14 00:07:01,%RH,99.364
03/07/14 00:08:01,%RH,99.114
03/07/14 00:09:01,%RH,99.738
03/07/14 00:10:01,%RH,99.364
03/07/14 00:11:01,%RH,99.862
03/07/14 00:12:01,%RH,100.359
03/07/14 00:13:01,%RH,99.986
03/07/14 00:14:01,%RH,99.239
03/07/14 00:15:01,%RH,100.359
03/07/14 00:16:01,%RH,99.114
03/07/14 00:17:01,%RH,100.111
03/07/14 00:18:01,%RH,100.359
03/07/14 00:19:01,%RH,99.738
03/07/14 00:20:01,%RH,99.613
03/07/14 00:21:01,%RH,99.114
03/07/14 00:22:01,%RH,99.488
03/07/14 00:23:01,%RH,99.862
03/07/14 00:24:01,%RH,98.989
03/07/14 00:25:01,%RH,100.235
03/07/14 00:26:01,%RH,99.613
03/07/14 00:27:01,%RH,99.738
03/07/14 00:28:01,%RH,99.613
03/07/14 00:29:01,%RH,99.738
03/07/14 00:30:01,%RH,100.359
03/07/14 00:31:01,%RH,99.488
03/07/14 00:32:01,%RH,99.613
03/07/14 00:33:01,%RH,99.114
03/07/14 00:34:01,%RH,99.738
03/07/14 00:35:01,%RH,99.239
03/07/14 00:36:01,%RH,99.488
03/07/14 00:37:01,%RH,99.239
03/07/14 00:38:01,%RH,99.114
03/07/14 00:39:01,%RH,100.235
03/07/14 00:40:01,%RH,98.613
03/07/14 00:41:01,%RH,98.864
03/07/14 00:42:01,%RH,100.483
03/07/14 00:43:01,%RH,99.613
03/07/14 00:44:01,%RH,99.738
03/07/14 00:45:01,%RH,99.862
03/07/14 00:46:01,%RH,99.488
03/07/14 00:47:01,%RH,99.488
03/07/14 00:48:01,%RH,99.488
03/07/14 00:49:01,%RH,98.989
03/07/14 00:50:01,%RH,99.364
03/07/14 00:51:01,%RH,98.989
03/07/14 00:52:01,%RH,98.989
03/07/14 00:53:01,%RH,99.488
03/07/14 00:54:01,%RH,98.864
03/07/14 00:55:01,%RH,98.613
03/07/14 00:56:01,%RH,99.613
03/07/14 00:57:01,%RH,98.738
03/07/14 00:58:01,%RH,98.488
03/07/14 00:59:01,%RH,99.114
03/07/14 01:00:01,%RH,99.364
03/07/14 01:01:01,%RH,98.613
03/07/14 01:02:01,%RH,98.989
03/07/14 01:03:01,%RH,98.738
03/07/14 01:04:01,%RH,98.864
03/07/14 01:05:01,%RH,98.362
03/07/14 01:06:01,%RH,98.864
03/07/14 01:07:01,%RH,99.364
03/07/14 01:08:01,%RH,98.613
03/07/14 01:09:01,%RH,98.738
03/07/14 01:10:01,%RH,98.738
03/07/14 01:11:01,%RH,99.239
03/07/14 01:12:01,%RH,99.488
03/07/14 01:13:01,%RH,98.613
03/07/14 01:14:01,%RH,99.114
03/07/14 01:15:01,%RH,99.364
03/07/14 01:16:01,%RH,99.488
03/07/14 01:17:01,%RH,98.488
03/07/14 01:18:01,%RH,98.613
03/07/14 01:19:01,%RH,98.738
03/07/14 01:20:01,%RH,97.229
03/07/14 01:21:01,%RH,98.488
03/07/14 01:22:01,%RH,98.864
03/07/14 01:23:01,%RH,97.355
03/07/14 01:24:01,%RH,98.362
03/07/14 01:25:01,%RH,98.111
03/07/14 01:26:01,%RH,98.111
03/07/14 01:27:01,%RH,97.985
03/07/14 01:28:01,%RH,97.859
03/07/14 01:29:01,%RH,98.111
03/07/14 01:30:01,%RH,98.237
03/07/14 01:31:01,%RH,98.237
03/07/14 01:32:01,%RH,98.362
03/07/14 01:33:01,%RH,98.237
03/07/14 01:34:01,%RH,98.237
03/07/14 01:35:01,%RH,98.237
03/07/14 01:36:01,%RH,97.985
03/07/14 01:37:01,%RH,98.111
03/07/14 01:38:01,%RH,98.362
03/07/14 01:39:01,%RH,98.111
03/07/14 01:40:01,%RH,97.859
03/07/14 01:41:01,%RH,98.111
03/07/14 01:42:01,%RH,98.613
03/07/14 01:43:01,%RH,97.859
03/07/14 01:44:01,%RH,97.229
03/07/14 01:45:01,%RH,97.608
03/07/14 01:46:01,%RH,97.229
03/07/14 01:47:01,%RH,97.985
03/07/14 01:48:01,%RH,98.362
03/07/14 01:49:01,%RH,98.362
03/07/14 01:50:01,%RH,98.362
03/07/14 01:51:01,%RH,97.608
