1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C20000002BB97B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Nov 05 11:45:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Feb 18 04:05:01 CST 2014
Total Mission Samples:  17122
Total Device Samples:  26142
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
02-18-14 04:05:01 AM,%RH,100.161
02-18-14 04:15:01 AM,%RH,99.932
02-18-14 04:25:01 AM,%RH,100.161
02-18-14 04:35:01 AM,%RH,100.047
02-18-14 04:45:01 AM,%RH,99.817
02-18-14 04:55:01 AM,%RH,100.161
02-18-14 05:05:01 AM,%RH,99.587
02-18-14 05:15:01 AM,%RH,99.24
02-18-14 05:25:01 AM,%RH,99.817
02-18-14 05:35:01 AM,%RH,99.817
02-18-14 05:45:01 AM,%RH,100.276
02-18-14 05:55:01 AM,%RH,100.047
02-18-14 06:05:01 AM,%RH,99.702
02-18-14 06:15:01 AM,%RH,100.391
02-18-14 06:25:01 AM,%RH,99.817
02-18-14 06:35:01 AM,%RH,99.932
02-18-14 06:45:01 AM,%RH,100.848
02-18-14 06:55:01 AM,%RH,100.62
02-18-14 07:05:01 AM,%RH,100.734
02-18-14 07:15:01 AM,%RH,100.276
02-18-14 07:25:01 AM,%RH,100.62
02-18-14 07:35:01 AM,%RH,99.702
02-18-14 07:45:01 AM,%RH,100.161
02-18-14 07:55:01 AM,%RH,100.62
02-18-14 08:05:01 AM,%RH,100.276
02-18-14 08:15:01 AM,%RH,100.505
02-18-14 08:25:01 AM,%RH,100.047
02-18-14 08:35:01 AM,%RH,100.276
02-18-14 08:45:01 AM,%RH,100.276
02-18-14 08:55:01 AM,%RH,100.047
02-18-14 09:05:01 AM,%RH,99.009
02-18-14 09:15:01 AM,%RH,98.893
02-18-14 09:25:01 AM,%RH,97.612
02-18-14 09:35:01 AM,%RH,96.909
02-18-14 09:45:01 AM,%RH,96.909
02-18-14 09:55:01 AM,%RH,96.555
02-18-14 10:05:01 AM,%RH,94.535
02-18-14 10:15:01 AM,%RH,93.935
02-18-14 10:25:01 AM,%RH,92.485
02-18-14 10:35:01 AM,%RH,93.091
02-18-14 10:45:01 AM,%RH,92.12
02-18-14 10:55:01 AM,%RH,93.695
02-18-14 11:05:01 AM,%RH,95.252
02-18-14 11:15:01 AM,%RH,83.986
02-18-14 11:25:01 AM,%RH,76.761
02-18-14 11:35:01 AM,%RH,80.478
02-18-14 11:45:01 AM,%RH,86.156
02-18-14 11:55:01 AM,%RH,83.986
02-18-14 12:05:01 PM,%RH,85.266
02-18-14 12:15:01 PM,%RH,77.029
02-18-14 12:25:01 PM,%RH,69.501
02-18-14 12:35:01 PM,%RH,72.687
02-18-14 12:45:01 PM,%RH,72.275
02-18-14 12:55:01 PM,%RH,67.394
02-18-14 01:05:01 PM,%RH,68.52
02-18-14 01:15:01 PM,%RH,78.364
02-18-14 01:25:01 PM,%RH,78.629
02-18-14 01:35:01 PM,%RH,80.609
02-18-14 01:45:01 PM,%RH,72.55
02-18-14 01:55:01 PM,%RH,68.38
02-18-14 02:05:01 PM,%RH,63.541
02-18-14 02:15:01 PM,%RH,72.824
02-18-14 02:25:01 PM,%RH,76.492
02-18-14 02:35:01 PM,%RH,76.895
02-18-14 02:45:01 PM,%RH,79.424
02-18-14 02:55:01 PM,%RH,77.43
02-18-14 03:05:01 PM,%RH,61.077
02-18-14 03:15:01 PM,%RH,65.12
02-18-14 03:25:01 PM,%RH,72.412
02-18-14 03:35:01 PM,%RH,78.762
02-18-14 03:45:01 PM,%RH,79.292
02-18-14 03:55:01 PM,%RH,76.492
02-18-14 04:05:01 PM,%RH,75.548
02-18-14 04:15:01 PM,%RH,75.683
02-18-14 04:25:01 PM,%RH,76.895
02-18-14 04:35:01 PM,%RH,77.698
02-18-14 04:45:01 PM,%RH,76.492
02-18-14 04:55:01 PM,%RH,75.683
02-18-14 05:05:01 PM,%RH,79.556
