1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000002BB88441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:29:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 03:29:01 CST 2014
Total Mission Samples:  4220
Total Device Samples:  11345
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 03:29:01 AM,%RH,88.524
01-08-14 04:29:01 AM,%RH,88.399
01-08-14 05:29:01 AM,%RH,88.399
01-08-14 06:29:01 AM,%RH,88.399
01-08-14 07:29:01 AM,%RH,87.897
01-08-14 08:29:01 AM,%RH,88.524
01-08-14 09:29:01 AM,%RH,88.9
01-08-14 10:29:01 AM,%RH,88.524
01-08-14 11:29:01 AM,%RH,88.524
01-08-14 12:29:01 PM,%RH,88.274
01-08-14 01:29:01 PM,%RH,88.524
01-08-14 02:29:01 PM,%RH,88.524
01-08-14 03:29:01 PM,%RH,88.775
01-08-14 04:29:01 PM,%RH,89.024
01-08-14 05:29:01 PM,%RH,89.523
01-08-14 06:29:01 PM,%RH,89.895
01-08-14 07:29:01 PM,%RH,88.9
01-08-14 08:29:01 PM,%RH,88.524
01-08-14 09:29:01 PM,%RH,89.647
01-08-14 10:29:01 PM,%RH,89.398
01-08-14 11:29:01 PM,%RH,89.647
01-09-14 12:29:01 AM,%RH,89.647
01-09-14 01:29:01 AM,%RH,89.895
01-09-14 02:29:01 AM,%RH,90.019
01-09-14 03:29:01 AM,%RH,90.391
01-09-14 04:29:01 AM,%RH,90.019
01-09-14 05:29:01 AM,%RH,90.514
01-09-14 06:29:01 AM,%RH,89.771
01-09-14 07:29:01 AM,%RH,90.391
01-09-14 08:29:01 AM,%RH,90.019
01-09-14 09:29:01 AM,%RH,91.008
01-09-14 10:29:01 AM,%RH,90.514
01-09-14 11:29:01 AM,%RH,90.514
01-09-14 12:29:01 PM,%RH,90.638
01-09-14 01:29:01 PM,%RH,89.771
01-09-14 02:29:01 PM,%RH,89.895
01-09-14 03:29:01 PM,%RH,89.895
01-09-14 04:29:01 PM,%RH,90.143
01-09-14 05:29:01 PM,%RH,91.008
01-09-14 06:29:01 PM,%RH,90.514
01-09-14 07:29:01 PM,%RH,91.131
01-09-14 08:29:01 PM,%RH,91.254
01-09-14 09:29:01 PM,%RH,91.008
01-09-14 10:29:01 PM,%RH,91.008
01-09-14 11:29:01 PM,%RH,91.499
01-10-14 12:29:01 AM,%RH,91.008
01-10-14 01:29:01 AM,%RH,91.008
01-10-14 02:29:01 AM,%RH,91.622
01-10-14 03:29:01 AM,%RH,91.377
01-10-14 04:29:01 AM,%RH,91.499
01-10-14 05:29:01 AM,%RH,91.499
01-10-14 06:29:01 AM,%RH,91.131
01-10-14 07:29:01 AM,%RH,91.622
01-10-14 08:29:01 AM,%RH,91.008
01-10-14 09:29:01 AM,%RH,91.745
01-10-14 10:29:01 AM,%RH,91.008
01-10-14 11:29:01 AM,%RH,91.131
01-10-14 12:29:01 PM,%RH,90.638
01-10-14 01:29:01 PM,%RH,90.638
01-10-14 02:29:01 PM,%RH,90.267
01-10-14 03:29:01 PM,%RH,89.274
01-10-14 04:29:01 PM,%RH,89.274
01-10-14 05:29:01 PM,%RH,89.398
01-10-14 06:29:01 PM,%RH,89.274
01-10-14 07:29:01 PM,%RH,89.398
01-10-14 08:29:01 PM,%RH,88.775
01-10-14 09:29:01 PM,%RH,89.398
01-10-14 10:29:01 PM,%RH,89.398
01-10-14 11:29:01 PM,%RH,89.895
01-11-14 12:29:01 AM,%RH,90.267
01-11-14 01:29:01 AM,%RH,90.019
01-11-14 02:29:01 AM,%RH,89.398
01-11-14 03:29:01 AM,%RH,89.398
01-11-14 04:29:01 AM,%RH,90.143
01-11-14 05:29:01 AM,%RH,89.895
01-11-14 06:29:01 AM,%RH,89.523
01-11-14 07:29:01 AM,%RH,90.019
01-11-14 08:29:01 AM,%RH,89.647
01-11-14 09:29:01 AM,%RH,90.267
01-11-14 10:29:01 AM,%RH,90.143
