1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4E0000002BB40041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:29:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:29:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11320
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:29:01 AM,%RH,96.548
01-08-14 12:29:01 PM,%RH,95.226
01-08-14 01:29:01 PM,%RH,94.379
01-08-14 02:29:01 PM,%RH,94.257
01-08-14 03:29:01 PM,%RH,93.648
01-08-14 04:29:01 PM,%RH,92.669
01-08-14 05:29:01 PM,%RH,95.708
01-08-14 06:29:01 PM,%RH,97.025
01-08-14 07:29:01 PM,%RH,93.404
01-08-14 08:29:01 PM,%RH,94.5
01-08-14 09:29:01 PM,%RH,96.548
01-08-14 10:29:01 PM,%RH,96.188
01-08-14 11:29:01 PM,%RH,95.467
01-09-14 12:29:01 AM,%RH,94.985
01-09-14 01:29:01 AM,%RH,94.864
01-09-14 02:29:01 AM,%RH,94.743
01-09-14 03:29:01 AM,%RH,96.786
01-09-14 04:29:01 AM,%RH,94.985
01-09-14 05:29:01 AM,%RH,95.708
01-09-14 06:29:01 AM,%RH,97.025
01-09-14 07:29:01 AM,%RH,97.738
01-09-14 08:29:01 AM,%RH,96.068
01-09-14 09:29:01 AM,%RH,97.263
01-09-14 10:29:01 AM,%RH,96.428
01-09-14 11:29:01 AM,%RH,95.708
01-09-14 12:29:01 PM,%RH,97.263
01-09-14 01:29:01 PM,%RH,96.667
01-09-14 02:29:01 PM,%RH,97.619
01-09-14 03:29:01 PM,%RH,98.801
01-09-14 04:29:01 PM,%RH,99.621
01-09-14 05:29:01 PM,%RH,97.975
01-09-14 06:29:01 PM,%RH,98.447
01-09-14 07:29:01 PM,%RH,98.918
01-09-14 08:29:01 PM,%RH,98.093
01-09-14 09:29:01 PM,%RH,98.447
01-09-14 10:29:01 PM,%RH,99.27
01-09-14 11:29:01 PM,%RH,98.211
01-10-14 12:29:01 AM,%RH,96.308
01-10-14 01:29:01 AM,%RH,95.708
01-10-14 02:29:01 AM,%RH,95.226
01-10-14 03:29:01 AM,%RH,95.105
01-10-14 04:29:01 AM,%RH,94.5
01-10-14 05:29:01 AM,%RH,93.282
01-10-14 06:29:01 AM,%RH,93.282
