1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000002BB55441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:26:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 12:26:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11358
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 12:26:01 PM,%RH,94.049
01-08-14 01:26:01 PM,%RH,96.736
01-08-14 02:26:01 PM,%RH,96.851
01-08-14 03:26:01 PM,%RH,98.342
01-08-14 04:26:01 PM,%RH,98.797
01-08-14 05:26:01 PM,%RH,101.379
01-08-14 06:26:01 PM,%RH,101.822
01-08-14 07:26:01 PM,%RH,100.823
01-08-14 08:26:01 PM,%RH,101.933
01-08-14 09:26:01 PM,%RH,101.601
01-08-14 10:26:01 PM,%RH,100.6
01-08-14 11:26:01 PM,%RH,101.379
01-09-14 12:26:01 AM,%RH,101.379
01-09-14 01:26:01 AM,%RH,101.933
01-09-14 02:26:01 AM,%RH,101.933
01-09-14 03:26:01 AM,%RH,102.154
01-09-14 04:26:01 AM,%RH,101.49
01-09-14 05:26:01 AM,%RH,101.712
01-09-14 06:26:01 AM,%RH,100.488
01-09-14 07:26:01 AM,%RH,101.712
01-09-14 08:26:01 AM,%RH,100.935
01-09-14 09:26:01 AM,%RH,97.197
01-09-14 10:26:01 AM,%RH,85.01
01-09-14 11:26:01 AM,%RH,85.01
01-09-14 12:26:01 PM,%RH,89.971
01-09-14 01:26:01 PM,%RH,80.913
01-09-14 02:26:01 PM,%RH,77.899
01-09-14 03:26:01 PM,%RH,76.303
01-09-14 04:26:01 PM,%RH,94.049
01-09-14 05:26:01 PM,%RH,97.885
01-09-14 06:26:01 PM,%RH,99.024
01-09-14 07:26:01 PM,%RH,98.797
01-09-14 08:26:01 PM,%RH,97.885
01-09-14 09:26:01 PM,%RH,98.57
01-09-14 10:26:01 PM,%RH,97.771
01-09-14 11:26:01 PM,%RH,96.389
01-10-14 12:26:01 AM,%RH,95.924
01-10-14 01:26:01 AM,%RH,96.62
01-10-14 02:26:01 AM,%RH,99.024
01-10-14 03:26:01 AM,%RH,98.228
01-10-14 04:26:01 AM,%RH,101.712
01-10-14 05:26:01 AM,%RH,101.268
01-10-14 06:26:01 AM,%RH,101.933
01-10-14 07:26:01 AM,%RH,101.379
01-10-14 08:26:01 AM,%RH,83.742
01-10-14 09:26:01 AM,%RH,68.645
01-10-14 10:26:01 AM,%RH,66.252
01-10-14 11:26:01 AM,%RH,60.495
01-10-14 12:26:01 PM,%RH,59.91
01-10-14 01:26:01 PM,%RH,57.253
01-10-14 02:26:01 PM,%RH,56.36
01-10-14 03:26:01 PM,%RH,59.469
01-10-14 04:26:01 PM,%RH,78.954
01-10-14 05:26:01 PM,%RH,88.008
