1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 320000002BBA1741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:57:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 10:57:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 10:57:01 AM,%RH,79.199
01-08-14 11:57:01 AM,%RH,79.199
01-08-14 12:57:01 PM,%RH,78.669
01-08-14 01:57:01 PM,%RH,78.669
01-08-14 02:57:01 PM,%RH,79.199
01-08-14 03:57:01 PM,%RH,78.934
01-08-14 04:57:01 PM,%RH,79.067
01-08-14 05:57:01 PM,%RH,78.934
01-08-14 06:57:01 PM,%RH,79.067
01-08-14 07:57:01 PM,%RH,79.331
01-08-14 08:57:01 PM,%RH,78.934
01-08-14 09:57:01 PM,%RH,79.199
01-08-14 10:57:01 PM,%RH,79.331
01-08-14 11:57:01 PM,%RH,79.199
01-09-14 12:57:01 AM,%RH,78.536
01-09-14 01:57:01 AM,%RH,78.934
01-09-14 02:57:01 AM,%RH,79.199
01-09-14 03:57:01 AM,%RH,79.331
01-09-14 04:57:01 AM,%RH,79.199
01-09-14 05:57:01 AM,%RH,79.067
01-09-14 06:57:01 AM,%RH,78.934
01-09-14 07:57:01 AM,%RH,78.801
01-09-14 08:57:01 AM,%RH,79.067
01-09-14 09:57:01 AM,%RH,79.331
01-09-14 10:57:01 AM,%RH,79.596
01-09-14 11:57:01 AM,%RH,79.596
01-09-14 12:57:01 PM,%RH,80.255
01-09-14 01:57:01 PM,%RH,79.86
01-09-14 02:57:01 PM,%RH,79.991
01-09-14 03:57:01 PM,%RH,79.596
01-09-14 04:57:01 PM,%RH,79.991
01-09-14 05:57:01 PM,%RH,79.86
01-09-14 06:57:01 PM,%RH,79.86
01-09-14 07:57:01 PM,%RH,79.86
01-09-14 08:57:01 PM,%RH,80.123
01-09-14 09:57:01 PM,%RH,79.728
01-09-14 10:57:01 PM,%RH,81.042
01-09-14 11:57:01 PM,%RH,80.518
01-10-14 12:57:01 AM,%RH,80.255
01-10-14 01:57:01 AM,%RH,80.911
01-10-14 02:57:01 AM,%RH,80.911
01-10-14 03:57:01 AM,%RH,79.728
01-10-14 04:57:01 AM,%RH,81.304
01-10-14 05:57:01 AM,%RH,81.173
01-10-14 06:57:01 AM,%RH,81.695
01-10-14 07:57:01 AM,%RH,81.565
01-10-14 08:57:01 AM,%RH,79.596
01-10-14 09:57:01 AM,%RH,78.669
01-10-14 10:57:01 AM,%RH,78.669
01-10-14 11:57:01 AM,%RH,78.27
01-10-14 12:57:01 PM,%RH,79.199
01-10-14 01:57:01 PM,%RH,79.728
01-10-14 02:57:01 PM,%RH,76.799
01-10-14 03:57:01 PM,%RH,78.403
01-10-14 04:57:01 PM,%RH,77.736
01-10-14 05:57:01 PM,%RH,78.27
01-10-14 06:57:01 PM,%RH,77.736
01-10-14 07:57:01 PM,%RH,77.067
01-10-14 08:57:01 PM,%RH,76.799
01-10-14 09:57:01 PM,%RH,77.067
01-10-14 10:57:01 PM,%RH,76.933
01-10-14 11:57:01 PM,%RH,77.067
01-11-14 12:57:01 AM,%RH,76.799
01-11-14 01:57:01 AM,%RH,76.799
01-11-14 02:57:01 AM,%RH,76.664
01-11-14 03:57:01 AM,%RH,76.933
01-11-14 04:57:01 AM,%RH,77.067
01-11-14 05:57:01 AM,%RH,76.664
01-11-14 06:57:01 AM,%RH,76.799
01-11-14 07:57:01 AM,%RH,77.067
01-11-14 08:57:01 AM,%RH,76.799
01-11-14 09:57:01 AM,%RH,76.933
01-11-14 10:57:01 AM,%RH,76.933
01-11-14 11:57:01 AM,%RH,76.933
01-11-14 12:57:01 PM,%RH,77.736
01-11-14 01:57:01 PM,%RH,77.87
01-11-14 02:57:01 PM,%RH,77.736
01-11-14 03:57:01 PM,%RH,77.87
01-11-14 04:57:01 PM,%RH,78.003
01-11-14 05:57:01 PM,%RH,78.536
01-11-14 06:57:01 PM,%RH,78.536
01-11-14 07:57:01 PM,%RH,78.669
01-11-14 08:57:01 PM,%RH,78.403
01-11-14 09:57:01 PM,%RH,78.403
01-11-14 10:57:01 PM,%RH,78.536
01-11-14 11:57:01 PM,%RH,77.87
01-12-14 12:57:01 AM,%RH,77.603
01-12-14 01:57:01 AM,%RH,78.136
01-12-14 02:57:01 AM,%RH,77.87
01-12-14 03:57:01 AM,%RH,78.003
01-12-14 04:57:01 AM,%RH,77.469
01-12-14 05:57:01 AM,%RH,77.469
01-12-14 06:57:01 AM,%RH,77.335
01-12-14 07:57:01 AM,%RH,77.469
01-12-14 08:57:01 AM,%RH,77.603
01-12-14 09:57:01 AM,%RH,77.201
01-12-14 10:57:01 AM,%RH,77.87
01-12-14 11:57:01 AM,%RH,78.403
01-12-14 12:57:01 PM,%RH,78.27
01-12-14 01:57:01 PM,%RH,78.669
01-12-14 02:57:01 PM,%RH,78.801
01-12-14 03:57:01 PM,%RH,78.934
01-12-14 04:57:01 PM,%RH,79.331
01-12-14 05:57:01 PM,%RH,78.669
01-12-14 06:57:01 PM,%RH,79.86
01-12-14 07:57:01 PM,%RH,78.801
01-12-14 08:57:01 PM,%RH,79.199
01-12-14 09:57:01 PM,%RH,78.403
01-12-14 10:57:01 PM,%RH,78.536
01-12-14 11:57:01 PM,%RH,78.669
01-13-14 12:57:01 AM,%RH,78.801
01-13-14 01:57:01 AM,%RH,78.801
01-13-14 02:57:01 AM,%RH,78.136
01-13-14 03:57:01 AM,%RH,79.464
01-13-14 04:57:01 AM,%RH,78.801
