1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000002BB67F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:25:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 12:25:01 CST 2014
Total Mission Samples:  4229
Total Device Samples:  11178
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 12:25:01 PM,%RH,71.686
01-08-14 01:25:01 PM,%RH,71.964
01-08-14 02:25:01 PM,%RH,72.519
01-08-14 03:25:01 PM,%RH,71.964
01-08-14 04:25:01 PM,%RH,72.796
01-08-14 05:25:01 PM,%RH,72.242
01-08-14 06:25:01 PM,%RH,72.381
01-08-14 07:25:01 PM,%RH,72.103
01-08-14 08:25:01 PM,%RH,72.242
01-08-14 09:25:01 PM,%RH,72.103
01-08-14 10:25:01 PM,%RH,72.658
01-08-14 11:25:01 PM,%RH,72.935
01-09-14 12:25:01 AM,%RH,73.211
01-09-14 01:25:01 AM,%RH,72.935
01-09-14 02:25:01 AM,%RH,72.935
01-09-14 03:25:01 AM,%RH,72.796
01-09-14 04:25:01 AM,%RH,73.211
01-09-14 05:25:01 AM,%RH,73.9
01-09-14 06:25:01 AM,%RH,74.175
01-09-14 07:25:01 AM,%RH,73.9
01-09-14 08:25:01 AM,%RH,74.175
01-09-14 09:25:01 AM,%RH,74.45
01-09-14 10:25:01 AM,%RH,74.998
01-09-14 11:25:01 AM,%RH,74.998
01-09-14 12:25:01 PM,%RH,74.998
01-09-14 01:25:01 PM,%RH,75.544
01-09-14 02:25:01 PM,%RH,76.089
01-09-14 03:25:01 PM,%RH,75.681
01-09-14 04:25:01 PM,%RH,76.632
01-09-14 05:25:01 PM,%RH,76.225
01-09-14 06:25:01 PM,%RH,76.361
01-09-14 07:25:01 PM,%RH,76.497
01-09-14 08:25:01 PM,%RH,76.361
01-09-14 09:25:01 PM,%RH,75.817
01-09-14 10:25:01 PM,%RH,75.817
01-09-14 11:25:01 PM,%RH,76.089
01-10-14 12:25:01 AM,%RH,76.903
01-10-14 01:25:01 AM,%RH,75.681
01-10-14 02:25:01 AM,%RH,75.681
01-10-14 03:25:01 AM,%RH,76.225
01-10-14 04:25:01 AM,%RH,75.544
01-10-14 05:25:01 AM,%RH,76.361
01-10-14 06:25:01 AM,%RH,75.817
01-10-14 07:25:01 AM,%RH,75.953
01-10-14 08:25:01 AM,%RH,75.953
01-10-14 09:25:01 AM,%RH,75.953
01-10-14 10:25:01 AM,%RH,76.225
01-10-14 11:25:01 AM,%RH,76.632
01-10-14 12:25:01 PM,%RH,76.632
01-10-14 01:25:01 PM,%RH,77.849
01-10-14 02:25:01 PM,%RH,78.252
01-10-14 03:25:01 PM,%RH,78.923
01-10-14 04:25:01 PM,%RH,78.789
01-10-14 05:25:01 PM,%RH,78.655
01-10-14 06:25:01 PM,%RH,77.849
01-10-14 07:25:01 PM,%RH,77.174
01-10-14 08:25:01 PM,%RH,77.039
01-10-14 09:25:01 PM,%RH,75.817
01-10-14 10:25:01 PM,%RH,75.681
01-10-14 11:25:01 PM,%RH,75.271
01-11-14 12:25:01 AM,%RH,74.724
01-11-14 01:25:01 AM,%RH,74.724
01-11-14 02:25:01 AM,%RH,74.175
01-11-14 03:25:01 AM,%RH,74.587
01-11-14 04:25:01 AM,%RH,73.9
01-11-14 05:25:01 AM,%RH,73.625
01-11-14 06:25:01 AM,%RH,73.763
01-11-14 07:25:01 AM,%RH,74.038
01-11-14 08:25:01 AM,%RH,74.175
01-11-14 09:25:01 AM,%RH,74.587
01-11-14 10:25:01 AM,%RH,74.724
01-11-14 11:25:01 AM,%RH,74.861
01-11-14 12:25:01 PM,%RH,75.271
01-11-14 01:25:01 PM,%RH,75.953
01-11-14 02:25:01 PM,%RH,76.903
01-11-14 03:25:01 PM,%RH,76.768
01-11-14 04:25:01 PM,%RH,76.361
01-11-14 05:25:01 PM,%RH,76.361
01-11-14 06:25:01 PM,%RH,75.544
01-11-14 07:25:01 PM,%RH,75.271
01-11-14 08:25:01 PM,%RH,74.175
01-11-14 09:25:01 PM,%RH,73.487
01-11-14 10:25:01 PM,%RH,71.964
01-11-14 11:25:01 PM,%RH,72.103
01-12-14 12:25:01 AM,%RH,71.825
01-12-14 01:25:01 AM,%RH,72.381
01-12-14 02:25:01 AM,%RH,71.964
01-12-14 03:25:01 AM,%RH,72.103
01-12-14 04:25:01 AM,%RH,72.381
01-12-14 05:25:01 AM,%RH,72.796
01-12-14 06:25:01 AM,%RH,71.964
01-12-14 07:25:01 AM,%RH,72.242
01-12-14 08:25:01 AM,%RH,72.242
01-12-14 09:25:01 AM,%RH,72.519
01-12-14 10:25:01 AM,%RH,73.211
01-12-14 11:25:01 AM,%RH,73.625
01-12-14 12:25:01 PM,%RH,74.038
01-12-14 01:25:01 PM,%RH,74.45
01-12-14 02:25:01 PM,%RH,74.45
01-12-14 03:25:01 PM,%RH,74.175
