1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 660000002BB57C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:10:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:10:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11353
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:10:01 AM,%RH,85.488
01-08-14 12:10:01 PM,%RH,84.971
01-08-14 01:10:01 PM,%RH,85.1
01-08-14 02:10:01 PM,%RH,85.23
01-08-14 03:10:01 PM,%RH,85.1
01-08-14 04:10:01 PM,%RH,84.841
01-08-14 05:10:01 PM,%RH,85.617
01-08-14 06:10:01 PM,%RH,85.617
01-08-14 07:10:01 PM,%RH,85.617
01-08-14 08:10:01 PM,%RH,85.488
01-08-14 09:10:01 PM,%RH,85.1
01-08-14 10:10:01 PM,%RH,84.841
01-08-14 11:10:01 PM,%RH,84.452
01-09-14 12:10:01 AM,%RH,85.23
01-09-14 01:10:01 AM,%RH,85.23
01-09-14 02:10:01 AM,%RH,84.971
01-09-14 03:10:01 AM,%RH,85.1
01-09-14 04:10:01 AM,%RH,85.617
01-09-14 05:10:01 AM,%RH,84.841
01-09-14 06:10:01 AM,%RH,85.617
01-09-14 07:10:01 AM,%RH,85.359
01-09-14 08:10:01 AM,%RH,85.488
01-09-14 09:10:01 AM,%RH,85.617
01-09-14 10:10:01 AM,%RH,85.23
01-09-14 11:10:01 AM,%RH,84.322
01-09-14 12:10:01 PM,%RH,84.452
01-09-14 01:10:01 PM,%RH,84.192
01-09-14 02:10:01 PM,%RH,84.712
01-09-14 03:10:01 PM,%RH,84.062
01-09-14 04:10:01 PM,%RH,84.322
01-09-14 05:10:01 PM,%RH,83.932
01-09-14 06:10:01 PM,%RH,84.582
01-09-14 07:10:01 PM,%RH,84.841
01-09-14 08:10:01 PM,%RH,84.452
01-09-14 09:10:01 PM,%RH,85.359
01-09-14 10:10:01 PM,%RH,85.359
01-09-14 11:10:01 PM,%RH,85.23
01-10-14 12:10:01 AM,%RH,86.646
01-10-14 01:10:01 AM,%RH,86.132
01-10-14 02:10:01 AM,%RH,85.746
01-10-14 03:10:01 AM,%RH,85.746
01-10-14 04:10:01 AM,%RH,86.132
01-10-14 05:10:01 AM,%RH,87.286
01-10-14 06:10:01 AM,%RH,86.261
01-10-14 07:10:01 AM,%RH,86.004
01-10-14 08:10:01 AM,%RH,86.132
01-10-14 09:10:01 AM,%RH,86.004
01-10-14 10:10:01 AM,%RH,84.712
01-10-14 11:10:01 AM,%RH,81.703
01-10-14 12:10:01 PM,%RH,83.801
01-10-14 01:10:01 PM,%RH,79.713
01-10-14 02:10:01 PM,%RH,80.113
01-10-14 03:10:01 PM,%RH,78.374
01-10-14 04:10:01 PM,%RH,76.484
01-10-14 05:10:01 PM,%RH,74.574
01-10-14 06:10:01 PM,%RH,74.574
01-10-14 07:10:01 PM,%RH,75.668
01-10-14 08:10:01 PM,%RH,75.122
01-10-14 09:10:01 PM,%RH,75.94
01-10-14 10:10:01 PM,%RH,75.259
01-10-14 11:10:01 PM,%RH,75.532
01-11-14 12:10:01 AM,%RH,76.348
01-11-14 01:10:01 AM,%RH,76.484
01-11-14 02:10:01 AM,%RH,76.891
01-11-14 03:10:01 AM,%RH,76.62
01-11-14 04:10:01 AM,%RH,76.891
01-11-14 05:10:01 AM,%RH,77.161
01-11-14 06:10:01 AM,%RH,77.971
01-11-14 07:10:01 AM,%RH,77.836
01-11-14 08:10:01 AM,%RH,78.24
01-11-14 09:10:01 AM,%RH,78.777
01-11-14 10:10:01 AM,%RH,78.643
01-11-14 11:10:01 AM,%RH,78.643
01-11-14 12:10:01 PM,%RH,79.58
01-11-14 01:10:01 PM,%RH,79.446
01-11-14 02:10:01 PM,%RH,79.312
01-11-14 03:10:01 PM,%RH,79.846
01-11-14 04:10:01 PM,%RH,79.846
01-11-14 05:10:01 PM,%RH,79.98
01-11-14 06:10:01 PM,%RH,79.713
01-11-14 07:10:01 PM,%RH,79.58
01-11-14 08:10:01 PM,%RH,80.512
01-11-14 09:10:01 PM,%RH,80.644
01-11-14 10:10:01 PM,%RH,81.439
01-11-14 11:10:01 PM,%RH,79.98
01-12-14 12:10:01 AM,%RH,80.777
01-12-14 01:10:01 AM,%RH,80.777
01-12-14 02:10:01 AM,%RH,81.042
01-12-14 03:10:01 AM,%RH,81.703
01-12-14 04:10:01 AM,%RH,81.835
01-12-14 05:10:01 AM,%RH,82.23
01-12-14 06:10:01 AM,%RH,82.624
01-12-14 07:10:01 AM,%RH,82.755
01-12-14 08:10:01 AM,%RH,82.886
01-12-14 09:10:01 AM,%RH,83.279
01-12-14 10:10:01 AM,%RH,83.279
01-12-14 11:10:01 AM,%RH,82.361
01-12-14 12:10:01 PM,%RH,81.966
01-12-14 01:10:01 PM,%RH,80.644
01-12-14 02:10:01 PM,%RH,80.113
01-12-14 03:10:01 PM,%RH,79.713
01-12-14 04:10:01 PM,%RH,79.58
01-12-14 05:10:01 PM,%RH,79.045
01-12-14 06:10:01 PM,%RH,80.113
01-12-14 07:10:01 PM,%RH,80.246
01-12-14 08:10:01 PM,%RH,80.777
01-12-14 09:10:01 PM,%RH,80.644
01-12-14 10:10:01 PM,%RH,81.174
01-12-14 11:10:01 PM,%RH,81.307
01-13-14 12:10:01 AM,%RH,81.571
01-13-14 01:10:01 AM,%RH,82.098
01-13-14 02:10:01 AM,%RH,82.624
