1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 950000002BB79F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:09:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:09:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11176
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:09:01 AM,%RH,91.164
01-08-14 12:09:01 PM,%RH,90.43
01-08-14 01:09:01 PM,%RH,89.939
01-08-14 02:09:01 PM,%RH,90.676
01-08-14 03:09:01 PM,%RH,92.741
01-08-14 04:09:01 PM,%RH,97.594
01-08-14 05:09:01 PM,%RH,99.78
01-08-14 06:09:01 PM,%RH,100.348
01-08-14 07:09:01 PM,%RH,100.348
01-08-14 08:09:01 PM,%RH,99.894
01-08-14 09:09:01 PM,%RH,100.348
01-08-14 10:09:01 PM,%RH,100.914
01-08-14 11:09:01 PM,%RH,101.365
01-09-14 12:09:01 AM,%RH,101.478
01-09-14 01:09:01 AM,%RH,101.253
01-09-14 02:09:01 AM,%RH,101.365
01-09-14 03:09:01 AM,%RH,102.262
01-09-14 04:09:01 AM,%RH,101.14
01-09-14 05:09:01 AM,%RH,101.702
01-09-14 06:09:01 AM,%RH,102.373
01-09-14 07:09:01 AM,%RH,101.478
01-09-14 08:09:01 AM,%RH,101.14
01-09-14 09:09:01 AM,%RH,96.778
01-09-14 10:09:01 AM,%RH,89.692
01-09-14 11:09:01 AM,%RH,92.016
01-09-14 12:09:01 PM,%RH,88.08
01-09-14 01:09:01 PM,%RH,93.942
01-09-14 02:09:01 PM,%RH,93.703
01-09-14 03:09:01 PM,%RH,92.982
01-09-14 04:09:01 PM,%RH,99.551
01-09-14 05:09:01 PM,%RH,99.78
