1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B0000002BB7A141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Oct 24 12:54:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Jan 24 05:24:01 CST 2014
Total Mission Samples:  15251
Total Device Samples:  24551
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-24-14 05:24:01 AM,C,15.248
01-24-14 05:34:01 AM,C,15.248
01-24-14 05:44:01 AM,C,15.248
01-24-14 05:54:01 AM,C,15.248
01-24-14 06:04:01 AM,C,15.31
01-24-14 06:14:01 AM,C,15.373
01-24-14 06:24:01 AM,C,15.436
01-24-14 06:34:01 AM,C,15.436
01-24-14 06:44:01 AM,C,15.498
01-24-14 06:54:01 AM,C,15.498
01-24-14 07:04:01 AM,C,15.31
01-24-14 07:14:01 AM,C,15.06
01-24-14 07:24:01 AM,C,14.935
01-24-14 07:34:01 AM,C,15.06
01-24-14 07:44:01 AM,C,15.248
01-24-14 07:54:01 AM,C,15.623
01-24-14 08:04:01 AM,C,15.811
01-24-14 08:14:01 AM,C,15.811
01-24-14 08:24:01 AM,C,16.249
01-24-14 08:34:01 AM,C,16.562
01-24-14 08:44:01 AM,C,16.374
01-24-14 08:54:01 AM,C,16.437
01-24-14 09:04:01 AM,C,16.687
01-24-14 09:14:01 AM,C,17.063
01-24-14 09:24:01 AM,C,16.813
01-24-14 09:34:01 AM,C,16.75
01-24-14 09:44:01 AM,C,16.687
01-24-14 09:54:01 AM,C,17
01-24-14 10:04:01 AM,C,17.501
01-24-14 10:14:01 AM,C,18.565
01-24-14 10:24:01 AM,C,19.253
01-24-14 10:34:01 AM,C,19.065
01-24-14 10:44:01 AM,C,18.252
01-24-14 10:54:01 AM,C,18.69
01-24-14 11:04:01 AM,C,20.566
01-24-14 11:14:01 AM,C,21.129
01-24-14 11:24:01 AM,C,20.942
01-24-14 11:34:01 AM,C,19.566
01-24-14 11:44:01 AM,C,18.502
01-24-14 11:54:01 AM,C,18.127
01-24-14 12:04:01 PM,C,19.19
01-24-14 12:14:01 PM,C,19.44
01-24-14 12:24:01 PM,C,19.253
01-24-14 12:34:01 PM,C,19.253
01-24-14 12:44:01 PM,C,18.752
01-24-14 12:54:01 PM,C,18.439
01-24-14 01:04:01 PM,C,18.502
01-24-14 01:14:01 PM,C,19.065
01-24-14 01:24:01 PM,C,19.941
01-24-14 01:34:01 PM,C,19.628
01-24-14 01:44:01 PM,C,19.003
01-24-14 01:54:01 PM,C,18.69
01-24-14 02:04:01 PM,C,18.252
01-24-14 02:14:01 PM,C,17.939
01-24-14 02:24:01 PM,C,17.876
01-24-14 02:34:01 PM,C,18.064
01-24-14 02:44:01 PM,C,18.189
01-24-14 02:54:01 PM,C,18.502
01-24-14 03:04:01 PM,C,18.627
01-24-14 03:14:01 PM,C,18.439
01-24-14 03:24:01 PM,C,18.815
01-24-14 03:34:01 PM,C,18.752
01-24-14 03:44:01 PM,C,18.752
01-24-14 03:54:01 PM,C,18.69
01-24-14 04:04:01 PM,C,18.314
01-24-14 04:14:01 PM,C,18.439
01-24-14 04:24:01 PM,C,18.565
01-24-14 04:34:01 PM,C,18.127
01-24-14 04:44:01 PM,C,17.751
01-24-14 04:54:01 PM,C,17.563
01-24-14 05:04:01 PM,C,17.501
