1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3F0000002BB46641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Nov 06 15:42:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Feb 17 05:42:01 CST 2014
Total Mission Samples:  16820
Total Device Samples:  26426
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
02-17-14 05:42:01 AM,C,18.148
02-17-14 05:52:01 AM,C,18.148
02-17-14 06:02:01 AM,C,18.086
02-17-14 06:12:01 AM,C,18.086
02-17-14 06:22:01 AM,C,18.023
02-17-14 06:32:01 AM,C,17.96
02-17-14 06:42:01 AM,C,17.96
02-17-14 06:52:01 AM,C,17.898
02-17-14 07:02:01 AM,C,17.835
02-17-14 07:12:01 AM,C,17.522
02-17-14 07:22:01 AM,C,17.209
02-17-14 07:32:01 AM,C,17.021
02-17-14 07:42:01 AM,C,16.958
02-17-14 07:52:01 AM,C,19.025
02-17-14 08:02:01 AM,C,22.092
02-17-14 08:12:01 AM,C,23.968
02-17-14 08:22:01 AM,C,27.343
02-17-14 08:32:01 AM,C,28.342
02-17-14 08:42:01 AM,C,28.655
02-17-14 08:52:01 AM,C,28.467
02-17-14 09:02:01 AM,C,28.218
02-17-14 09:12:01 AM,C,28.28
02-17-14 09:22:01 AM,C,28.842
02-17-14 09:32:01 AM,C,30.215
02-17-14 09:42:01 AM,C,31.463
02-17-14 09:52:01 AM,C,30.34
02-17-14 10:02:01 AM,C,28.717
02-17-14 10:12:01 AM,C,27.843
02-17-14 10:22:01 AM,C,27.843
02-17-14 10:32:01 AM,C,28.28
02-17-14 10:42:01 AM,C,28.717
02-17-14 10:52:01 AM,C,29.092
02-17-14 11:02:01 AM,C,29.466
02-17-14 11:12:01 AM,C,29.841
02-17-14 11:22:01 AM,C,30.215
02-17-14 11:32:01 AM,C,30.527
02-17-14 11:42:01 AM,C,30.902
02-17-14 11:52:01 AM,C,33.147
02-17-14 12:02:01 PM,C,35.267
02-17-14 12:12:01 PM,C,35.391
02-17-14 12:22:01 PM,C,35.578
02-17-14 12:32:01 PM,C,35.89
02-17-14 12:42:01 PM,C,35.952
02-17-14 12:52:01 PM,C,35.64
02-17-14 01:02:01 PM,C,35.453
02-17-14 01:12:01 PM,C,35.204
02-17-14 01:22:01 PM,C,35.017
02-17-14 01:32:01 PM,C,34.893
02-17-14 01:42:01 PM,C,34.643
02-17-14 01:52:01 PM,C,34.519
02-17-14 02:02:01 PM,C,34.519
02-17-14 02:12:01 PM,C,34.768
02-17-14 02:22:01 PM,C,33.584
02-17-14 02:32:01 PM,C,33.022
02-17-14 02:42:01 PM,C,32.96
02-17-14 02:52:01 PM,C,33.085
02-17-14 03:02:01 PM,C,31.276
02-17-14 03:12:01 PM,C,29.903
02-17-14 03:22:01 PM,C,26.843
02-17-14 03:32:01 PM,C,25.344
02-17-14 03:42:01 PM,C,24.469
02-17-14 03:52:01 PM,C,23.781
02-17-14 04:02:01 PM,C,23.218
02-17-14 04:12:01 PM,C,22.78
02-17-14 04:22:01 PM,C,22.405
02-17-14 04:32:01 PM,C,22.092
02-17-14 04:42:01 PM,C,21.842
02-17-14 04:52:01 PM,C,21.592
02-17-14 05:02:01 PM,C,21.404
02-17-14 05:12:01 PM,C,21.216
02-17-14 05:22:01 PM,C,21.028
02-17-14 05:32:01 PM,C,20.841
02-17-14 05:42:01 PM,C,20.715
02-17-14 05:52:01 PM,C,20.59
02-17-14 06:02:01 PM,C,20.465
02-17-14 06:12:01 PM,C,20.34
02-17-14 06:22:01 PM,C,20.215
02-17-14 06:32:01 PM,C,20.09
02-17-14 06:42:01 PM,C,20.027
02-17-14 06:52:01 PM,C,19.902
02-17-14 07:02:01 PM,C,19.839
02-17-14 07:12:01 PM,C,19.777
02-17-14 07:22:01 PM,C,19.714
02-17-14 07:32:01 PM,C,19.651
02-17-14 07:42:01 PM,C,19.651
02-17-14 07:52:01 PM,C,19.589
02-17-14 08:02:01 PM,C,19.526
02-17-14 08:12:01 PM,C,19.526
02-17-14 08:22:01 PM,C,19.526
02-17-14 08:32:01 PM,C,19.463
02-17-14 08:42:01 PM,C,19.463
02-17-14 08:52:01 PM,C,19.401
02-17-14 09:02:01 PM,C,19.401
02-17-14 09:12:01 PM,C,19.401
02-17-14 09:22:01 PM,C,19.401
02-17-14 09:32:01 PM,C,19.338
02-17-14 09:42:01 PM,C,19.338
02-17-14 09:52:01 PM,C,19.338
02-17-14 10:02:01 PM,C,19.276
02-17-14 10:12:01 PM,C,19.276
02-17-14 10:22:01 PM,C,19.213
02-17-14 10:32:01 PM,C,19.15
02-17-14 10:42:01 PM,C,19.088
02-17-14 10:52:01 PM,C,19.088
02-17-14 11:02:01 PM,C,19.025
02-17-14 11:12:01 PM,C,19.025
02-17-14 11:22:01 PM,C,19.025
02-17-14 11:32:01 PM,C,19.025
02-17-14 11:42:01 PM,C,18.963
02-17-14 11:52:01 PM,C,18.963
02-18-14 12:02:01 AM,C,18.963
02-18-14 12:12:01 AM,C,18.963
02-18-14 12:22:01 AM,C,18.9
02-18-14 12:32:01 AM,C,18.9
02-18-14 12:42:01 AM,C,18.9
02-18-14 12:52:01 AM,C,18.9
02-18-14 01:02:01 AM,C,18.837
02-18-14 01:12:01 AM,C,18.837
02-18-14 01:22:01 AM,C,18.775
02-18-14 01:32:01 AM,C,18.712
02-18-14 01:42:01 AM,C,18.649
02-18-14 01:52:01 AM,C,18.587
02-18-14 02:02:01 AM,C,18.587
02-18-14 02:12:01 AM,C,18.524
02-18-14 02:22:01 AM,C,18.462
02-18-14 02:32:01 AM,C,18.462
02-18-14 02:42:01 AM,C,18.399
02-18-14 02:52:01 AM,C,18.336
02-18-14 03:02:01 AM,C,18.274
02-18-14 03:12:01 AM,C,18.211
02-18-14 03:22:01 AM,C,18.211
02-18-14 03:32:01 AM,C,18.211
02-18-14 03:42:01 AM,C,18.148
02-18-14 03:52:01 AM,C,18.148
02-18-14 04:02:01 AM,C,18.148
02-18-14 04:12:01 AM,C,18.148
02-18-14 04:22:01 AM,C,18.086
02-18-14 04:32:01 AM,C,18.086
02-18-14 04:42:01 AM,C,18.086
02-18-14 04:52:01 AM,C,18.086
02-18-14 05:02:01 AM,C,18.086
02-18-14 05:12:01 AM,C,18.023
02-18-14 05:22:01 AM,C,18.023
02-18-14 05:32:01 AM,C,18.023
02-18-14 05:42:01 AM,C,18.023
02-18-14 05:52:01 AM,C,18.023
02-18-14 06:02:01 AM,C,17.96
02-18-14 06:12:01 AM,C,17.96
02-18-14 06:22:01 AM,C,17.96
02-18-14 06:32:01 AM,C,17.96
02-18-14 06:42:01 AM,C,17.96
02-18-14 06:52:01 AM,C,17.898
02-18-14 07:02:01 AM,C,17.898
02-18-14 07:12:01 AM,C,17.898
02-18-14 07:22:01 AM,C,17.898
02-18-14 07:32:01 AM,C,17.898
02-18-14 07:42:01 AM,C,18.211
02-18-14 07:52:01 AM,C,19.463
02-18-14 08:02:01 AM,C,21.717
02-18-14 08:12:01 AM,C,21.466
02-18-14 08:22:01 AM,C,19.902
02-18-14 08:32:01 AM,C,19.526
02-18-14 08:42:01 AM,C,19.839
02-18-14 08:52:01 AM,C,20.966
02-18-14 09:02:01 AM,C,21.779
02-18-14 09:12:01 AM,C,21.529
02-18-14 09:22:01 AM,C,21.592
02-18-14 09:32:01 AM,C,21.779
02-18-14 09:42:01 AM,C,21.717
02-18-14 09:52:01 AM,C,21.654
02-18-14 10:02:01 AM,C,21.154
02-18-14 10:12:01 AM,C,21.592
02-18-14 10:22:01 AM,C,22.655
02-18-14 10:32:01 AM,C,23.218
02-18-14 10:42:01 AM,C,23.03
02-18-14 10:52:01 AM,C,22.28
02-18-14 11:02:01 AM,C,22.217
02-18-14 11:12:01 AM,C,24.344
02-18-14 11:22:01 AM,C,24.906
02-18-14 11:32:01 AM,C,24.781
02-18-14 11:42:01 AM,C,25.219
02-18-14 11:52:01 AM,C,25.594
02-18-14 12:02:01 PM,C,26.406
02-18-14 12:12:01 PM,C,26.406
02-18-14 12:22:01 PM,C,26.031
02-18-14 12:32:01 PM,C,27.343
02-18-14 12:42:01 PM,C,28.717
02-18-14 12:52:01 PM,C,28.655
02-18-14 01:02:01 PM,C,29.029
02-18-14 01:12:01 PM,C,28.405
02-18-14 01:22:01 PM,C,27.531
02-18-14 01:32:01 PM,C,26.469
02-18-14 01:42:01 PM,C,25.844
02-18-14 01:52:01 PM,C,26.094
02-18-14 02:02:01 PM,C,26.843
02-18-14 02:12:01 PM,C,25.656
02-18-14 02:22:01 PM,C,25.719
02-18-14 02:32:01 PM,C,24.531
02-18-14 02:42:01 PM,C,23.656
02-18-14 02:52:01 PM,C,23.093
02-18-14 03:02:01 PM,C,22.655
02-18-14 03:12:01 PM,C,22.342
02-18-14 03:22:01 PM,C,22.155
02-18-14 03:32:01 PM,C,22.03
02-18-14 03:42:01 PM,C,21.842
