1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C20000002BB97B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Nov 05 11:45:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Feb 18 04:05:01 CST 2014
Total Mission Samples:  17122
Total Device Samples:  26142
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
02-18-14 04:05:01 AM,C,14.645
02-18-14 04:15:01 AM,C,14.707
02-18-14 04:25:01 AM,C,14.77
02-18-14 04:35:01 AM,C,14.77
02-18-14 04:45:01 AM,C,14.833
02-18-14 04:55:01 AM,C,14.958
02-18-14 05:05:01 AM,C,15.021
02-18-14 05:15:01 AM,C,15.146
02-18-14 05:25:01 AM,C,15.083
02-18-14 05:35:01 AM,C,15.083
02-18-14 05:45:01 AM,C,15.083
02-18-14 05:55:01 AM,C,15.021
02-18-14 06:05:01 AM,C,15.083
02-18-14 06:15:01 AM,C,15.021
02-18-14 06:25:01 AM,C,15.021
02-18-14 06:35:01 AM,C,14.958
02-18-14 06:45:01 AM,C,14.895
02-18-14 06:55:01 AM,C,14.895
02-18-14 07:05:01 AM,C,14.895
02-18-14 07:15:01 AM,C,14.958
02-18-14 07:25:01 AM,C,14.833
02-18-14 07:35:01 AM,C,14.895
02-18-14 07:45:01 AM,C,14.958
02-18-14 07:55:01 AM,C,15.146
02-18-14 08:05:01 AM,C,15.459
02-18-14 08:15:01 AM,C,15.396
02-18-14 08:25:01 AM,C,15.271
02-18-14 08:35:01 AM,C,15.396
02-18-14 08:45:01 AM,C,15.835
02-18-14 08:55:01 AM,C,16.273
02-18-14 09:05:01 AM,C,17.588
02-18-14 09:15:01 AM,C,16.711
02-18-14 09:25:01 AM,C,16.837
02-18-14 09:35:01 AM,C,16.711
02-18-14 09:45:01 AM,C,16.649
02-18-14 09:55:01 AM,C,16.649
02-18-14 10:05:01 AM,C,16.837
02-18-14 10:15:01 AM,C,16.899
02-18-14 10:25:01 AM,C,17.212
02-18-14 10:35:01 AM,C,17.087
02-18-14 10:45:01 AM,C,17.525
02-18-14 10:55:01 AM,C,17.212
02-18-14 11:05:01 AM,C,18.339
02-18-14 11:15:01 AM,C,20.279
02-18-14 11:25:01 AM,C,22.093
02-18-14 11:35:01 AM,C,20.091
02-18-14 11:45:01 AM,C,19.403
02-18-14 11:55:01 AM,C,19.215
02-18-14 12:05:01 PM,C,19.403
02-18-14 12:15:01 PM,C,20.967
02-18-14 12:25:01 PM,C,23.844
02-18-14 12:35:01 PM,C,22.53
02-18-14 12:45:01 PM,C,23.781
02-18-14 12:55:01 PM,C,23.031
02-18-14 01:05:01 PM,C,22.781
02-18-14 01:15:01 PM,C,20.529
02-18-14 01:25:01 PM,C,20.216
02-18-14 01:35:01 PM,C,19.903
02-18-14 01:45:01 PM,C,22.781
02-18-14 01:55:01 PM,C,23.781
02-18-14 02:05:01 PM,C,24.156
02-18-14 02:15:01 PM,C,20.717
02-18-14 02:25:01 PM,C,20.717
02-18-14 02:35:01 PM,C,20.654
02-18-14 02:45:01 PM,C,19.966
02-18-14 02:55:01 PM,C,20.591
02-18-14 03:05:01 PM,C,25.031
