1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4E0000002BB40041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:29:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:29:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11320
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:29:01 AM,C,15.999
01-08-14 12:29:01 PM,C,16.625
01-08-14 01:29:01 PM,C,16.938
01-08-14 02:29:01 PM,C,17.188
01-08-14 03:29:01 PM,C,17.188
01-08-14 04:29:01 PM,C,17.313
01-08-14 05:29:01 PM,C,17.313
01-08-14 06:29:01 PM,C,17
01-08-14 07:29:01 PM,C,16.938
01-08-14 08:29:01 PM,C,16.813
01-08-14 09:29:01 PM,C,16.75
01-08-14 10:29:01 PM,C,16.5
01-08-14 11:29:01 PM,C,16.5
01-09-14 12:29:01 AM,C,16.374
01-09-14 01:29:01 AM,C,16.249
01-09-14 02:29:01 AM,C,16.187
01-09-14 03:29:01 AM,C,16.187
01-09-14 04:29:01 AM,C,16.124
01-09-14 05:29:01 AM,C,16.124
01-09-14 06:29:01 AM,C,16.124
01-09-14 07:29:01 AM,C,16.312
01-09-14 08:29:01 AM,C,16.562
01-09-14 09:29:01 AM,C,16.875
01-09-14 10:29:01 AM,C,17.063
01-09-14 11:29:01 AM,C,17.438
01-09-14 12:29:01 PM,C,17.563
01-09-14 01:29:01 PM,C,17.876
01-09-14 02:29:01 PM,C,17.939
01-09-14 03:29:01 PM,C,18.127
01-09-14 04:29:01 PM,C,18.064
01-09-14 05:29:01 PM,C,17.939
01-09-14 06:29:01 PM,C,17.939
01-09-14 07:29:01 PM,C,18.002
01-09-14 08:29:01 PM,C,17.876
01-09-14 09:29:01 PM,C,17.814
01-09-14 10:29:01 PM,C,17.814
01-09-14 11:29:01 PM,C,17.751
01-10-14 12:29:01 AM,C,17.251
01-10-14 01:29:01 AM,C,17.063
01-10-14 02:29:01 AM,C,16.687
01-10-14 03:29:01 AM,C,16.437
01-10-14 04:29:01 AM,C,16.312
01-10-14 05:29:01 AM,C,15.999
01-10-14 06:29:01 AM,C,15.874
01-10-14 07:29:01 AM,C,16.5
01-10-14 08:29:01 AM,C,17.563
01-10-14 09:29:01 AM,C,18.439
01-10-14 10:29:01 AM,C,18.815
01-10-14 11:29:01 AM,C,20.003
01-10-14 12:29:01 PM,C,20.441
01-10-14 01:29:01 PM,C,21.129
01-10-14 02:29:01 PM,C,20.879
01-10-14 03:29:01 PM,C,20.692
01-10-14 04:29:01 PM,C,21.567
01-10-14 05:29:01 PM,C,21.192
01-10-14 06:29:01 PM,C,19.941
01-10-14 07:29:01 PM,C,19.691
01-10-14 08:29:01 PM,C,19.816
01-10-14 09:29:01 PM,C,19.691
01-10-14 10:29:01 PM,C,19.628
01-10-14 11:29:01 PM,C,19.566
01-11-14 12:29:01 AM,C,19.253
01-11-14 01:29:01 AM,C,19.378
01-11-14 02:29:01 AM,C,19.378
01-11-14 03:29:01 AM,C,18.752
01-11-14 04:29:01 AM,C,18.252
01-11-14 05:29:01 AM,C,18.002
01-11-14 06:29:01 AM,C,17.689
01-11-14 07:29:01 AM,C,18.252
01-11-14 08:29:01 AM,C,19.128
01-11-14 09:29:01 AM,C,19.691
