1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000002BB88441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:29:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 03:29:01 CST 2014
Total Mission Samples:  4220
Total Device Samples:  11345
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 03:29:01 AM,C,18.123
01-08-14 04:29:01 AM,C,17.998
01-08-14 05:29:01 AM,C,17.81
01-08-14 06:29:01 AM,C,17.81
01-08-14 07:29:01 AM,C,17.873
01-08-14 08:29:01 AM,C,18.061
01-08-14 09:29:01 AM,C,18.437
01-08-14 10:29:01 AM,C,18.624
01-08-14 11:29:01 AM,C,18.687
01-08-14 12:29:01 PM,C,18.687
01-08-14 01:29:01 PM,C,18.875
01-08-14 02:29:01 PM,C,19
01-08-14 03:29:01 PM,C,19
01-08-14 04:29:01 PM,C,19
01-08-14 05:29:01 PM,C,18.875
01-08-14 06:29:01 PM,C,18.562
01-08-14 07:29:01 PM,C,18.499
01-08-14 08:29:01 PM,C,18.437
01-08-14 09:29:01 PM,C,18.437
01-08-14 10:29:01 PM,C,18.249
01-08-14 11:29:01 PM,C,18.186
01-09-14 12:29:01 AM,C,18.186
01-09-14 01:29:01 AM,C,18.186
01-09-14 02:29:01 AM,C,18.186
01-09-14 03:29:01 AM,C,18.186
01-09-14 04:29:01 AM,C,18.186
01-09-14 05:29:01 AM,C,18.186
01-09-14 06:29:01 AM,C,18.186
01-09-14 07:29:01 AM,C,18.311
01-09-14 08:29:01 AM,C,18.562
01-09-14 09:29:01 AM,C,18.624
01-09-14 10:29:01 AM,C,18.875
01-09-14 11:29:01 AM,C,19.063
01-09-14 12:29:01 PM,C,19.313
01-09-14 01:29:01 PM,C,19.563
01-09-14 02:29:01 PM,C,19.689
01-09-14 03:29:01 PM,C,19.939
01-09-14 04:29:01 PM,C,20.002
01-09-14 05:29:01 PM,C,19.939
01-09-14 06:29:01 PM,C,19.814
01-09-14 07:29:01 PM,C,19.876
01-09-14 08:29:01 PM,C,19.939
01-09-14 09:29:01 PM,C,19.939
01-09-14 10:29:01 PM,C,19.939
01-09-14 11:29:01 PM,C,20.002
01-10-14 12:29:01 AM,C,20.002
01-10-14 01:29:01 AM,C,19.751
01-10-14 02:29:01 AM,C,19.751
01-10-14 03:29:01 AM,C,19.438
01-10-14 04:29:01 AM,C,19.313
01-10-14 05:29:01 AM,C,19.438
01-10-14 06:29:01 AM,C,19.438
01-10-14 07:29:01 AM,C,19.376
01-10-14 08:29:01 AM,C,19.563
01-10-14 09:29:01 AM,C,19.876
01-10-14 10:29:01 AM,C,20.064
01-10-14 11:29:01 AM,C,20.502
01-10-14 12:29:01 PM,C,21.066
01-10-14 01:29:01 PM,C,21.316
01-10-14 02:29:01 PM,C,21.629
01-10-14 03:29:01 PM,C,21.691
01-10-14 04:29:01 PM,C,21.816
01-10-14 05:29:01 PM,C,22.004
01-10-14 06:29:01 PM,C,21.754
01-10-14 07:29:01 PM,C,21.754
01-10-14 08:29:01 PM,C,21.691
01-10-14 09:29:01 PM,C,21.691
01-10-14 10:29:01 PM,C,21.754
01-10-14 11:29:01 PM,C,21.754
01-11-14 12:29:01 AM,C,21.691
01-11-14 01:29:01 AM,C,21.629
01-11-14 02:29:01 AM,C,21.629
01-11-14 03:29:01 AM,C,21.378
01-11-14 04:29:01 AM,C,21.066
01-11-14 05:29:01 AM,C,20.753
01-11-14 06:29:01 AM,C,20.815
01-11-14 07:29:01 AM,C,20.94
01-11-14 08:29:01 AM,C,21.003
01-11-14 09:29:01 AM,C,21.316
01-11-14 10:29:01 AM,C,21.378
01-11-14 11:29:01 AM,C,21.566
01-11-14 12:29:01 PM,C,21.754
01-11-14 01:29:01 PM,C,22.129
01-11-14 02:29:01 PM,C,22.317
01-11-14 03:29:01 PM,C,22.504
01-11-14 04:29:01 PM,C,22.567
01-11-14 05:29:01 PM,C,22.63
01-11-14 06:29:01 PM,C,22.254
01-11-14 07:29:01 PM,C,22.067
01-11-14 08:29:01 PM,C,22.067
01-11-14 09:29:01 PM,C,22.129
01-11-14 10:29:01 PM,C,21.941
01-11-14 11:29:01 PM,C,21.504
01-12-14 12:29:01 AM,C,21.128
01-12-14 01:29:01 AM,C,20.94
01-12-14 02:29:01 AM,C,20.69
