1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 320000002BBA1741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:57:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 10:57:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 10:57:01 AM,C,19.313
01-08-14 11:57:01 AM,C,19.564
01-08-14 12:57:01 PM,C,19.689
01-08-14 01:57:01 PM,C,19.877
01-08-14 02:57:01 PM,C,20.127
01-08-14 03:57:01 PM,C,20.252
01-08-14 04:57:01 PM,C,20.252
01-08-14 05:57:01 PM,C,20.252
01-08-14 06:57:01 PM,C,20.252
01-08-14 07:57:01 PM,C,20.189
01-08-14 08:57:01 PM,C,20.127
01-08-14 09:57:01 PM,C,20.064
01-08-14 10:57:01 PM,C,20.002
01-08-14 11:57:01 PM,C,20.002
01-09-14 12:57:01 AM,C,19.939
01-09-14 01:57:01 AM,C,19.877
01-09-14 02:57:01 AM,C,19.814
01-09-14 03:57:01 AM,C,19.751
01-09-14 04:57:01 AM,C,19.689
01-09-14 05:57:01 AM,C,19.626
01-09-14 06:57:01 AM,C,19.564
01-09-14 07:57:01 AM,C,19.564
01-09-14 08:57:01 AM,C,19.626
01-09-14 09:57:01 AM,C,19.689
01-09-14 10:57:01 AM,C,20.002
01-09-14 11:57:01 AM,C,20.44
01-09-14 12:57:01 PM,C,20.878
01-09-14 01:57:01 PM,C,21.191
01-09-14 02:57:01 PM,C,21.816
01-09-14 03:57:01 PM,C,22.317
01-09-14 04:57:01 PM,C,22.379
01-09-14 05:57:01 PM,C,22.254
01-09-14 06:57:01 PM,C,22.067
01-09-14 07:57:01 PM,C,21.879
01-09-14 08:57:01 PM,C,21.629
01-09-14 09:57:01 PM,C,21.316
01-09-14 10:57:01 PM,C,21.066
01-09-14 11:57:01 PM,C,20.94
01-10-14 12:57:01 AM,C,20.878
01-10-14 01:57:01 AM,C,20.69
01-10-14 02:57:01 AM,C,20.315
01-10-14 03:57:01 AM,C,20.002
01-10-14 04:57:01 AM,C,19.564
01-10-14 05:57:01 AM,C,19.125
01-10-14 06:57:01 AM,C,18.625
01-10-14 07:57:01 AM,C,18.875
01-10-14 08:57:01 AM,C,21.629
01-10-14 09:57:01 AM,C,24.131
01-10-14 10:57:01 AM,C,24.881
01-10-14 11:57:01 AM,C,26.631
01-10-14 12:57:01 PM,C,26.006
01-10-14 01:57:01 PM,C,26.193
01-10-14 02:57:01 PM,C,29.067
01-10-14 03:57:01 PM,C,26.506
01-10-14 04:57:01 PM,C,26.006
01-10-14 05:57:01 PM,C,25.631
01-10-14 06:57:01 PM,C,25.193
01-10-14 07:57:01 PM,C,24.756
01-10-14 08:57:01 PM,C,24.443
01-10-14 09:57:01 PM,C,24.131
01-10-14 10:57:01 PM,C,23.818
01-10-14 11:57:01 PM,C,23.505
01-11-14 12:57:01 AM,C,23.13
01-11-14 01:57:01 AM,C,22.817
01-11-14 02:57:01 AM,C,22.505
01-11-14 03:57:01 AM,C,22.254
