1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 660000002BB57C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:10:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:10:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11353
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:10:01 AM,C,19.102
01-08-14 12:10:01 PM,C,19.54
01-08-14 01:10:01 PM,C,19.915
01-08-14 02:10:01 PM,C,20.291
01-08-14 03:10:01 PM,C,20.228
01-08-14 04:10:01 PM,C,20.103
01-08-14 05:10:01 PM,C,19.79
01-08-14 06:10:01 PM,C,19.478
01-08-14 07:10:01 PM,C,19.29
01-08-14 08:10:01 PM,C,19.102
01-08-14 09:10:01 PM,C,18.977
01-08-14 10:10:01 PM,C,18.914
01-08-14 11:10:01 PM,C,19.978
01-09-14 12:10:01 AM,C,19.165
01-09-14 01:10:01 AM,C,18.977
01-09-14 02:10:01 AM,C,18.914
01-09-14 03:10:01 AM,C,18.852
01-09-14 04:10:01 AM,C,18.852
01-09-14 05:10:01 AM,C,18.789
01-09-14 06:10:01 AM,C,18.789
01-09-14 07:10:01 AM,C,18.789
01-09-14 08:10:01 AM,C,19.29
01-09-14 09:10:01 AM,C,20.166
01-09-14 10:10:01 AM,C,20.791
01-09-14 11:10:01 AM,C,21.292
01-09-14 12:10:01 PM,C,22.355
01-09-14 01:10:01 PM,C,22.417
01-09-14 02:10:01 PM,C,22.605
01-09-14 03:10:01 PM,C,22.792
01-09-14 04:10:01 PM,C,22.417
01-09-14 05:10:01 PM,C,23.293
01-09-14 06:10:01 PM,C,20.791
01-09-14 07:10:01 PM,C,20.416
01-09-14 08:10:01 PM,C,20.041
01-09-14 09:10:01 PM,C,19.915
01-09-14 10:10:01 PM,C,20.041
01-09-14 11:10:01 PM,C,20.103
01-10-14 12:10:01 AM,C,19.54
01-10-14 01:10:01 AM,C,19.29
01-10-14 02:10:01 AM,C,19.102
01-10-14 03:10:01 AM,C,18.852
01-10-14 04:10:01 AM,C,18.789
01-10-14 05:10:01 AM,C,18.351
01-10-14 06:10:01 AM,C,18.164
01-10-14 07:10:01 AM,C,18.351
01-10-14 08:10:01 AM,C,19.165
01-10-14 09:10:01 AM,C,21.479
01-10-14 10:10:01 AM,C,27.293
01-10-14 11:10:01 AM,C,28.042
01-10-14 12:10:01 PM,C,26.23
01-10-14 01:10:01 PM,C,31.54
01-10-14 02:10:01 PM,C,30.728
01-10-14 03:10:01 PM,C,30.291
01-10-14 04:10:01 PM,C,29.354
01-10-14 05:10:01 PM,C,27.98
01-10-14 06:10:01 PM,C,24.168
01-10-14 07:10:01 PM,C,23.355
01-10-14 08:10:01 PM,C,22.667
01-10-14 09:10:01 PM,C,21.854
01-10-14 10:10:01 PM,C,21.417
01-10-14 11:10:01 PM,C,21.104
01-11-14 12:10:01 AM,C,20.854
01-11-14 01:10:01 AM,C,20.541
01-11-14 02:10:01 AM,C,20.353
01-11-14 03:10:01 AM,C,20.228
01-11-14 04:10:01 AM,C,20.041
01-11-14 05:10:01 AM,C,19.728
01-11-14 06:10:01 AM,C,19.352
01-11-14 07:10:01 AM,C,19.102
01-11-14 08:10:01 AM,C,19.102
01-11-14 09:10:01 AM,C,19.227
01-11-14 10:10:01 AM,C,19.478
01-11-14 11:10:01 AM,C,19.915
01-11-14 12:10:01 PM,C,20.541
01-11-14 01:10:01 PM,C,21.229
01-11-14 02:10:01 PM,C,21.667
01-11-14 03:10:01 PM,C,21.917
01-11-14 04:10:01 PM,C,21.979
01-11-14 05:10:01 PM,C,21.979
01-11-14 06:10:01 PM,C,21.166
01-11-14 07:10:01 PM,C,20.854
01-11-14 08:10:01 PM,C,21.041
01-11-14 09:10:01 PM,C,21.292
01-11-14 10:10:01 PM,C,20.791
01-11-14 11:10:01 PM,C,19.54
01-12-14 12:10:01 AM,C,18.914
01-12-14 01:10:01 AM,C,18.101
01-12-14 02:10:01 AM,C,17.788
01-12-14 03:10:01 AM,C,17.413
01-12-14 04:10:01 AM,C,17.225
01-12-14 05:10:01 AM,C,16.975
01-12-14 06:10:01 AM,C,17.413
01-12-14 07:10:01 AM,C,17.475
01-12-14 08:10:01 AM,C,18.164
01-12-14 09:10:01 AM,C,19.54
01-12-14 10:10:01 AM,C,20.729
01-12-14 11:10:01 AM,C,22.542
01-12-14 12:10:01 PM,C,24.418
01-12-14 01:10:01 PM,C,26.043
01-12-14 02:10:01 PM,C,25.355
01-12-14 03:10:01 PM,C,24.793
01-12-14 04:10:01 PM,C,24.105
01-12-14 05:10:01 PM,C,23.042
01-12-14 06:10:01 PM,C,21.229
01-12-14 07:10:01 PM,C,21.104
01-12-14 08:10:01 PM,C,20.916
01-12-14 09:10:01 PM,C,20.541
01-12-14 10:10:01 PM,C,19.603
01-12-14 11:10:01 PM,C,18.789
01-13-14 12:10:01 AM,C,18.289
01-13-14 01:10:01 AM,C,17.851
01-13-14 02:10:01 AM,C,17.6
01-13-14 03:10:01 AM,C,17.6
01-13-14 04:10:01 AM,C,16.599
01-13-14 05:10:01 AM,C,16.161
01-13-14 06:10:01 AM,C,15.973
01-13-14 07:10:01 AM,C,16.662
01-13-14 08:10:01 AM,C,17.851
01-13-14 09:10:01 AM,C,19.352
01-13-14 10:10:01 AM,C,20.979
01-13-14 11:10:01 AM,C,22.792
01-13-14 12:10:01 PM,C,24.168
01-13-14 01:10:01 PM,C,25.543
01-13-14 02:10:01 PM,C,25.043
01-13-14 03:10:01 PM,C,24.793
01-13-14 04:10:01 PM,C,23.042
01-13-14 05:10:01 PM,C,21.667
01-13-14 06:10:01 PM,C,21.041
01-13-14 07:10:01 PM,C,21.166
01-13-14 08:10:01 PM,C,20.541
01-13-14 09:10:01 PM,C,20.291
01-13-14 10:10:01 PM,C,20.291
01-13-14 11:10:01 PM,C,19.102
01-14-14 12:10:01 AM,C,19.04
01-14-14 01:10:01 AM,C,18.351
01-14-14 02:10:01 AM,C,17.976
01-14-14 03:10:01 AM,C,17.6
01-14-14 04:10:01 AM,C,17.6
01-14-14 05:10:01 AM,C,17.663
01-14-14 06:10:01 AM,C,17.788
01-14-14 07:10:01 AM,C,18.351
01-14-14 08:10:01 AM,C,19.29
01-14-14 09:10:01 AM,C,19.978
01-14-14 10:10:01 AM,C,21.792
01-14-14 11:10:01 AM,C,23.418
01-14-14 12:10:01 PM,C,24.418
01-14-14 01:10:01 PM,C,26.355
01-14-14 02:10:01 PM,C,25.418
01-14-14 03:10:01 PM,C,25.355
01-14-14 04:10:01 PM,C,24.605
01-14-14 05:10:01 PM,C,23.855
01-14-14 06:10:01 PM,C,22.605
01-14-14 07:10:01 PM,C,22.167
01-14-14 08:10:01 PM,C,21.542
01-14-14 09:10:01 PM,C,20.916
01-14-14 10:10:01 PM,C,20.791
01-14-14 11:10:01 PM,C,20.729
01-15-14 12:10:01 AM,C,20.604
01-15-14 01:10:01 AM,C,19.478
01-15-14 02:10:01 AM,C,19.603
01-15-14 03:10:01 AM,C,19.79
01-15-14 04:10:01 AM,C,19.978
01-15-14 05:10:01 AM,C,19.54
01-15-14 06:10:01 AM,C,18.977
01-15-14 07:10:01 AM,C,19.415
01-15-14 08:10:01 AM,C,20.416
01-15-14 09:10:01 AM,C,21.104
01-15-14 10:10:01 AM,C,22.605
01-15-14 11:10:01 AM,C,24.105
01-15-14 12:10:01 PM,C,26.105
01-15-14 01:10:01 PM,C,26.23
01-15-14 02:10:01 PM,C,25.855
01-15-14 03:10:01 PM,C,25.293
01-15-14 04:10:01 PM,C,23.605
01-15-14 05:10:01 PM,C,22.792
01-15-14 06:10:01 PM,C,22.105
