1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000002BB3E141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 11:01:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11181
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 11:01:01 AM,C,21.042
01-08-14 12:01:01 PM,C,21.229
01-08-14 01:01:01 PM,C,21.292
01-08-14 02:01:01 PM,C,21.417
01-08-14 03:01:01 PM,C,21.48
01-08-14 04:01:01 PM,C,21.417
01-08-14 05:01:01 PM,C,21.292
01-08-14 06:01:01 PM,C,21.229
01-08-14 07:01:01 PM,C,21.292
01-08-14 08:01:01 PM,C,21.229
01-08-14 09:01:01 PM,C,21.167
01-08-14 10:01:01 PM,C,21.104
01-08-14 11:01:01 PM,C,21.104
01-09-14 12:01:01 AM,C,20.979
01-09-14 01:01:01 AM,C,20.917
01-09-14 02:01:01 AM,C,20.854
01-09-14 03:01:01 AM,C,20.854
01-09-14 04:01:01 AM,C,20.792
01-09-14 05:01:01 AM,C,20.729
01-09-14 06:01:01 AM,C,20.667
01-09-14 07:01:01 AM,C,20.667
01-09-14 08:01:01 AM,C,20.729
01-09-14 09:01:01 AM,C,20.792
01-09-14 10:01:01 AM,C,20.604
01-09-14 11:01:01 AM,C,21.167
01-09-14 12:01:01 PM,C,21.542
01-09-14 01:01:01 PM,C,21.917
01-09-14 02:01:01 PM,C,22.168
01-09-14 03:01:01 PM,C,22.668
01-09-14 04:01:01 PM,C,22.543
01-09-14 05:01:01 PM,C,22.293
01-09-14 06:01:01 PM,C,22.168
01-09-14 07:01:01 PM,C,22.105
01-09-14 08:01:01 PM,C,21.98
01-09-14 09:01:01 PM,C,21.917
01-09-14 10:01:01 PM,C,21.855
01-09-14 11:01:01 PM,C,21.667
01-10-14 12:01:01 AM,C,21.355
01-10-14 01:01:01 AM,C,21.167
01-10-14 02:01:01 AM,C,21.042
01-10-14 03:01:01 AM,C,20.854
01-10-14 04:01:01 AM,C,20.917
01-10-14 05:01:01 AM,C,20.854
01-10-14 06:01:01 AM,C,20.854
01-10-14 07:01:01 AM,C,20.729
01-10-14 08:01:01 AM,C,20.729
01-10-14 09:01:01 AM,C,20.917
