1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 560000002BDC0141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 15:33:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 03:33:01 CST 2014
Total Mission Samples:  4220
Total Device Samples:  11376
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 03:33:01 AM,C,10.463
01-08-14 04:33:01 AM,C,10.337
01-08-14 05:33:01 AM,C,10.275
01-08-14 06:33:01 AM,C,10.275
01-08-14 07:33:01 AM,C,10.713
01-08-14 08:33:01 AM,C,11.59
01-08-14 09:33:01 AM,C,13.219
01-08-14 10:33:01 AM,C,14.847
01-08-14 11:33:01 AM,C,14.721
01-08-14 12:33:01 PM,C,15.347
01-08-14 01:33:01 PM,C,18.727
01-08-14 02:33:01 PM,C,16.161
01-08-14 03:33:01 PM,C,16.411
01-08-14 04:33:01 PM,C,14.283
01-08-14 05:33:01 PM,C,14.346
01-08-14 06:33:01 PM,C,13.657
01-08-14 07:33:01 PM,C,14.033
01-08-14 08:33:01 PM,C,14.471
01-08-14 09:33:01 PM,C,14.033
01-08-14 10:33:01 PM,C,14.095
01-08-14 11:33:01 PM,C,13.845
01-09-14 12:33:01 AM,C,14.346
01-09-14 01:33:01 AM,C,14.033
01-09-14 02:33:01 AM,C,13.782
01-09-14 03:33:01 AM,C,13.406
01-09-14 04:33:01 AM,C,13.532
01-09-14 05:33:01 AM,C,13.406
01-09-14 06:33:01 AM,C,13.72
01-09-14 07:33:01 AM,C,14.534
01-09-14 08:33:01 AM,C,17.288
01-09-14 09:33:01 AM,C,19.165
01-09-14 10:33:01 AM,C,21.104
01-09-14 11:33:01 AM,C,22.167
01-09-14 12:33:01 PM,C,19.978
01-09-14 01:33:01 PM,C,18.664
01-09-14 02:33:01 PM,C,25.355
01-09-14 03:33:01 PM,C,17.601
01-09-14 04:33:01 PM,C,16.161
01-09-14 05:33:01 PM,C,15.535
01-09-14 06:33:01 PM,C,15.285
01-09-14 07:33:01 PM,C,15.097
01-09-14 08:33:01 PM,C,14.346
01-09-14 09:33:01 PM,C,14.22
01-09-14 10:33:01 PM,C,13.281
01-09-14 11:33:01 PM,C,12.404
01-10-14 12:33:01 AM,C,11.903
01-10-14 01:33:01 AM,C,11.465
01-10-14 02:33:01 AM,C,10.776
01-10-14 03:33:01 AM,C,10.588
01-10-14 04:33:01 AM,C,9.586
01-10-14 05:33:01 AM,C,9.711
01-10-14 06:33:01 AM,C,10.651
01-10-14 07:33:01 AM,C,11.716
01-10-14 08:33:01 AM,C,14.659
01-10-14 09:33:01 AM,C,15.973
01-10-14 10:33:01 AM,C,18.727
01-10-14 11:33:01 AM,C,21.292
01-10-14 12:33:01 PM,C,21.041
01-10-14 01:33:01 PM,C,21.354
01-10-14 02:33:01 PM,C,19.603
01-10-14 03:33:01 PM,C,19.978
01-10-14 04:33:01 PM,C,20.478
01-10-14 05:33:01 PM,C,19.79
01-10-14 06:33:01 PM,C,14.033
01-10-14 07:33:01 PM,C,15.973
01-10-14 08:33:01 PM,C,15.848
01-10-14 09:33:01 PM,C,15.786
01-10-14 10:33:01 PM,C,15.598
01-10-14 11:33:01 PM,C,14.972
01-11-14 12:33:01 AM,C,14.596
01-11-14 01:33:01 AM,C,14.596
01-11-14 02:33:01 AM,C,14.095
01-11-14 03:33:01 AM,C,13.344
01-11-14 04:33:01 AM,C,12.029
01-11-14 05:33:01 AM,C,11.716
01-11-14 06:33:01 AM,C,12.53
01-11-14 07:33:01 AM,C,13.281
01-11-14 08:33:01 AM,C,15.66
01-11-14 09:33:01 AM,C,17.538
01-11-14 10:33:01 AM,C,17.225
01-11-14 11:33:01 AM,C,19.29
01-11-14 12:33:01 PM,C,21.542
01-11-14 01:33:01 PM,C,21.542
01-11-14 02:33:01 PM,C,21.166
01-11-14 03:33:01 PM,C,19.227
01-11-14 04:33:01 PM,C,21.041
01-11-14 05:33:01 PM,C,22.855
01-11-14 06:33:01 PM,C,14.784
01-11-14 07:33:01 PM,C,15.723
01-11-14 08:33:01 PM,C,15.723
01-11-14 09:33:01 PM,C,14.972
01-11-14 10:33:01 PM,C,14.847
01-11-14 11:33:01 PM,C,12.905
01-12-14 12:33:01 AM,C,12.53
01-12-14 01:33:01 AM,C,11.966
01-12-14 02:33:01 AM,C,11.59
01-12-14 03:33:01 AM,C,11.966
01-12-14 04:33:01 AM,C,11.528
01-12-14 05:33:01 AM,C,11.778
01-12-14 06:33:01 AM,C,11.277
01-12-14 07:33:01 AM,C,12.467
01-12-14 08:33:01 AM,C,16.286
01-12-14 09:33:01 AM,C,19.29
