1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3F0000002BB46641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Jun 04 02:57:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 01:57:01 CST 2013
Total Mission Samples:  2503
Total Device Samples:  9605
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 01:57:01 AM,%RH,94.385
06-23-13 02:57:01 AM,%RH,94.169
06-23-13 03:57:01 AM,%RH,94.708
06-23-13 04:57:01 AM,%RH,95.776
06-23-13 05:57:01 AM,%RH,95.67
06-23-13 06:57:01 AM,%RH,91.539
06-23-13 07:57:01 AM,%RH,86.884
06-23-13 08:57:01 AM,%RH,79.331
06-23-13 09:57:01 AM,%RH,75.054
06-23-13 10:57:01 AM,%RH,65.393
06-23-13 11:57:01 AM,%RH,58.97
06-23-13 12:57:01 PM,%RH,56.532
06-23-13 01:57:01 PM,%RH,53.617
06-23-13 02:57:01 PM,%RH,48.248
06-23-13 03:57:01 PM,%RH,53.47
06-23-13 04:57:01 PM,%RH,61.234
06-23-13 05:57:01 PM,%RH,78.088
06-23-13 06:57:01 PM,%RH,72.341
06-23-13 07:57:01 PM,%RH,76.2
06-23-13 08:57:01 PM,%RH,86.419
06-23-13 09:57:01 PM,%RH,88.382
06-23-13 10:57:01 PM,%RH,93.518
06-23-13 11:57:01 PM,%RH,91.982
06-24-13 12:57:01 AM,%RH,93.409
06-24-13 01:57:01 AM,%RH,96.938
06-24-13 02:57:01 AM,%RH,96.095
06-24-13 03:57:01 AM,%RH,95.244
06-24-13 04:57:01 AM,%RH,96.517
06-24-13 05:57:01 AM,%RH,96.306
06-24-13 06:57:01 AM,%RH,93.518
06-24-13 07:57:01 AM,%RH,89.18
06-24-13 08:57:01 AM,%RH,72.602
06-24-13 09:57:01 AM,%RH,71.294
06-24-13 10:57:01 AM,%RH,68.507
06-24-13 11:57:01 AM,%RH,62.771
06-24-13 12:57:01 PM,%RH,70.238
06-24-13 01:57:01 PM,%RH,70.371
06-24-13 02:57:01 PM,%RH,72.862
06-24-13 03:57:01 PM,%RH,75.564
06-24-13 04:57:01 PM,%RH,81.539
06-24-13 05:57:01 PM,%RH,86.186
06-24-13 06:57:01 PM,%RH,97.669
06-24-13 07:57:01 PM,%RH,98.395
06-24-13 08:57:01 PM,%RH,98.91
06-24-13 09:57:01 PM,%RH,98.704
06-24-13 10:57:01 PM,%RH,98.807
06-24-13 11:57:01 PM,%RH,99.115
06-25-13 12:57:01 AM,%RH,99.012
06-25-13 01:57:01 AM,%RH,98.807
06-25-13 02:57:01 AM,%RH,98.807
06-25-13 03:57:01 AM,%RH,98.292
06-25-13 04:57:01 AM,%RH,97.981
06-25-13 05:57:01 AM,%RH,98.085
06-25-13 06:57:01 AM,%RH,96.201
06-25-13 07:57:01 AM,%RH,89.747
06-25-13 08:57:01 AM,%RH,87.693
06-25-13 09:57:01 AM,%RH,77.084
06-25-13 10:57:01 AM,%RH,73.381
06-25-13 11:57:01 AM,%RH,65.666
06-25-13 12:57:01 PM,%RH,64.707
06-25-13 01:57:01 PM,%RH,60.106
06-25-13 02:57:01 PM,%RH,62.91
06-25-13 03:57:01 PM,%RH,65.256
06-25-13 04:57:01 PM,%RH,84.539
06-25-13 05:57:01 PM,%RH,92.203
06-25-13 06:57:01 PM,%RH,94.169
06-25-13 07:57:01 PM,%RH,98.188
06-25-13 08:57:01 PM,%RH,96.833
06-25-13 09:57:01 PM,%RH,98.188
06-25-13 10:57:01 PM,%RH,97.461
06-25-13 11:57:01 PM,%RH,97.669
06-26-13 12:57:01 AM,%RH,99.012
06-26-13 01:57:01 AM,%RH,98.601
06-26-13 02:57:01 AM,%RH,98.498
06-26-13 03:57:01 AM,%RH,98.188
06-26-13 04:57:01 AM,%RH,95.564
06-26-13 05:57:01 AM,%RH,97.148
06-26-13 06:57:01 AM,%RH,94.492
06-26-13 07:57:01 AM,%RH,88.839
06-26-13 08:57:01 AM,%RH,88.153
06-26-13 09:57:01 AM,%RH,69.308
06-26-13 10:57:01 AM,%RH,63.049
06-26-13 11:57:01 AM,%RH,57.109
06-26-13 12:57:01 PM,%RH,57.253
06-26-13 01:57:01 PM,%RH,63.465
