1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CF0000002BB53841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 15:59:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 02:59:01 CST 2013
Total Mission Samples:  2419
Total Device Samples:  9533
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 02:59:01 AM,%RH,98.554
06-23-13 03:59:01 AM,%RH,98.671
06-23-13 04:59:01 AM,%RH,97.138
06-23-13 05:59:01 AM,%RH,99.139
06-23-13 06:59:01 AM,%RH,96.066
06-23-13 07:59:01 AM,%RH,87.935
06-23-13 08:59:01 AM,%RH,74.025
06-23-13 09:59:01 AM,%RH,57.566
06-23-13 10:59:01 AM,%RH,52.23
06-23-13 11:59:01 AM,%RH,49.121
06-23-13 12:59:01 PM,%RH,45.014
06-23-13 01:59:01 PM,%RH,39.044
06-23-13 02:59:01 PM,%RH,41.158
06-23-13 03:59:01 PM,%RH,44.855
06-23-13 04:59:01 PM,%RH,62.769
06-23-13 05:59:01 PM,%RH,78.256
06-23-13 06:59:01 PM,%RH,79.063
06-23-13 07:59:01 PM,%RH,67.982
06-23-13 08:59:01 PM,%RH,83.562
06-23-13 09:59:01 PM,%RH,90.698
06-23-13 10:59:01 PM,%RH,88.442
06-23-13 11:59:01 PM,%RH,96.782
06-24-13 12:59:01 AM,%RH,97.848
06-24-13 01:59:01 AM,%RH,95.347
06-24-13 02:59:01 AM,%RH,94.502
06-24-13 03:59:01 AM,%RH,96.186
06-24-13 04:59:01 AM,%RH,96.901
06-24-13 05:59:01 AM,%RH,97.257
06-24-13 06:59:01 AM,%RH,92.429
06-24-13 07:59:01 AM,%RH,83.692
06-24-13 08:59:01 AM,%RH,67.839
06-24-13 09:59:01 AM,%RH,62.769
06-24-13 10:59:01 AM,%RH,65.683
06-24-13 11:59:01 AM,%RH,57.867
06-24-13 12:59:01 PM,%RH,58.318
06-24-13 01:59:01 PM,%RH,56.812
06-24-13 02:59:01 PM,%RH,56.358
06-24-13 03:59:01 PM,%RH,62.916
06-24-13 04:59:01 PM,%RH,72.916
06-24-13 05:59:01 PM,%RH,79.197
06-24-13 06:59:01 PM,%RH,90.822
06-24-13 07:59:01 PM,%RH,94.017
06-24-13 08:59:01 PM,%RH,98.202
06-24-13 09:59:01 PM,%RH,99.023
06-24-13 10:59:01 PM,%RH,99.373
06-24-13 11:59:01 PM,%RH,99.838
06-25-13 12:59:01 AM,%RH,99.489
06-25-13 01:59:01 AM,%RH,99.606
06-25-13 02:59:01 AM,%RH,99.606
06-25-13 03:59:01 AM,%RH,99.722
06-25-13 04:59:01 AM,%RH,99.489
06-25-13 05:59:01 AM,%RH,99.838
06-25-13 06:59:01 AM,%RH,99.954
06-25-13 07:59:01 AM,%RH,97.848
06-25-13 08:59:01 AM,%RH,94.985
06-25-13 09:59:01 AM,%RH,90.324
06-25-13 10:59:01 AM,%RH,78.256
06-25-13 11:59:01 AM,%RH,68.838
06-25-13 12:59:01 PM,%RH,65.683
06-25-13 01:59:01 PM,%RH,61.444
06-25-13 02:59:01 PM,%RH,58.468
06-25-13 03:59:01 PM,%RH,53.461
06-25-13 04:59:01 PM,%RH,73.194
06-25-13 05:59:01 PM,%RH,78.929
06-25-13 06:59:01 PM,%RH,84.602
06-25-13 07:59:01 PM,%RH,81.857
06-25-13 08:59:01 PM,%RH,91.195
06-25-13 09:59:01 PM,%RH,97.73
06-25-13 10:59:01 PM,%RH,98.437
06-25-13 11:59:01 PM,%RH,96.901
06-26-13 12:59:01 AM,%RH,91.443
06-26-13 01:59:01 AM,%RH,98.554
06-26-13 02:59:01 AM,%RH,99.023
06-26-13 03:59:01 AM,%RH,96.305
06-26-13 04:59:01 AM,%RH,98.319
06-26-13 05:59:01 AM,%RH,98.202
06-26-13 06:59:01 AM,%RH,94.381
06-26-13 07:59:01 AM,%RH,90.822
06-26-13 08:59:01 AM,%RH,83.17
06-26-13 09:59:01 AM,%RH,75.812
06-26-13 10:59:01 AM,%RH,65.538
06-26-13 11:59:01 AM,%RH,67.41
06-26-13 12:59:01 PM,%RH,58.617
06-26-13 01:59:01 PM,%RH,56.51
06-26-13 02:59:01 PM,%RH,56.207
06-26-13 03:59:01 PM,%RH,65.827
06-26-13 04:59:01 PM,%RH,74.025
06-26-13 05:59:01 PM,%RH,81.725
06-26-13 06:59:01 PM,%RH,86.534
06-26-13 07:59:01 PM,%RH,87.427
06-26-13 08:59:01 PM,%RH,88.694
06-26-13 09:59:01 PM,%RH,91.937
06-26-13 10:59:01 PM,%RH,95.587
06-26-13 11:59:01 PM,%RH,95.827
06-27-13 12:59:01 AM,%RH,94.623
06-27-13 01:59:01 AM,%RH,96.305
06-27-13 02:59:01 AM,%RH,96.901
06-27-13 03:59:01 AM,%RH,97.257
06-27-13 04:59:01 AM,%RH,95.947
06-27-13 05:59:01 AM,%RH,95.467
06-27-13 06:59:01 AM,%RH,92.674
06-27-13 07:59:01 AM,%RH,75.401
06-27-13 08:59:01 AM,%RH,62.476
06-27-13 09:59:01 AM,%RH,60.259
06-27-13 10:59:01 AM,%RH,53.461
06-27-13 11:59:01 AM,%RH,54.991
06-27-13 12:59:01 PM,%RH,50.681
06-27-13 01:59:01 PM,%RH,43.896
06-27-13 02:59:01 PM,%RH,50.836
06-27-13 03:59:01 PM,%RH,73.194
06-27-13 04:59:01 PM,%RH,80.133
06-27-13 05:59:01 PM,%RH,82.646
06-27-13 06:59:01 PM,%RH,83.692
06-27-13 07:59:01 PM,%RH,84.213
06-27-13 08:59:01 PM,%RH,86.406
06-27-13 09:59:01 PM,%RH,89.825
06-27-13 10:59:01 PM,%RH,90.698
06-27-13 11:59:01 PM,%RH,92.797
06-28-13 12:59:01 AM,%RH,94.623
06-28-13 01:59:01 AM,%RH,96.425
06-28-13 02:59:01 AM,%RH,95.947
06-28-13 03:59:01 AM,%RH,96.066
06-28-13 04:59:01 AM,%RH,99.139
06-28-13 05:59:01 AM,%RH,99.373
06-28-13 06:59:01 AM,%RH,97.73
06-28-13 07:59:01 AM,%RH,97.02
06-28-13 08:59:01 AM,%RH,94.865
06-28-13 09:59:01 AM,%RH,81.063
06-28-13 10:59:01 AM,%RH,69.83
06-28-13 11:59:01 AM,%RH,69.122
06-28-13 12:59:01 PM,%RH,57.867
06-28-13 01:59:01 PM,%RH,61.444
06-28-13 02:59:01 PM,%RH,51.147
06-28-13 03:59:01 PM,%RH,60.556
06-28-13 04:59:01 PM,%RH,74.577
06-28-13 05:59:01 PM,%RH,82.646
06-28-13 06:59:01 PM,%RH,82.252
06-28-13 07:59:01 PM,%RH,84.991
06-28-13 08:59:01 PM,%RH,86.662
06-28-13 09:59:01 PM,%RH,74.025
06-28-13 10:59:01 PM,%RH,98.671
06-28-13 11:59:01 PM,%RH,97.494
06-29-13 12:59:01 AM,%RH,98.202
06-29-13 01:59:01 AM,%RH,97.966
06-29-13 02:59:01 AM,%RH,97.02
06-29-13 03:59:01 AM,%RH,97.02
06-29-13 04:59:01 AM,%RH,98.084
06-29-13 05:59:01 AM,%RH,97.494
06-29-13 06:59:01 AM,%RH,95.467
06-29-13 07:59:01 AM,%RH,94.139
06-29-13 08:59:01 AM,%RH,87.045
06-29-13 09:59:01 AM,%RH,81.46
06-29-13 10:59:01 AM,%RH,68.695
06-29-13 11:59:01 AM,%RH,63.94
06-29-13 12:59:01 PM,%RH,60.11
06-29-13 01:59:01 PM,%RH,58.168
06-29-13 02:59:01 PM,%RH,74.025
06-29-13 03:59:01 PM,%RH,90.574
06-29-13 04:59:01 PM,%RH,91.937
06-29-13 05:59:01 PM,%RH,98.789
06-29-13 06:59:01 PM,%RH,97.375
06-29-13 07:59:01 PM,%RH,98.906
06-29-13 08:59:01 PM,%RH,99.838
06-29-13 09:59:01 PM,%RH,97.848
06-29-13 10:59:01 PM,%RH,99.139
06-29-13 11:59:01 PM,%RH,98.084
06-30-13 12:59:01 AM,%RH,98.084
06-30-13 01:59:01 AM,%RH,97.966
06-30-13 02:59:01 AM,%RH,99.373
06-30-13 03:59:01 AM,%RH,98.671
06-30-13 04:59:01 AM,%RH,99.256
06-30-13 05:59:01 AM,%RH,98.084
06-30-13 06:59:01 AM,%RH,95.467
06-30-13 07:59:01 AM,%RH,92.797
06-30-13 08:59:01 AM,%RH,84.343
06-30-13 09:59:01 AM,%RH,85.12
06-30-13 10:59:01 AM,%RH,66.116
06-30-13 11:59:01 AM,%RH,56.963
06-30-13 12:59:01 PM,%RH,65.683
06-30-13 01:59:01 PM,%RH,71.239
06-30-13 02:59:01 PM,%RH,57.867
06-30-13 03:59:01 PM,%RH,77.851
06-30-13 04:59:01 PM,%RH,88.946
06-30-13 05:59:01 PM,%RH,87.935
06-30-13 06:59:01 PM,%RH,98.319
06-30-13 07:59:01 PM,%RH,98.202
06-30-13 08:59:01 PM,%RH,99.373
06-30-13 09:59:01 PM,%RH,98.671
06-30-13 10:59:01 PM,%RH,99.722
06-30-13 11:59:01 PM,%RH,100.418
07-01-13 12:59:01 AM,%RH,100.186
07-01-13 01:59:01 AM,%RH,99.838
07-01-13 02:59:01 AM,%RH,100.418
07-01-13 03:59:01 AM,%RH,100.186
07-01-13 04:59:01 AM,%RH,100.994
07-01-13 05:59:01 AM,%RH,99.838
07-01-13 06:59:01 AM,%RH,99.139
07-01-13 07:59:01 AM,%RH,91.071
07-01-13 08:59:01 AM,%RH,81.857
07-01-13 09:59:01 AM,%RH,76.085
07-01-13 10:59:01 AM,%RH,74.989
07-01-13 11:59:01 AM,%RH,72.777
07-01-13 12:59:01 PM,%RH,72.498
07-01-13 01:59:01 PM,%RH,69.406
07-01-13 02:59:01 PM,%RH,72.079
07-01-13 03:59:01 PM,%RH,68.98
07-01-13 04:59:01 PM,%RH,77.174
07-01-13 05:59:01 PM,%RH,95.347
07-01-13 06:59:01 PM,%RH,98.671
07-01-13 07:59:01 PM,%RH,97.257
07-01-13 08:59:01 PM,%RH,99.373
07-01-13 09:59:01 PM,%RH,100.533
07-01-13 10:59:01 PM,%RH,99.606
07-01-13 11:59:01 PM,%RH,99.373
07-02-13 12:59:01 AM,%RH,99.023
07-02-13 01:59:01 AM,%RH,100.07
07-02-13 02:59:01 AM,%RH,99.954
07-02-13 03:59:01 AM,%RH,99.722
07-02-13 04:59:01 AM,%RH,100.302
07-02-13 05:59:01 AM,%RH,100.186
07-02-13 06:59:01 AM,%RH,99.373
07-02-13 07:59:01 AM,%RH,98.671
07-02-13 08:59:01 AM,%RH,86.278
07-02-13 09:59:01 AM,%RH,77.174
07-02-13 10:59:01 AM,%RH,78.526
07-02-13 11:59:01 AM,%RH,67.982
07-02-13 12:59:01 PM,%RH,72.777
07-02-13 01:59:01 PM,%RH,69.972
07-02-13 02:59:01 PM,%RH,78.256
07-02-13 03:59:01 PM,%RH,79.733
07-02-13 04:59:01 PM,%RH,85.378
07-02-13 05:59:01 PM,%RH,87.427
07-02-13 06:59:01 PM,%RH,93.408
07-02-13 07:59:01 PM,%RH,99.256
07-02-13 08:59:01 PM,%RH,98.789
07-02-13 09:59:01 PM,%RH,97.966
07-02-13 10:59:01 PM,%RH,99.373
07-02-13 11:59:01 PM,%RH,99.373
07-03-13 12:59:01 AM,%RH,99.722
07-03-13 01:59:01 AM,%RH,99.489
