1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000002BB4A941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:40:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 05 06:40:01 CST 2013
Total Mission Samples:  2142
Total Device Samples:  9183
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-05-13 06:40:01 AM,%RH,89.754
06-05-13 07:40:01 AM,%RH,81.119
06-05-13 08:40:01 AM,%RH,76.977
06-05-13 09:40:01 AM,%RH,72.465
06-05-13 10:40:01 AM,%RH,63.558
06-05-13 11:40:01 AM,%RH,60.943
06-05-13 12:40:01 PM,%RH,56.961
06-05-13 01:40:01 PM,%RH,61.818
06-05-13 02:40:01 PM,%RH,78.726
06-05-13 03:40:01 PM,%RH,84.91
06-05-13 04:40:01 PM,%RH,84.651
06-05-13 05:40:01 PM,%RH,89.628
06-05-13 06:40:01 PM,%RH,92.618
06-05-13 07:40:01 PM,%RH,94.092
06-05-13 08:40:01 PM,%RH,91.752
06-05-13 09:40:01 PM,%RH,93.234
06-05-13 10:40:01 PM,%RH,92.864
06-05-13 11:40:01 PM,%RH,90.631
06-06-13 12:40:01 AM,%RH,90.13
06-06-13 01:40:01 AM,%RH,92.371
06-06-13 02:40:01 AM,%RH,91.876
06-06-13 03:40:01 AM,%RH,93.356
06-06-13 04:40:01 AM,%RH,94.58
06-06-13 05:40:01 AM,%RH,92.371
06-06-13 06:40:01 AM,%RH,89.754
06-06-13 07:40:01 AM,%RH,85.556
06-06-13 08:40:01 AM,%RH,77.517
06-06-13 09:40:01 AM,%RH,70.938
06-06-13 10:40:01 AM,%RH,62.545
06-06-13 11:40:01 AM,%RH,52.453
06-06-13 12:40:01 PM,%RH,50.473
06-06-13 01:40:01 PM,%RH,72.465
06-06-13 02:40:01 PM,%RH,70.659
06-06-13 03:40:01 PM,%RH,80.855
06-06-13 04:40:01 PM,%RH,84.003
06-06-13 05:40:01 PM,%RH,84.522
06-06-13 06:40:01 PM,%RH,96.156
06-06-13 07:40:01 PM,%RH,97.596
06-06-13 08:40:01 PM,%RH,96.397
06-06-13 09:40:01 PM,%RH,97.954
06-06-13 10:40:01 PM,%RH,97.715
06-06-13 11:40:01 PM,%RH,98.192
06-07-13 12:40:01 AM,%RH,98.31
06-07-13 01:40:01 AM,%RH,97.596
06-07-13 02:40:01 AM,%RH,98.429
06-07-13 03:40:01 AM,%RH,98.31
06-07-13 04:40:01 AM,%RH,98.903
06-07-13 05:40:01 AM,%RH,98.548
06-07-13 06:40:01 AM,%RH,99.022
06-07-13 07:40:01 AM,%RH,99.022
06-07-13 08:40:01 AM,%RH,98.073
06-07-13 09:40:01 AM,%RH,99.14
06-07-13 10:40:01 AM,%RH,98.31
06-07-13 11:40:01 AM,%RH,98.903
06-07-13 12:40:01 PM,%RH,99.14
06-07-13 01:40:01 PM,%RH,98.785
06-07-13 02:40:01 PM,%RH,99.494
06-07-13 03:40:01 PM,%RH,98.429
06-07-13 04:40:01 PM,%RH,99.376
06-07-13 05:40:01 PM,%RH,98.785
06-07-13 06:40:01 PM,%RH,97.954
06-07-13 07:40:01 PM,%RH,98.903
06-07-13 08:40:01 PM,%RH,98.667
06-07-13 09:40:01 PM,%RH,99.258
06-07-13 10:40:01 PM,%RH,99.022
06-07-13 11:40:01 PM,%RH,99.022
06-08-13 12:40:01 AM,%RH,99.376
06-08-13 01:40:01 AM,%RH,99.612
