1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 990000002BB6EC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 16:10:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 03:10:01 CST 2013
Total Mission Samples:  2419
Total Device Samples:  9539
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 03:10:01 AM,%RH,97.735
06-23-13 04:10:01 AM,%RH,98.325
06-23-13 05:10:01 AM,%RH,97.971
06-23-13 06:10:01 AM,%RH,98.207
06-23-13 07:10:01 AM,%RH,92.685
06-23-13 08:10:01 AM,%RH,78.216
06-23-13 09:10:01 AM,%RH,60.564
06-23-13 10:10:01 AM,%RH,55.527
06-23-13 11:10:01 AM,%RH,52.053
06-23-13 12:10:01 PM,%RH,46.976
06-23-13 01:10:01 PM,%RH,44.789
06-23-13 02:10:01 PM,%RH,43.688
06-23-13 03:10:01 PM,%RH,41.63
06-23-13 04:10:01 PM,%RH,43.688
06-23-13 05:10:01 PM,%RH,68.889
06-23-13 06:10:01 PM,%RH,80.739
06-23-13 07:10:01 PM,%RH,82.052
06-23-13 08:10:01 PM,%RH,68.043
06-23-13 09:10:01 PM,%RH,84.132
06-23-13 10:10:01 PM,%RH,90.467
06-23-13 11:10:01 PM,%RH,85.804
06-24-13 12:10:01 AM,%RH,96.43
06-24-13 01:10:01 AM,%RH,97.143
06-24-13 02:10:01 AM,%RH,94.025
06-24-13 03:10:01 AM,%RH,93.661
06-24-13 04:10:01 AM,%RH,95.593
06-24-13 05:10:01 AM,%RH,96.43
06-24-13 06:10:01 AM,%RH,97.499
06-24-13 07:10:01 AM,%RH,82.966
06-24-13 08:10:01 AM,%RH,72.786
06-24-13 09:10:01 AM,%RH,62.895
06-24-13 10:10:01 AM,%RH,62.895
06-24-13 11:10:01 AM,%RH,64.482
06-24-13 12:10:01 PM,%RH,57.764
06-24-13 01:10:01 PM,%RH,60.271
06-24-13 02:10:01 PM,%RH,60.418
06-24-13 03:10:01 PM,%RH,59.684
06-24-13 04:10:01 PM,%RH,63.039
06-24-13 05:10:01 PM,%RH,78.35
06-24-13 06:10:01 PM,%RH,81.134
06-24-13 07:10:01 PM,%RH,92.808
06-24-13 08:10:01 PM,%RH,96.668
06-24-13 09:10:01 PM,%RH,97.735
06-24-13 10:10:01 PM,%RH,97.617
06-24-13 11:10:01 PM,%RH,98.442
06-25-13 12:10:01 AM,%RH,98.794
06-25-13 01:10:01 AM,%RH,98.089
06-25-13 02:10:01 AM,%RH,98.911
06-25-13 03:10:01 AM,%RH,99.028
06-25-13 04:10:01 AM,%RH,99.612
06-25-13 05:10:01 AM,%RH,100.193
06-25-13 06:10:01 AM,%RH,99.496
06-25-13 07:10:01 AM,%RH,99.845
06-25-13 08:10:01 AM,%RH,96.311
06-25-13 09:10:01 AM,%RH,93.539
06-25-13 10:10:01 AM,%RH,86.314
06-25-13 11:10:01 AM,%RH,78.75
06-25-13 12:10:01 PM,%RH,66.768
06-25-13 01:10:01 PM,%RH,62.46
06-25-13 02:10:01 PM,%RH,61.733
06-25-13 03:10:01 PM,%RH,60.564
06-25-13 04:10:01 PM,%RH,55.527
06-25-13 05:10:01 PM,%RH,77.68
06-25-13 06:10:01 PM,%RH,82.966
06-25-13 07:10:01 PM,%RH,85.804
06-25-13 08:10:01 PM,%RH,81.921
06-25-13 09:10:01 PM,%RH,91.333
06-25-13 10:10:01 PM,%RH,97.971
06-25-13 11:10:01 PM,%RH,97.262
06-26-13 12:10:01 AM,%RH,95.952
06-26-13 01:10:01 AM,%RH,93.904
06-26-13 02:10:01 AM,%RH,98.794
06-26-13 03:10:01 AM,%RH,96.906
06-26-13 04:10:01 AM,%RH,97.025
06-26-13 05:10:01 AM,%RH,97.143
06-26-13 06:10:01 AM,%RH,97.499
06-26-13 07:10:01 AM,%RH,95.713
06-26-13 08:10:01 AM,%RH,89.095
06-26-13 09:10:01 AM,%RH,81.002
06-26-13 10:10:01 AM,%RH,68.043
06-26-13 11:10:01 AM,%RH,66.768
06-26-13 12:10:01 PM,%RH,67.761
06-26-13 01:10:01 PM,%RH,60.125
06-26-13 02:10:01 PM,%RH,50.832
06-26-13 03:10:01 PM,%RH,58.504
06-26-13 04:10:01 PM,%RH,67.761
06-26-13 05:10:01 PM,%RH,76.063
06-26-13 06:10:01 PM,%RH,82.052
06-26-13 07:10:01 PM,%RH,87.963
06-26-13 08:10:01 PM,%RH,88.089
06-26-13 09:10:01 PM,%RH,84.003
06-26-13 10:10:01 PM,%RH,92.072
06-26-13 11:10:01 PM,%RH,95.593
06-27-13 12:10:01 AM,%RH,96.311
06-27-13 01:10:01 AM,%RH,95.713
06-27-13 02:10:01 AM,%RH,96.43
06-27-13 03:10:01 AM,%RH,97.025
06-27-13 04:10:01 AM,%RH,97.025
06-27-13 05:10:01 AM,%RH,97.025
06-27-13 06:10:01 AM,%RH,96.906
06-27-13 07:10:01 AM,%RH,84.777
06-27-13 08:10:01 AM,%RH,72.51
06-27-13 09:10:01 AM,%RH,62.895
06-27-13 10:10:01 AM,%RH,56.872
06-27-13 11:10:01 AM,%RH,54.174
06-27-13 12:10:01 PM,%RH,54.174
06-27-13 01:10:01 PM,%RH,48.835
06-27-13 02:10:01 PM,%RH,40.196
06-27-13 03:10:01 PM,%RH,52.205
06-27-13 04:10:01 PM,%RH,75.657
06-27-13 05:10:01 PM,%RH,81.79
06-27-13 06:10:01 PM,%RH,84.003
06-27-13 07:10:01 PM,%RH,85.931
06-27-13 08:10:01 PM,%RH,85.163
06-27-13 09:10:01 PM,%RH,87.078
06-27-13 10:10:01 PM,%RH,90.218
06-27-13 11:10:01 PM,%RH,90.715
06-28-13 12:10:01 AM,%RH,93.418
06-28-13 01:10:01 AM,%RH,94.025
06-28-13 02:10:01 AM,%RH,96.072
06-28-13 03:10:01 AM,%RH,96.072
06-28-13 04:10:01 AM,%RH,96.311
06-28-13 05:10:01 AM,%RH,97.853
06-28-13 06:10:01 AM,%RH,97.735
06-28-13 07:10:01 AM,%RH,98.325
06-28-13 08:10:01 AM,%RH,97.971
06-28-13 09:10:01 AM,%RH,96.549
06-28-13 10:10:01 AM,%RH,77.948
06-28-13 11:10:01 AM,%RH,70.01
06-28-13 12:10:01 PM,%RH,70.429
06-28-13 01:10:01 PM,%RH,61.441
06-28-13 02:10:01 PM,%RH,63.906
06-28-13 03:10:01 PM,%RH,51.749
06-28-13 04:10:01 PM,%RH,58.504
06-28-13 05:10:01 PM,%RH,74.158
06-28-13 06:10:01 PM,%RH,82.835
06-28-13 07:10:01 PM,%RH,83.615
06-28-13 08:10:01 PM,%RH,86.442
06-28-13 09:10:01 PM,%RH,89.345
06-28-13 10:10:01 PM,%RH,81.79
06-28-13 11:10:01 PM,%RH,96.191
06-29-13 12:10:01 AM,%RH,97.262
06-29-13 01:10:01 AM,%RH,97.499
06-29-13 02:10:01 AM,%RH,97.025
06-29-13 03:10:01 AM,%RH,97.38
06-29-13 04:10:01 AM,%RH,95.952
06-29-13 05:10:01 AM,%RH,96.668
06-29-13 06:10:01 AM,%RH,96.311
06-29-13 07:10:01 AM,%RH,96.191
06-29-13 08:10:01 AM,%RH,95.593
06-29-13 09:10:01 AM,%RH,86.824
06-29-13 10:10:01 AM,%RH,83.096
06-29-13 11:10:01 AM,%RH,68.043
06-29-13 12:10:01 PM,%RH,68.184
06-29-13 01:10:01 PM,%RH,59.978
06-29-13 02:10:01 PM,%RH,54.927
06-29-13 03:10:01 PM,%RH,90.467
06-29-13 04:10:01 PM,%RH,90.715
06-29-13 05:10:01 PM,%RH,91.95
06-29-13 06:10:01 PM,%RH,96.549
06-29-13 07:10:01 PM,%RH,97.262
06-29-13 08:10:01 PM,%RH,98.207
06-29-13 09:10:01 PM,%RH,98.089
06-29-13 10:10:01 PM,%RH,98.677
06-29-13 11:10:01 PM,%RH,97.853
06-30-13 12:10:01 AM,%RH,98.207
06-30-13 01:10:01 AM,%RH,97.38
06-30-13 02:10:01 AM,%RH,97.617
06-30-13 03:10:01 AM,%RH,98.442
06-30-13 04:10:01 AM,%RH,97.735
06-30-13 05:10:01 AM,%RH,98.325
06-30-13 06:10:01 AM,%RH,98.442
06-30-13 07:10:01 AM,%RH,96.906
06-30-13 08:10:01 AM,%RH,94.871
06-30-13 09:10:01 AM,%RH,82.183
06-30-13 10:10:01 AM,%RH,83.226
06-30-13 11:10:01 AM,%RH,68.043
06-30-13 12:10:01 PM,%RH,63.473
06-30-13 01:10:01 PM,%RH,72.234
06-30-13 02:10:01 PM,%RH,70.708
06-30-13 03:10:01 PM,%RH,68.325
06-30-13 04:10:01 PM,%RH,79.416
06-30-13 05:10:01 PM,%RH,88.467
06-30-13 06:10:01 PM,%RH,89.72
06-30-13 07:10:01 PM,%RH,96.311
06-30-13 08:10:01 PM,%RH,97.499
06-30-13 09:10:01 PM,%RH,97.971
06-30-13 10:10:01 PM,%RH,98.677
06-30-13 11:10:01 PM,%RH,98.794
07-01-13 12:10:01 AM,%RH,99.262
07-01-13 01:10:01 AM,%RH,100.541
07-01-13 02:10:01 AM,%RH,99.496
07-01-13 03:10:01 AM,%RH,99.379
07-01-13 04:10:01 AM,%RH,99.379
07-01-13 05:10:01 AM,%RH,99.028
07-01-13 06:10:01 AM,%RH,99.262
07-01-13 07:10:01 AM,%RH,99.145
07-01-13 08:10:01 AM,%RH,91.457
07-01-13 09:10:01 AM,%RH,81.397
07-01-13 10:10:01 AM,%RH,78.216
07-01-13 11:10:01 AM,%RH,80.607
07-01-13 12:10:01 PM,%RH,76.739
07-01-13 01:10:01 PM,%RH,76.199
07-01-13 02:10:01 PM,%RH,70.01
07-01-13 03:10:01 PM,%RH,75.113
07-01-13 04:10:01 PM,%RH,74.432
07-01-13 05:10:01 PM,%RH,78.35
07-01-13 06:10:01 PM,%RH,94.509
07-01-13 07:10:01 PM,%RH,97.38
07-01-13 08:10:01 PM,%RH,98.794
07-01-13 09:10:01 PM,%RH,98.089
07-01-13 10:10:01 PM,%RH,98.677
07-01-13 11:10:01 PM,%RH,98.677
07-02-13 12:10:01 AM,%RH,99.028
07-02-13 01:10:01 AM,%RH,98.56
07-02-13 02:10:01 AM,%RH,98.911
07-02-13 03:10:01 AM,%RH,99.262
07-02-13 04:10:01 AM,%RH,99.612
07-02-13 05:10:01 AM,%RH,99.729
07-02-13 06:10:01 AM,%RH,99.496
07-02-13 07:10:01 AM,%RH,98.677
07-02-13 08:10:01 AM,%RH,97.735
07-02-13 09:10:01 AM,%RH,91.703
07-02-13 10:10:01 AM,%RH,77.008
07-02-13 11:10:01 AM,%RH,81.266
07-02-13 12:10:01 PM,%RH,65.199
07-02-13 01:10:01 PM,%RH,75.113
07-02-13 02:10:01 PM,%RH,76.604
07-02-13 03:10:01 PM,%RH,81.134
07-02-13 04:10:01 PM,%RH,84.391
07-02-13 05:10:01 PM,%RH,85.676
07-02-13 06:10:01 PM,%RH,88.341
07-02-13 07:10:01 PM,%RH,94.025
07-02-13 08:10:01 PM,%RH,98.207
07-02-13 09:10:01 PM,%RH,98.207
07-02-13 10:10:01 PM,%RH,97.499
07-02-13 11:10:01 PM,%RH,97.735
07-03-13 12:10:01 AM,%RH,98.442
07-03-13 01:10:01 AM,%RH,99.145
07-03-13 02:10:01 AM,%RH,98.677
