1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B0000002BB7A141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:46:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 02 02:46:01 CST 2013
Total Mission Samples:  2066
Total Device Samples:  9300
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-02-13 02:46:01 AM,%RH,83.969
06-02-13 03:46:01 AM,%RH,90.855
06-02-13 04:46:01 AM,%RH,93.454
06-02-13 05:46:01 AM,%RH,92.716
06-02-13 06:46:01 AM,%RH,82.399
06-02-13 07:46:01 AM,%RH,68.759
06-02-13 08:46:01 AM,%RH,55.328
06-02-13 09:46:01 AM,%RH,49.843
06-02-13 10:46:01 AM,%RH,49.843
06-02-13 11:46:01 AM,%RH,46.114
06-02-13 12:46:01 PM,%RH,43.596
06-02-13 01:46:01 PM,%RH,43.438
06-02-13 02:46:01 PM,%RH,45.801
06-02-13 03:46:01 PM,%RH,51.686
06-02-13 04:46:01 PM,%RH,62.003
06-02-13 05:46:01 PM,%RH,75.021
06-02-13 06:46:01 PM,%RH,81.609
06-02-13 07:46:01 PM,%RH,83.708
06-02-13 08:46:01 PM,%RH,83.447
06-02-13 09:46:01 PM,%RH,89.476
06-02-13 10:46:01 PM,%RH,90.98
06-02-13 11:46:01 PM,%RH,88.845
06-03-13 12:46:01 AM,%RH,93.577
06-03-13 01:46:01 AM,%RH,94.798
06-03-13 02:46:01 AM,%RH,96.731
06-03-13 03:46:01 AM,%RH,96.851
06-03-13 04:46:01 AM,%RH,96.971
06-03-13 05:46:01 AM,%RH,97.927
06-03-13 06:46:01 AM,%RH,93.822
06-03-13 07:46:01 AM,%RH,69.747
06-03-13 08:46:01 AM,%RH,61.857
06-03-13 09:46:01 AM,%RH,63.459
06-03-13 10:46:01 AM,%RH,53.969
06-03-13 11:46:01 AM,%RH,49.225
06-03-13 12:46:01 PM,%RH,52.449
06-03-13 01:46:01 PM,%RH,70.589
06-03-13 02:46:01 PM,%RH,97.45
06-03-13 03:46:01 PM,%RH,97.569
06-03-13 04:46:01 PM,%RH,97.569
06-03-13 05:46:01 PM,%RH,98.283
06-03-13 06:46:01 PM,%RH,98.283
06-03-13 07:46:01 PM,%RH,98.639
06-03-13 08:46:01 PM,%RH,99.23
06-03-13 09:46:01 PM,%RH,98.52
06-03-13 10:46:01 PM,%RH,98.876
06-03-13 11:46:01 PM,%RH,99.23
06-04-13 12:46:01 AM,%RH,99.112
06-04-13 01:46:01 AM,%RH,99.465
06-04-13 02:46:01 AM,%RH,99.701
06-04-13 03:46:01 AM,%RH,99.936
06-04-13 04:46:01 AM,%RH,99.818
06-04-13 05:46:01 AM,%RH,99.465
06-04-13 06:46:01 AM,%RH,98.994
06-04-13 07:46:01 AM,%RH,98.52
06-04-13 08:46:01 AM,%RH,92.839
06-04-13 09:46:01 AM,%RH,73.233
06-04-13 10:46:01 AM,%RH,72.402
06-04-13 11:46:01 AM,%RH,63.894
06-04-13 12:46:01 PM,%RH,67.34
06-04-13 01:46:01 PM,%RH,60.538
06-04-13 02:46:01 PM,%RH,85.266
06-04-13 03:46:01 PM,%RH,90.73
06-04-13 04:46:01 PM,%RH,96.13
06-04-13 05:46:01 PM,%RH,96.971
06-04-13 06:46:01 PM,%RH,97.091
06-04-13 07:46:01 PM,%RH,97.807
06-04-13 08:46:01 PM,%RH,98.52
06-04-13 09:46:01 PM,%RH,98.52
06-04-13 10:46:01 PM,%RH,98.164
06-04-13 11:46:01 PM,%RH,97.569
06-05-13 12:46:01 AM,%RH,98.876
06-05-13 01:46:01 AM,%RH,98.402
06-05-13 02:46:01 AM,%RH,99.348
