1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D0000002BDBC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Mon Jun 03 14:02:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:02:01 CST 2013
Total Mission Samples:  2518
Total Device Samples:  9643
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:02:01 AM,%RH,80.838
06-23-13 05:02:01 AM,%RH,82.023
06-23-13 06:02:01 AM,%RH,83.07
06-23-13 07:02:01 AM,%RH,84.11
06-23-13 08:02:01 AM,%RH,82.416
06-23-13 09:02:01 AM,%RH,78.578
06-23-13 10:02:01 AM,%RH,70.928
06-23-13 11:02:01 AM,%RH,67.412
06-23-13 12:02:01 PM,%RH,62.385
06-23-13 01:02:01 PM,%RH,59.014
06-23-13 02:02:01 PM,%RH,57.83
06-23-13 03:02:01 PM,%RH,53.33
06-23-13 04:02:01 PM,%RH,57.978
06-23-13 05:02:01 PM,%RH,65.129
06-23-13 06:02:01 PM,%RH,71.207
06-23-13 07:02:01 PM,%RH,71.068
06-23-13 08:02:01 PM,%RH,70.09
06-23-13 09:02:01 PM,%RH,73.008
06-23-13 10:02:01 PM,%RH,74.929
06-23-13 11:02:01 PM,%RH,76.153
06-24-13 12:02:01 AM,%RH,78.712
06-24-13 01:02:01 AM,%RH,81.234
06-24-13 02:02:01 AM,%RH,81.498
06-24-13 03:02:01 AM,%RH,82.547
06-24-13 04:02:01 AM,%RH,83.461
06-24-13 05:02:01 AM,%RH,83.721
06-24-13 06:02:01 AM,%RH,84.627
06-24-13 07:02:01 AM,%RH,84.886
06-24-13 08:02:01 AM,%RH,83.33
06-24-13 09:02:01 AM,%RH,80.177
06-24-13 10:02:01 AM,%RH,78.176
06-24-13 11:02:01 AM,%RH,75.882
06-24-13 12:02:01 PM,%RH,72.04
06-24-13 01:02:01 PM,%RH,71.207
06-24-13 02:02:01 PM,%RH,71.902
06-24-13 03:02:01 PM,%RH,71.902
06-24-13 04:02:01 PM,%RH,73.284
06-24-13 05:02:01 PM,%RH,77.1
06-24-13 06:02:01 PM,%RH,78.578
06-24-13 07:02:01 PM,%RH,79.246
06-24-13 08:02:01 PM,%RH,82.154
