1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000002BDE3D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 30 08:16:01 CST 2013
Mission Sample Count:  2618
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 30 08:16:01 CST 2013
Total Mission Samples:  2618
Total Device Samples:  9764
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05-30-13 08:16:01 AM,%RH,76.567
05-30-13 09:16:01 AM,%RH,77.642
05-30-13 10:16:01 AM,%RH,68.859
05-30-13 11:16:01 AM,%RH,72.754
05-30-13 12:16:01 PM,%RH,64.308
05-30-13 01:16:01 PM,%RH,52.467
05-30-13 02:16:01 PM,%RH,64.308
05-30-13 03:16:01 PM,%RH,67.165
05-30-13 04:16:01 PM,%RH,66.597
05-30-13 05:16:01 PM,%RH,66.597
05-30-13 06:16:01 PM,%RH,66.597
05-30-13 07:16:01 PM,%RH,66.027
05-30-13 08:16:01 PM,%RH,64.883
05-30-13 09:16:01 PM,%RH,64.883
05-30-13 10:16:01 PM,%RH,65.456
05-30-13 11:16:01 PM,%RH,65.456
05-31-13 12:16:01 AM,%RH,65.456
05-31-13 01:16:01 AM,%RH,64.883
05-31-13 02:16:01 AM,%RH,64.308
05-31-13 03:16:01 AM,%RH,64.883
05-31-13 04:16:01 AM,%RH,66.027
05-31-13 05:16:01 AM,%RH,65.456
05-31-13 06:16:01 AM,%RH,65.456
05-31-13 07:16:01 AM,%RH,64.883
05-31-13 08:16:01 AM,%RH,65.456
05-31-13 09:16:01 AM,%RH,65.456
05-31-13 10:16:01 AM,%RH,65.456
05-31-13 11:16:01 AM,%RH,64.883
05-31-13 12:16:01 PM,%RH,66.027
05-31-13 01:16:01 PM,%RH,66.027
05-31-13 02:16:01 PM,%RH,65.456
05-31-13 03:16:01 PM,%RH,67.165
05-31-13 04:16:01 PM,%RH,64.308
05-31-13 05:16:01 PM,%RH,66.027
05-31-13 06:16:01 PM,%RH,66.027
05-31-13 07:16:01 PM,%RH,66.027
05-31-13 08:16:01 PM,%RH,66.597
05-31-13 09:16:01 PM,%RH,66.597
05-31-13 10:16:01 PM,%RH,66.597
05-31-13 11:16:01 PM,%RH,67.165
06-01-13 12:16:01 AM,%RH,66.597
06-01-13 01:16:01 AM,%RH,66.597
06-01-13 02:16:01 AM,%RH,66.597
06-01-13 03:16:01 AM,%RH,66.027
06-01-13 04:16:01 AM,%RH,66.027
06-01-13 05:16:01 AM,%RH,66.597
06-01-13 06:16:01 AM,%RH,65.456
06-01-13 07:16:01 AM,%RH,66.027
06-01-13 08:16:01 AM,%RH,66.027
06-01-13 09:16:01 AM,%RH,66.597
06-01-13 10:16:01 AM,%RH,66.597
06-01-13 11:16:01 AM,%RH,66.597
06-01-13 12:16:01 PM,%RH,66.597
06-01-13 01:16:01 PM,%RH,66.597
06-01-13 02:16:01 PM,%RH,66.597
06-01-13 03:16:01 PM,%RH,66.597
06-01-13 04:16:01 PM,%RH,67.165
06-01-13 05:16:01 PM,%RH,67.165
06-01-13 06:16:01 PM,%RH,67.165
06-01-13 07:16:01 PM,%RH,67.165
06-01-13 08:16:01 PM,%RH,67.165
06-01-13 09:16:01 PM,%RH,67.731
06-01-13 10:16:01 PM,%RH,67.731
06-01-13 11:16:01 PM,%RH,67.165
06-02-13 12:16:01 AM,%RH,67.165
06-02-13 01:16:01 AM,%RH,66.597
06-02-13 02:16:01 AM,%RH,67.731
06-02-13 03:16:01 AM,%RH,67.165
06-02-13 04:16:01 AM,%RH,67.165
06-02-13 05:16:01 AM,%RH,67.165
06-02-13 06:16:01 AM,%RH,66.597
06-02-13 07:16:01 AM,%RH,66.597
06-02-13 08:16:01 AM,%RH,71.095
06-02-13 09:16:01 AM,%RH,59.651
06-02-13 10:16:01 AM,%RH,52.467
06-02-13 11:16:01 AM,%RH,57.283
06-02-13 12:16:01 PM,%RH,52.467
06-02-13 01:16:01 PM,%RH,51.246
06-02-13 02:16:01 PM,%RH,64.883
06-02-13 03:16:01 PM,%RH,81.874
06-02-13 04:16:01 PM,%RH,67.165
06-02-13 05:16:01 PM,%RH,80.826
06-02-13 06:16:01 PM,%RH,78.177
06-02-13 07:16:01 PM,%RH,79.771
06-02-13 08:16:01 PM,%RH,83.434
06-02-13 09:16:01 PM,%RH,87.015
06-02-13 10:16:01 PM,%RH,82.395
06-02-13 11:16:01 PM,%RH,91.499
06-03-13 12:16:01 AM,%RH,94.895
06-03-13 01:16:01 AM,%RH,96.325
06-03-13 02:16:01 AM,%RH,96.325
06-03-13 03:16:01 AM,%RH,96.798
06-03-13 04:16:01 AM,%RH,96.325
06-03-13 05:16:01 AM,%RH,95.85
06-03-13 06:16:01 AM,%RH,91.989
06-03-13 07:16:01 AM,%RH,91.989
