1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 330000002BB34341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Jun 04 12:00:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:00:01 CST 2013
Total Mission Samples:  2496
Total Device Samples:  9648
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:00:01 AM,%RH,100.031
06-23-13 05:00:01 AM,%RH,101.096
06-23-13 06:00:01 AM,%RH,101.566
06-23-13 07:00:01 AM,%RH,97.636
06-23-13 08:00:01 AM,%RH,78.955
06-23-13 09:00:01 AM,%RH,86.24
06-23-13 10:00:01 AM,%RH,73.191
06-23-13 11:00:01 AM,%RH,67.539
06-23-13 12:00:01 PM,%RH,65.812
06-23-13 01:00:01 PM,%RH,60.103
06-23-13 02:00:01 PM,%RH,62.903
06-23-13 03:00:01 PM,%RH,57.417
06-23-13 04:00:01 PM,%RH,65.379
06-23-13 05:00:01 PM,%RH,70.243
06-23-13 06:00:01 PM,%RH,80.704
06-23-13 07:00:01 PM,%RH,77.053
06-23-13 08:00:01 PM,%RH,79.764
06-23-13 09:00:01 PM,%RH,92.228
06-23-13 10:00:01 PM,%RH,94.956
06-23-13 11:00:01 PM,%RH,96.667
06-24-13 12:00:01 AM,%RH,95.814
06-24-13 01:00:01 AM,%RH,97.394
06-24-13 02:00:01 AM,%RH,99.674
06-24-13 03:00:01 AM,%RH,100.978
06-24-13 04:00:01 AM,%RH,101.918
06-24-13 05:00:01 AM,%RH,100.387
06-24-13 06:00:01 AM,%RH,97.636
06-24-13 07:00:01 AM,%RH,95.202
06-24-13 08:00:01 AM,%RH,82.966
06-24-13 09:00:01 AM,%RH,71.933
06-24-13 10:00:01 AM,%RH,68.824
06-24-13 11:00:01 AM,%RH,68.967
06-24-13 12:00:01 PM,%RH,67.252
06-24-13 01:00:01 PM,%RH,74.717
06-24-13 02:00:01 PM,%RH,69.96
06-24-13 03:00:01 PM,%RH,77.599
06-24-13 04:00:01 PM,%RH,85.59
06-24-13 05:00:01 PM,%RH,88.303
06-24-13 06:00:01 PM,%RH,94.587
