1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3D0000002BDBEF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Jun 05 12:01:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:01:01 CST 2013
Total Mission Samples:  2472
Total Device Samples:  9602
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:01:01 AM,C,15.931
06-23-13 05:01:01 AM,C,15.994
06-23-13 06:01:01 AM,C,16.057
06-23-13 07:01:01 AM,C,16.871
06-23-13 08:01:01 AM,C,18.75
06-23-13 09:01:01 AM,C,19.626
06-23-13 10:01:01 AM,C,23.005
06-23-13 11:01:01 AM,C,22.817
06-23-13 12:01:01 PM,C,23.943
06-23-13 01:01:01 PM,C,23.818
06-23-13 02:01:01 PM,C,24.318
06-23-13 03:01:01 PM,C,22.942
06-23-13 04:01:01 PM,C,23.693
06-23-13 05:01:01 PM,C,21.942
06-23-13 06:01:01 PM,C,18.186
06-23-13 07:01:01 PM,C,17.435
06-23-13 08:01:01 PM,C,17.247
06-23-13 09:01:01 PM,C,17.059
06-23-13 10:01:01 PM,C,16.996
06-23-13 11:01:01 PM,C,16.182
06-24-13 12:01:01 AM,C,16.307
06-24-13 01:01:01 AM,C,16.119
06-24-13 02:01:01 AM,C,15.681
06-24-13 03:01:01 AM,C,15.618
06-24-13 04:01:01 AM,C,15.242
06-24-13 05:01:01 AM,C,14.991
06-24-13 06:01:01 AM,C,15.806
06-24-13 07:01:01 AM,C,17.059
06-24-13 08:01:01 AM,C,21.128
06-24-13 09:01:01 AM,C,23.568
06-24-13 10:01:01 AM,C,22.88
06-24-13 11:01:01 AM,C,24.943
06-24-13 12:01:01 PM,C,25.068
06-24-13 01:01:01 PM,C,23.005
06-24-13 02:01:01 PM,C,23.943
06-24-13 03:01:01 PM,C,23.13
06-24-13 04:01:01 PM,C,21.253
06-24-13 05:01:01 PM,C,21.441
06-24-13 06:01:01 PM,C,16.683
06-24-13 07:01:01 PM,C,15.618
06-24-13 08:01:01 PM,C,16.057
06-24-13 09:01:01 PM,C,15.931
06-24-13 10:01:01 PM,C,15.869
06-24-13 11:01:01 PM,C,15.555
06-25-13 12:01:01 AM,C,15.743
06-25-13 01:01:01 AM,C,14.741
06-25-13 02:01:01 AM,C,14.302
06-25-13 03:01:01 AM,C,14.427
06-25-13 04:01:01 AM,C,15.179
06-25-13 05:01:01 AM,C,15.054
06-25-13 06:01:01 AM,C,15.242
06-25-13 07:01:01 AM,C,17.059
06-25-13 08:01:01 AM,C,20.252
06-25-13 09:01:01 AM,C,23.755
06-25-13 10:01:01 AM,C,22.567
06-25-13 11:01:01 AM,C,23.318
06-25-13 12:01:01 PM,C,26.756
06-25-13 01:01:01 PM,C,24.506
06-25-13 02:01:01 PM,C,25.756
06-25-13 03:01:01 PM,C,24.881
06-25-13 04:01:01 PM,C,23.193
06-25-13 05:01:01 PM,C,20.628
06-25-13 06:01:01 PM,C,19.438
06-25-13 07:01:01 PM,C,17.998
06-25-13 08:01:01 PM,C,16.683
06-25-13 09:01:01 PM,C,16.307
06-25-13 10:01:01 PM,C,15.994
06-25-13 11:01:01 PM,C,15.242
06-26-13 12:01:01 AM,C,15.179
06-26-13 01:01:01 AM,C,15.555
06-26-13 02:01:01 AM,C,15.117
06-26-13 03:01:01 AM,C,14.427
06-26-13 04:01:01 AM,C,14.302
06-26-13 05:01:01 AM,C,14.051
06-26-13 06:01:01 AM,C,15.681
06-26-13 07:01:01 AM,C,21.191
06-26-13 08:01:01 AM,C,25.068
06-26-13 09:01:01 AM,C,20.878
06-26-13 10:01:01 AM,C,25.443
06-26-13 11:01:01 AM,C,26.381
06-26-13 12:01:01 PM,C,26.131
06-26-13 01:01:01 PM,C,27.131
06-26-13 02:01:01 PM,C,23.943
06-26-13 03:01:01 PM,C,24.818
06-26-13 04:01:01 PM,C,22.442
06-26-13 05:01:01 PM,C,21.816
