1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CF0000002BB53841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 15:59:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 02:59:01 CST 2013
Total Mission Samples:  2419
Total Device Samples:  9533
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 02:59:01 AM,C,19.624
06-23-13 03:59:01 AM,C,20.062
06-23-13 04:59:01 AM,C,19.999
06-23-13 05:59:01 AM,C,20.312
06-23-13 06:59:01 AM,C,21.876
06-23-13 07:59:01 AM,C,24.564
06-23-13 08:59:01 AM,C,27.626
06-23-13 09:59:01 AM,C,30.187
06-23-13 10:59:01 AM,C,30.749
06-23-13 11:59:01 AM,C,31.748
06-23-13 12:59:01 PM,C,31.998
06-23-13 01:59:01 PM,C,33.371
06-23-13 02:59:01 PM,C,32.559
06-23-13 03:59:01 PM,C,30.936
06-23-13 04:59:01 PM,C,27.626
06-23-13 05:59:01 PM,C,25.064
06-23-13 06:59:01 PM,C,24.002
06-23-13 07:59:01 PM,C,24.314
06-23-13 08:59:01 PM,C,22.126
06-23-13 09:59:01 PM,C,21.375
06-23-13 10:59:01 PM,C,21.188
06-23-13 11:59:01 PM,C,19.812
06-24-13 12:59:01 AM,C,19.749
06-24-13 01:59:01 AM,C,19.436
06-24-13 02:59:01 AM,C,19.374
06-24-13 03:59:01 AM,C,18.998
06-24-13 04:59:01 AM,C,19.248
06-24-13 05:59:01 AM,C,18.936
06-24-13 06:59:01 AM,C,21.501
06-24-13 07:59:01 AM,C,24.127
06-24-13 08:59:01 AM,C,27.127
06-24-13 09:59:01 AM,C,29.5
06-24-13 10:59:01 AM,C,27.439
06-24-13 11:59:01 AM,C,29.875
06-24-13 12:59:01 PM,C,29.75
06-24-13 01:59:01 PM,C,31.436
06-24-13 02:59:01 PM,C,31.186
06-24-13 03:59:01 PM,C,29.188
06-24-13 04:59:01 PM,C,26.189
06-24-13 05:59:01 PM,C,23.939
06-24-13 06:59:01 PM,C,19.186
06-24-13 07:59:01 PM,C,19.248
06-24-13 08:59:01 PM,C,19.061
06-24-13 09:59:01 PM,C,19.186
06-24-13 10:59:01 PM,C,19.374
06-24-13 11:59:01 PM,C,19.311
06-25-13 12:59:01 AM,C,18.873
06-25-13 01:59:01 AM,C,19.248
06-25-13 02:59:01 AM,C,18.56
06-25-13 03:59:01 AM,C,18.81
06-25-13 04:59:01 AM,C,18.936
06-25-13 05:59:01 AM,C,18.936
06-25-13 06:59:01 AM,C,19.311
06-25-13 07:59:01 AM,C,21.375
06-25-13 08:59:01 AM,C,21.813
06-25-13 09:59:01 AM,C,23.752
06-25-13 10:59:01 AM,C,26.752
06-25-13 11:59:01 AM,C,28.688
06-25-13 12:59:01 PM,C,29.75
06-25-13 01:59:01 PM,C,30.062
06-25-13 02:59:01 PM,C,30.811
06-25-13 03:59:01 PM,C,31.873
06-25-13 04:59:01 PM,C,26.877
06-25-13 05:59:01 PM,C,24.877
06-25-13 06:59:01 PM,C,23.564
06-25-13 07:59:01 PM,C,23.314
06-25-13 08:59:01 PM,C,19.999
06-25-13 09:59:01 PM,C,19.436
06-25-13 10:59:01 PM,C,19.311
06-25-13 11:59:01 PM,C,18.998
06-26-13 12:59:01 AM,C,19.999
06-26-13 01:59:01 AM,C,19.248
06-26-13 02:59:01 AM,C,19.123
06-26-13 03:59:01 AM,C,18.936
06-26-13 04:59:01 AM,C,18.497
06-26-13 05:59:01 AM,C,18.56
06-26-13 06:59:01 AM,C,20.187
06-26-13 07:59:01 AM,C,22.751
06-26-13 08:59:01 AM,C,25.127
06-26-13 09:59:01 AM,C,27.064
06-26-13 10:59:01 AM,C,29.5
06-26-13 11:59:01 AM,C,27.939
06-26-13 12:59:01 PM,C,29.688
06-26-13 01:59:01 PM,C,30.936
06-26-13 02:59:01 PM,C,30.437
06-26-13 03:59:01 PM,C,27.501
06-26-13 04:59:01 PM,C,26.439
06-26-13 05:59:01 PM,C,24.127
06-26-13 06:59:01 PM,C,23.001
06-26-13 07:59:01 PM,C,22.376
06-26-13 08:59:01 PM,C,22.751
06-26-13 09:59:01 PM,C,21.938
06-26-13 10:59:01 PM,C,21.25
06-26-13 11:59:01 PM,C,21.25
06-27-13 12:59:01 AM,C,20.875
06-27-13 01:59:01 AM,C,20.437
06-27-13 02:59:01 AM,C,20.187
06-27-13 03:59:01 AM,C,19.999
06-27-13 04:59:01 AM,C,19.186
06-27-13 05:59:01 AM,C,19.186
06-27-13 06:59:01 AM,C,21.188
06-27-13 07:59:01 AM,C,26.502
06-27-13 08:59:01 AM,C,28.064
06-27-13 09:59:01 AM,C,29.563
06-27-13 10:59:01 AM,C,31.623
06-27-13 11:59:01 AM,C,31.561
06-27-13 12:59:01 PM,C,32.372
06-27-13 01:59:01 PM,C,32.559
06-27-13 02:59:01 PM,C,29.563
06-27-13 03:59:01 PM,C,26.439
06-27-13 04:59:01 PM,C,25.314
06-27-13 05:59:01 PM,C,24.564
06-27-13 06:59:01 PM,C,24.127
06-27-13 07:59:01 PM,C,23.689
06-27-13 08:59:01 PM,C,23.377
06-27-13 09:59:01 PM,C,22.814
06-27-13 10:59:01 PM,C,22.376
06-27-13 11:59:01 PM,C,22.126
06-28-13 12:59:01 AM,C,21.501
06-28-13 01:59:01 AM,C,21.063
06-28-13 02:59:01 AM,C,21.313
06-28-13 03:59:01 AM,C,21.188
06-28-13 04:59:01 AM,C,20.687
06-28-13 05:59:01 AM,C,20.187
06-28-13 06:59:01 AM,C,21.063
06-28-13 07:59:01 AM,C,21.688
06-28-13 08:59:01 AM,C,22.251
06-28-13 09:59:01 AM,C,26.564
06-28-13 10:59:01 AM,C,29.438
06-28-13 11:59:01 AM,C,29.375
06-28-13 12:59:01 PM,C,30.999
06-28-13 01:59:01 PM,C,30.562
06-28-13 02:59:01 PM,C,31.998
06-28-13 03:59:01 PM,C,30.125
06-28-13 04:59:01 PM,C,26.252
06-28-13 05:59:01 PM,C,24.564
06-28-13 06:59:01 PM,C,23.439
06-28-13 07:59:01 PM,C,23.502
06-28-13 08:59:01 PM,C,22.939
06-28-13 09:59:01 PM,C,23.064
06-28-13 10:59:01 PM,C,19.311
06-28-13 11:59:01 PM,C,19.311
06-29-13 12:59:01 AM,C,19.499
06-29-13 01:59:01 AM,C,19.436
06-29-13 02:59:01 AM,C,19.499
06-29-13 03:59:01 AM,C,19.749
06-29-13 04:59:01 AM,C,19.499
06-29-13 05:59:01 AM,C,19.374
06-29-13 06:59:01 AM,C,20.625
06-29-13 07:59:01 AM,C,21.688
06-29-13 08:59:01 AM,C,24.064
06-29-13 09:59:01 AM,C,25.877
06-29-13 10:59:01 AM,C,27.939
06-29-13 11:59:01 AM,C,28.439
06-29-13 12:59:01 PM,C,31.124
06-29-13 01:59:01 PM,C,31.935
06-29-13 02:59:01 PM,C,26.564
06-29-13 03:59:01 PM,C,23.814
06-29-13 04:59:01 PM,C,23.814
06-29-13 05:59:01 PM,C,22.063
06-29-13 06:59:01 PM,C,21.063
06-29-13 07:59:01 PM,C,20.813
06-29-13 08:59:01 PM,C,20.437
06-29-13 09:59:01 PM,C,20.813
06-29-13 10:59:01 PM,C,20.5
06-29-13 11:59:01 PM,C,20.312
06-30-13 12:59:01 AM,C,19.812
06-30-13 01:59:01 AM,C,19.686
06-30-13 02:59:01 AM,C,19.311
06-30-13 03:59:01 AM,C,19.311
06-30-13 04:59:01 AM,C,19.499
06-30-13 05:59:01 AM,C,20.437
06-30-13 06:59:01 AM,C,21.563
06-30-13 07:59:01 AM,C,22.501
06-30-13 08:59:01 AM,C,25.502
06-30-13 09:59:01 AM,C,25.314
06-30-13 10:59:01 AM,C,30
06-30-13 11:59:01 AM,C,31.061
06-30-13 12:59:01 PM,C,29.875
06-30-13 01:59:01 PM,C,29.25
06-30-13 02:59:01 PM,C,31.561
06-30-13 03:59:01 PM,C,26.314
06-30-13 04:59:01 PM,C,23.064
06-30-13 05:59:01 PM,C,22.689
06-30-13 06:59:01 PM,C,21.188
06-30-13 07:59:01 PM,C,20.813
06-30-13 08:59:01 PM,C,20.938
06-30-13 09:59:01 PM,C,20.75
06-30-13 10:59:01 PM,C,20.562
06-30-13 11:59:01 PM,C,20.437
07-01-13 12:59:01 AM,C,20.124
07-01-13 01:59:01 AM,C,19.686
07-01-13 02:59:01 AM,C,19.874
07-01-13 03:59:01 AM,C,19.436
07-01-13 04:59:01 AM,C,19.561
07-01-13 05:59:01 AM,C,18.936
07-01-13 06:59:01 AM,C,19.999
07-01-13 07:59:01 AM,C,22.751
07-01-13 08:59:01 AM,C,25.189
07-01-13 09:59:01 AM,C,25.814
07-01-13 10:59:01 AM,C,26.877
07-01-13 11:59:01 AM,C,27.689
07-01-13 12:59:01 PM,C,28.189
07-01-13 01:59:01 PM,C,29.438
07-01-13 02:59:01 PM,C,28.626
07-01-13 03:59:01 PM,C,27.189
07-01-13 04:59:01 PM,C,26.002
07-01-13 05:59:01 PM,C,21.876
07-01-13 06:59:01 PM,C,21.25
07-01-13 07:59:01 PM,C,20.938
07-01-13 08:59:01 PM,C,20.875
07-01-13 09:59:01 PM,C,20.813
07-01-13 10:59:01 PM,C,20.875
07-01-13 11:59:01 PM,C,20.687
07-02-13 12:59:01 AM,C,20.75
07-02-13 01:59:01 AM,C,20.312
07-02-13 02:59:01 AM,C,20.312
07-02-13 03:59:01 AM,C,20.375
07-02-13 04:59:01 AM,C,20.312
07-02-13 05:59:01 AM,C,20.312
07-02-13 06:59:01 AM,C,21.313
07-02-13 07:59:01 AM,C,21.626
07-02-13 08:59:01 AM,C,25.127
07-02-13 09:59:01 AM,C,27.814
07-02-13 10:59:01 AM,C,27.127
07-02-13 11:59:01 AM,C,29.313
07-02-13 12:59:01 PM,C,28.626
07-02-13 01:59:01 PM,C,29.188
07-02-13 02:59:01 PM,C,26.627
07-02-13 03:59:01 PM,C,26.127
07-02-13 04:59:01 PM,C,24.752
07-02-13 05:59:01 PM,C,23.752
07-02-13 06:59:01 PM,C,22.876
07-02-13 07:59:01 PM,C,20.124
07-02-13 08:59:01 PM,C,20.437
07-02-13 09:59:01 PM,C,20.249
07-02-13 10:59:01 PM,C,20.187
07-02-13 11:59:01 PM,C,19.749
07-03-13 12:59:01 AM,C,20.187
07-03-13 01:59:01 AM,C,20.375
07-03-13 02:59:01 AM,C,19.999
07-03-13 03:59:01 AM,C,19.999
07-03-13 04:59:01 AM,C,19.624
07-03-13 05:59:01 AM,C,20.062
07-03-13 06:59:01 AM,C,21.25
07-03-13 07:59:01 AM,C,22.126
07-03-13 08:59:01 AM,C,25.002
07-03-13 09:59:01 AM,C,27.377
07-03-13 10:59:01 AM,C,28.501
07-03-13 11:59:01 AM,C,30.312
07-03-13 12:59:01 PM,C,30.562
07-03-13 01:59:01 PM,C,30.25
07-03-13 02:59:01 PM,C,29.75
07-03-13 03:59:01 PM,C,29.375
07-03-13 04:59:01 PM,C,27.439
07-03-13 05:59:01 PM,C,25.752
07-03-13 06:59:01 PM,C,24.564
07-03-13 07:59:01 PM,C,19.436
07-03-13 08:59:01 PM,C,19.874
07-03-13 09:59:01 PM,C,19.561
07-03-13 10:59:01 PM,C,19.186
07-03-13 11:59:01 PM,C,19.436
07-04-13 12:59:01 AM,C,19.061
07-04-13 01:59:01 AM,C,19.248
07-04-13 02:59:01 AM,C,18.998
07-04-13 03:59:01 AM,C,19.123
07-04-13 04:59:01 AM,C,18.998
07-04-13 05:59:01 AM,C,19.186
07-04-13 06:59:01 AM,C,21.063
07-04-13 07:59:01 AM,C,22.063
07-04-13 08:59:01 AM,C,23.752
07-04-13 09:59:01 AM,C,24.564
07-04-13 10:59:01 AM,C,27.814
07-04-13 11:59:01 AM,C,28.251
07-04-13 12:59:01 PM,C,30.562
07-04-13 01:59:01 PM,C,30
07-04-13 02:59:01 PM,C,31.248
07-04-13 03:59:01 PM,C,25.939
07-04-13 04:59:01 PM,C,24.814
07-04-13 05:59:01 PM,C,20.187
07-04-13 06:59:01 PM,C,19.374
07-04-13 07:59:01 PM,C,19.812
07-04-13 08:59:01 PM,C,20.625
07-04-13 09:59:01 PM,C,20.437
07-04-13 10:59:01 PM,C,20.375
07-04-13 11:59:01 PM,C,20.437
07-05-13 12:59:01 AM,C,20.187
07-05-13 01:59:01 AM,C,19.436
07-05-13 02:59:01 AM,C,19.749
07-05-13 03:59:01 AM,C,19.874
07-05-13 04:59:01 AM,C,19.499
07-05-13 05:59:01 AM,C,19.874
07-05-13 06:59:01 AM,C,21.688
07-05-13 07:59:01 AM,C,23.189
07-05-13 08:59:01 AM,C,26.627
07-05-13 09:59:01 AM,C,26.627
07-05-13 10:59:01 AM,C,28.876
07-05-13 11:59:01 AM,C,31.623
07-05-13 12:59:01 PM,C,31.873
07-05-13 01:59:01 PM,C,30.687
07-05-13 02:59:01 PM,C,32.31
07-05-13 03:59:01 PM,C,30.874
07-05-13 04:59:01 PM,C,31.373
07-05-13 05:59:01 PM,C,26.439
07-05-13 06:59:01 PM,C,21.188
07-05-13 07:59:01 PM,C,20.625
07-05-13 08:59:01 PM,C,20.875
07-05-13 09:59:01 PM,C,20.875
07-05-13 10:59:01 PM,C,21.25
07-05-13 11:59:01 PM,C,20.5
07-06-13 12:59:01 AM,C,20.312
07-06-13 01:59:01 AM,C,19.624
07-06-13 02:59:01 AM,C,19.561
07-06-13 03:59:01 AM,C,18.998
07-06-13 04:59:01 AM,C,18.685
07-06-13 05:59:01 AM,C,18.685
07-06-13 06:59:01 AM,C,20.375
07-06-13 07:59:01 AM,C,25.064
07-06-13 08:59:01 AM,C,26.252
07-06-13 09:59:01 AM,C,29.063
07-06-13 10:59:01 AM,C,28.251
07-06-13 11:59:01 AM,C,25.939
07-06-13 12:59:01 PM,C,26.377
07-06-13 01:59:01 PM,C,29.438
07-06-13 02:59:01 PM,C,31.561
07-06-13 03:59:01 PM,C,30.811
07-06-13 04:59:01 PM,C,26.939
07-06-13 05:59:01 PM,C,25.689
07-06-13 06:59:01 PM,C,23.752
07-06-13 07:59:01 PM,C,23.001
07-06-13 08:59:01 PM,C,21.438
07-06-13 09:59:01 PM,C,21.501
07-06-13 10:59:01 PM,C,20.687
07-06-13 11:59:01 PM,C,20.062
07-07-13 12:59:01 AM,C,19.874
07-07-13 01:59:01 AM,C,19.248
07-07-13 02:59:01 AM,C,18.623
07-07-13 03:59:01 AM,C,19.374
07-07-13 04:59:01 AM,C,18.81
07-07-13 05:59:01 AM,C,18.623
07-07-13 06:59:01 AM,C,19.436
07-07-13 07:59:01 AM,C,25.189
07-07-13 08:59:01 AM,C,26.877
07-07-13 09:59:01 AM,C,27.814
07-07-13 10:59:01 AM,C,29.625
07-07-13 11:59:01 AM,C,31.436
07-07-13 12:59:01 PM,C,32.06
07-07-13 01:59:01 PM,C,32.497
07-07-13 02:59:01 PM,C,32.372
07-07-13 03:59:01 PM,C,30.874
07-07-13 04:59:01 PM,C,28.563
07-07-13 05:59:01 PM,C,24.377
07-07-13 06:59:01 PM,C,22.939
07-07-13 07:59:01 PM,C,22.564
07-07-13 08:59:01 PM,C,22.189
07-07-13 09:59:01 PM,C,21.563
07-07-13 10:59:01 PM,C,21
07-07-13 11:59:01 PM,C,20.437
07-08-13 12:59:01 AM,C,20.375
07-08-13 01:59:01 AM,C,21.125
07-08-13 02:59:01 AM,C,19.937
07-08-13 03:59:01 AM,C,20.687
07-08-13 04:59:01 AM,C,20.375
07-08-13 05:59:01 AM,C,20.75
07-08-13 06:59:01 AM,C,23.064
07-08-13 07:59:01 AM,C,23.564
07-08-13 08:59:01 AM,C,24.439
07-08-13 09:59:01 AM,C,27.002
07-08-13 10:59:01 AM,C,28.688
07-08-13 11:59:01 AM,C,31.311
07-08-13 12:59:01 PM,C,29.937
07-08-13 01:59:01 PM,C,30.811
07-08-13 02:59:01 PM,C,28.563
07-08-13 03:59:01 PM,C,26.814
07-08-13 04:59:01 PM,C,20.062
07-08-13 05:59:01 PM,C,19.812
07-08-13 06:59:01 PM,C,19.686
07-08-13 07:59:01 PM,C,20.124
07-08-13 08:59:01 PM,C,19.812
07-08-13 09:59:01 PM,C,20.124
07-08-13 10:59:01 PM,C,20.124
07-08-13 11:59:01 PM,C,20.062
07-09-13 12:59:01 AM,C,20.124
07-09-13 01:59:01 AM,C,20.437
07-09-13 02:59:01 AM,C,20.312
07-09-13 03:59:01 AM,C,20.062
07-09-13 04:59:01 AM,C,19.686
07-09-13 05:59:01 AM,C,19.686
07-09-13 06:59:01 AM,C,21.125
07-09-13 07:59:01 AM,C,22.439
07-09-13 08:59:01 AM,C,23.252
07-09-13 09:59:01 AM,C,26.064
07-09-13 10:59:01 AM,C,27.377
07-09-13 11:59:01 AM,C,28.376
07-09-13 12:59:01 PM,C,29.313
07-09-13 01:59:01 PM,C,30.125
07-09-13 02:59:01 PM,C,27.939
07-09-13 03:59:01 PM,C,28.751
07-09-13 04:59:01 PM,C,26.377
07-09-13 05:59:01 PM,C,24.189
07-09-13 06:59:01 PM,C,23.252
07-09-13 07:59:01 PM,C,23.127
07-09-13 08:59:01 PM,C,21.438
07-09-13 09:59:01 PM,C,19.937
07-09-13 10:59:01 PM,C,19.812
07-09-13 11:59:01 PM,C,19.749
07-10-13 12:59:01 AM,C,19.686
07-10-13 01:59:01 AM,C,19.248
07-10-13 02:59:01 AM,C,19.374
07-10-13 03:59:01 AM,C,19.874
07-10-13 04:59:01 AM,C,19.311
07-10-13 05:59:01 AM,C,19.248
07-10-13 06:59:01 AM,C,21.25
07-10-13 07:59:01 AM,C,23.877
07-10-13 08:59:01 AM,C,23.377
07-10-13 09:59:01 AM,C,24.314
07-10-13 10:59:01 AM,C,25.314
07-10-13 11:59:01 AM,C,26.877
07-10-13 12:59:01 PM,C,28.314
07-10-13 01:59:01 PM,C,29.75
07-10-13 02:59:01 PM,C,28.001
07-10-13 03:59:01 PM,C,28.938
07-10-13 04:59:01 PM,C,25.564
