1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000002BB4A941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Jun 01 08:40:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 05 06:40:01 CST 2013
Total Mission Samples:  2142
Total Device Samples:  9183
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-05-13 06:40:01 AM,C,21.73
06-05-13 07:40:01 AM,C,24.356
06-05-13 08:40:01 AM,C,24.418
06-05-13 09:40:01 AM,C,27.917
06-05-13 10:40:01 AM,C,30.29
06-05-13 11:40:01 AM,C,31.102
06-05-13 12:40:01 PM,C,31.788
06-05-13 01:40:01 PM,C,29.978
06-05-13 02:40:01 PM,C,24.543
06-05-13 03:40:01 PM,C,22.668
06-05-13 04:40:01 PM,C,23.168
06-05-13 05:40:01 PM,C,22.543
06-05-13 06:40:01 PM,C,21.355
06-05-13 07:40:01 PM,C,21.167
06-05-13 08:40:01 PM,C,21.792
06-05-13 09:40:01 PM,C,21.417
06-05-13 10:40:01 PM,C,21.417
06-05-13 11:40:01 PM,C,21.355
06-06-13 12:40:01 AM,C,20.979
06-06-13 01:40:01 AM,C,20.604
06-06-13 02:40:01 AM,C,20.479
06-06-13 03:40:01 AM,C,20.229
06-06-13 04:40:01 AM,C,20.229
06-06-13 05:40:01 AM,C,20.354
06-06-13 06:40:01 AM,C,21.48
06-06-13 07:40:01 AM,C,22.543
06-06-13 08:40:01 AM,C,25.168
06-06-13 09:40:01 AM,C,27.542
06-06-13 10:40:01 AM,C,30.103
06-06-13 11:40:01 AM,C,33.536
06-06-13 12:40:01 PM,C,33.224
06-06-13 01:40:01 PM,C,28.791
06-06-13 02:40:01 PM,C,28.542
06-06-13 03:40:01 PM,C,25.668
06-06-13 04:40:01 PM,C,24.918
06-06-13 05:40:01 PM,C,24.668
06-06-13 06:40:01 PM,C,25.73
06-06-13 07:40:01 PM,C,25.855
06-06-13 08:40:01 PM,C,25.855
06-06-13 09:40:01 PM,C,25.855
06-06-13 10:40:01 PM,C,25.793
06-06-13 11:40:01 PM,C,25.793
06-07-13 12:40:01 AM,C,25.73
06-07-13 01:40:01 AM,C,25.668
06-07-13 02:40:01 AM,C,25.543
06-07-13 03:40:01 AM,C,25.481
06-07-13 04:40:01 AM,C,25.418
06-07-13 05:40:01 AM,C,25.293
06-07-13 06:40:01 AM,C,25.231
06-07-13 07:40:01 AM,C,25.106
06-07-13 08:40:01 AM,C,25.043
06-07-13 09:40:01 AM,C,24.981
06-07-13 10:40:01 AM,C,24.981
06-07-13 11:40:01 AM,C,24.918
06-07-13 12:40:01 PM,C,24.981
06-07-13 01:40:01 PM,C,25.106
06-07-13 02:40:01 PM,C,25.231
06-07-13 03:40:01 PM,C,25.481
06-07-13 04:40:01 PM,C,25.73
06-07-13 05:40:01 PM,C,25.98
06-07-13 06:40:01 PM,C,26.105
06-07-13 07:40:01 PM,C,26.105
06-07-13 08:40:01 PM,C,26.043
06-07-13 09:40:01 PM,C,25.98
06-07-13 10:40:01 PM,C,25.918
06-07-13 11:40:01 PM,C,25.793
06-08-13 12:40:01 AM,C,25.73
06-08-13 01:40:01 AM,C,25.605
06-08-13 02:40:01 AM,C,25.543
06-08-13 03:40:01 AM,C,25.418
06-08-13 04:40:01 AM,C,25.356
06-08-13 05:40:01 AM,C,25.293
06-08-13 06:40:01 AM,C,25.168
06-08-13 07:40:01 AM,C,25.043
06-08-13 08:40:01 AM,C,24.981
06-08-13 09:40:01 AM,C,24.918
06-08-13 10:40:01 AM,C,24.918
06-08-13 11:40:01 AM,C,24.918
06-08-13 12:40:01 PM,C,25.043
06-08-13 01:40:01 PM,C,25.231
06-08-13 02:40:01 PM,C,26.668
06-08-13 03:40:01 PM,C,27.105
06-08-13 04:40:01 PM,C,25.481
06-08-13 05:40:01 PM,C,23.981
06-08-13 06:40:01 PM,C,22.73
06-08-13 07:40:01 PM,C,21.98
06-08-13 08:40:01 PM,C,21.917
06-08-13 09:40:01 PM,C,22.168
06-08-13 10:40:01 PM,C,22.23
06-08-13 11:40:01 PM,C,21.855
06-09-13 12:40:01 AM,C,21.292
06-09-13 01:40:01 AM,C,19.979
06-09-13 02:40:01 AM,C,19.666
06-09-13 03:40:01 AM,C,19.541
06-09-13 04:40:01 AM,C,19.04
06-09-13 05:40:01 AM,C,19.541
06-09-13 06:40:01 AM,C,21.042
06-09-13 07:40:01 AM,C,22.48
06-09-13 08:40:01 AM,C,24.043
06-09-13 09:40:01 AM,C,26.73
06-09-13 10:40:01 AM,C,27.917
06-09-13 11:40:01 AM,C,32.974
06-09-13 12:40:01 PM,C,33.161
06-09-13 01:40:01 PM,C,33.473
06-09-13 02:40:01 PM,C,34.16
06-09-13 03:40:01 PM,C,28.292
06-09-13 04:40:01 PM,C,26.168
06-09-13 05:40:01 PM,C,25.605
06-09-13 06:40:01 PM,C,22.98
06-09-13 07:40:01 PM,C,21.98
06-09-13 08:40:01 PM,C,21.417
06-09-13 09:40:01 PM,C,21.73
06-09-13 10:40:01 PM,C,21.292
06-09-13 11:40:01 PM,C,21.355
06-10-13 12:40:01 AM,C,21.292
06-10-13 01:40:01 AM,C,21.229
06-10-13 02:40:01 AM,C,21.104
06-10-13 03:40:01 AM,C,20.917
06-10-13 04:40:01 AM,C,19.478
06-10-13 05:40:01 AM,C,19.541
06-10-13 06:40:01 AM,C,21.417
06-10-13 07:40:01 AM,C,23.418
06-10-13 08:40:01 AM,C,24.793
06-10-13 09:40:01 AM,C,27.855
06-10-13 10:40:01 AM,C,27.542
06-10-13 11:40:01 AM,C,30.727
06-10-13 12:40:01 PM,C,32.225
06-10-13 01:40:01 PM,C,32.849
06-10-13 02:40:01 PM,C,32.724
06-10-13 03:40:01 PM,C,31.289
06-10-13 04:40:01 PM,C,23.105
06-10-13 05:40:01 PM,C,22.042
06-10-13 06:40:01 PM,C,20.854
06-10-13 07:40:01 PM,C,20.479
06-10-13 08:40:01 PM,C,20.667
06-10-13 09:40:01 PM,C,20.604
06-10-13 10:40:01 PM,C,19.541
06-10-13 11:40:01 PM,C,19.416
06-11-13 12:40:01 AM,C,19.478
06-11-13 01:40:01 AM,C,19.416
06-11-13 02:40:01 AM,C,18.727
06-11-13 03:40:01 AM,C,18.477
06-11-13 04:40:01 AM,C,18.164
06-11-13 05:40:01 AM,C,18.352
06-11-13 06:40:01 AM,C,20.542
06-11-13 07:40:01 AM,C,22.98
06-11-13 08:40:01 AM,C,24.606
06-11-13 09:40:01 AM,C,27.105
06-11-13 10:40:01 AM,C,28.479
06-11-13 11:40:01 AM,C,28.916
06-11-13 12:40:01 PM,C,31.601
06-11-13 01:40:01 PM,C,28.604
06-11-13 02:40:01 PM,C,32.1
06-11-13 03:40:01 PM,C,29.666
06-11-13 04:40:01 PM,C,25.106
06-11-13 05:40:01 PM,C,22.105
06-11-13 06:40:01 PM,C,20.667
06-11-13 07:40:01 PM,C,19.728
06-11-13 08:40:01 PM,C,20.792
06-11-13 09:40:01 PM,C,20.416
06-11-13 10:40:01 PM,C,20.792
06-11-13 11:40:01 PM,C,21.042
06-12-13 12:40:01 AM,C,20.479
06-12-13 01:40:01 AM,C,20.354
06-12-13 02:40:01 AM,C,20.104
06-12-13 03:40:01 AM,C,19.416
06-12-13 04:40:01 AM,C,19.478
06-12-13 05:40:01 AM,C,19.979
06-12-13 06:40:01 AM,C,20.729
06-12-13 07:40:01 AM,C,22.23
06-12-13 08:40:01 AM,C,24.481
06-12-13 09:40:01 AM,C,27.043
06-12-13 10:40:01 AM,C,27.355
06-12-13 11:40:01 AM,C,29.978
06-12-13 12:40:01 PM,C,31.913
06-12-13 01:40:01 PM,C,32.35
06-12-13 02:40:01 PM,C,32.225
06-12-13 03:40:01 PM,C,31.539
06-12-13 04:40:01 PM,C,25.605
06-12-13 05:40:01 PM,C,23.73
06-12-13 06:40:01 PM,C,18.227
06-12-13 07:40:01 PM,C,18.477
06-12-13 08:40:01 PM,C,18.54
06-12-13 09:40:01 PM,C,18.79
06-12-13 10:40:01 PM,C,18.352
06-12-13 11:40:01 PM,C,18.102
06-13-13 12:40:01 AM,C,18.039
06-13-13 01:40:01 AM,C,17.914
06-13-13 02:40:01 AM,C,18.477
06-13-13 03:40:01 AM,C,18.79
06-13-13 04:40:01 AM,C,18.164
06-13-13 05:40:01 AM,C,18.915
06-13-13 06:40:01 AM,C,19.979
06-13-13 07:40:01 AM,C,21.229
06-13-13 08:40:01 AM,C,23.23
06-13-13 09:40:01 AM,C,25.543
06-13-13 10:40:01 AM,C,25.668
06-13-13 11:40:01 AM,C,28.604
06-13-13 12:40:01 PM,C,28.042
06-13-13 01:40:01 PM,C,26.168
06-13-13 02:40:01 PM,C,25.855
06-13-13 03:40:01 PM,C,24.793
06-13-13 04:40:01 PM,C,22.918
06-13-13 05:40:01 PM,C,18.164
06-13-13 06:40:01 PM,C,19.228
06-13-13 07:40:01 PM,C,19.165
06-13-13 08:40:01 PM,C,18.54
06-13-13 09:40:01 PM,C,18.289
06-13-13 10:40:01 PM,C,18.602
06-13-13 11:40:01 PM,C,17.789
06-14-13 12:40:01 AM,C,17.538
06-14-13 01:40:01 AM,C,17.288
06-14-13 02:40:01 AM,C,18.289
06-14-13 03:40:01 AM,C,17.1
06-14-13 04:40:01 AM,C,17.038
06-14-13 05:40:01 AM,C,17.538
06-14-13 06:40:01 AM,C,18.727
06-14-13 07:40:01 AM,C,20.854
06-14-13 08:40:01 AM,C,22.23
06-14-13 09:40:01 AM,C,25.543
06-14-13 10:40:01 AM,C,27.23
06-14-13 11:40:01 AM,C,26.668
06-14-13 12:40:01 PM,C,26.918
06-14-13 01:40:01 PM,C,27.73
06-14-13 02:40:01 PM,C,29.478
06-14-13 03:40:01 PM,C,29.603
06-14-13 04:40:01 PM,C,24.293
06-14-13 05:40:01 PM,C,22.355
06-14-13 06:40:01 PM,C,21.292
06-14-13 07:40:01 PM,C,20.729
06-14-13 08:40:01 PM,C,20.792
06-14-13 09:40:01 PM,C,19.728
06-14-13 10:40:01 PM,C,18.852
06-14-13 11:40:01 PM,C,18.852
06-15-13 12:40:01 AM,C,19.04
06-15-13 01:40:01 AM,C,19.29
06-15-13 02:40:01 AM,C,18.414
06-15-13 03:40:01 AM,C,18.227
06-15-13 04:40:01 AM,C,19.416
06-15-13 05:40:01 AM,C,18.102
06-15-13 06:40:01 AM,C,19.603
06-15-13 07:40:01 AM,C,21.73
06-15-13 08:40:01 AM,C,22.855
06-15-13 09:40:01 AM,C,25.793
06-15-13 10:40:01 AM,C,26.543
06-15-13 11:40:01 AM,C,25.73
06-15-13 12:40:01 PM,C,28.292
06-15-13 01:40:01 PM,C,29.229
06-15-13 02:40:01 PM,C,29.229
06-15-13 03:40:01 PM,C,27.605
06-15-13 04:40:01 PM,C,23.981
06-15-13 05:40:01 PM,C,22.668
06-15-13 06:40:01 PM,C,21.605
06-15-13 07:40:01 PM,C,21.292
06-15-13 08:40:01 PM,C,21.355
06-15-13 09:40:01 PM,C,20.792
06-15-13 10:40:01 PM,C,20.542
06-15-13 11:40:01 PM,C,20.291
06-16-13 12:40:01 AM,C,19.103
06-16-13 01:40:01 AM,C,18.978
06-16-13 02:40:01 AM,C,18.54
06-16-13 03:40:01 AM,C,18.477
06-16-13 04:40:01 AM,C,19.353
06-16-13 05:40:01 AM,C,19.228
06-16-13 06:40:01 AM,C,19.478
06-16-13 07:40:01 AM,C,21.167
06-16-13 08:40:01 AM,C,23.168
06-16-13 09:40:01 AM,C,24.231
06-16-13 10:40:01 AM,C,26.168
06-16-13 11:40:01 AM,C,24.231
06-16-13 12:40:01 PM,C,23.981
06-16-13 01:40:01 PM,C,23.981
06-16-13 02:40:01 PM,C,22.23
06-16-13 03:40:01 PM,C,22.293
06-16-13 04:40:01 PM,C,21.417
06-16-13 05:40:01 PM,C,20.479
06-16-13 06:40:01 PM,C,19.791
06-16-13 07:40:01 PM,C,19.29
06-16-13 08:40:01 PM,C,19.728
06-16-13 09:40:01 PM,C,19.478
06-16-13 10:40:01 PM,C,19.478
06-16-13 11:40:01 PM,C,19.541
06-17-13 12:40:01 AM,C,19.29
06-17-13 01:40:01 AM,C,18.665
06-17-13 02:40:01 AM,C,18.477
06-17-13 03:40:01 AM,C,18.665
06-17-13 04:40:01 AM,C,18.79
06-17-13 05:40:01 AM,C,18.602
06-17-13 06:40:01 AM,C,19.04
06-17-13 07:40:01 AM,C,19.478
06-17-13 08:40:01 AM,C,20.291
06-17-13 09:40:01 AM,C,20.542
06-17-13 10:40:01 AM,C,22.168
06-17-13 11:40:01 AM,C,23.23
06-17-13 12:40:01 PM,C,22.605
06-17-13 01:40:01 PM,C,23.23
06-17-13 02:40:01 PM,C,21.73
06-17-13 03:40:01 PM,C,20.041
06-17-13 04:40:01 PM,C,22.73
06-17-13 05:40:01 PM,C,20.604
06-17-13 06:40:01 PM,C,19.916
06-17-13 07:40:01 PM,C,19.916
06-17-13 08:40:01 PM,C,20.041
06-17-13 09:40:01 PM,C,19.853
06-17-13 10:40:01 PM,C,19.853
06-17-13 11:40:01 PM,C,20.041
06-18-13 12:40:01 AM,C,19.916
06-18-13 01:40:01 AM,C,19.603
06-18-13 02:40:01 AM,C,19.228
06-18-13 03:40:01 AM,C,18.79
06-18-13 04:40:01 AM,C,18.915
06-18-13 05:40:01 AM,C,19.666
06-18-13 06:40:01 AM,C,20.729
06-18-13 07:40:01 AM,C,22.042
06-18-13 08:40:01 AM,C,23.105
