1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 990000002BB6EC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 16:10:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 03:10:01 CST 2013
Total Mission Samples:  2419
Total Device Samples:  9539
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 03:10:01 AM,C,19.749
06-23-13 04:10:01 AM,C,20.124
06-23-13 05:10:01 AM,C,19.999
06-23-13 06:10:01 AM,C,20.249
06-23-13 07:10:01 AM,C,23.064
06-23-13 08:10:01 AM,C,26.689
06-23-13 09:10:01 AM,C,29.126
06-23-13 10:10:01 AM,C,29.813
06-23-13 11:10:01 AM,C,30.562
06-23-13 12:10:01 PM,C,31.311
06-23-13 01:10:01 PM,C,32.247
06-23-13 02:10:01 PM,C,32.622
06-23-13 03:10:01 PM,C,32.809
06-23-13 04:10:01 PM,C,31.623
06-23-13 05:10:01 PM,C,26.689
06-23-13 06:10:01 PM,C,24.439
06-23-13 07:10:01 PM,C,23.252
06-23-13 08:10:01 PM,C,23.877
06-23-13 09:10:01 PM,C,22.001
06-23-13 10:10:01 PM,C,21.188
06-23-13 11:10:01 PM,C,21.063
06-24-13 12:10:01 AM,C,19.749
06-24-13 01:10:01 AM,C,19.811
06-24-13 02:10:01 AM,C,19.686
06-24-13 03:10:01 AM,C,19.436
06-24-13 04:10:01 AM,C,19.373
06-24-13 05:10:01 AM,C,19.436
06-24-13 06:10:01 AM,C,18.998
06-24-13 07:10:01 AM,C,23.314
06-24-13 08:10:01 AM,C,26.064
06-24-13 09:10:01 AM,C,28.189
06-24-13 10:10:01 AM,C,29.563
06-24-13 11:10:01 AM,C,28.626
06-24-13 12:10:01 PM,C,29.25
06-24-13 01:10:01 PM,C,29.375
06-24-13 02:10:01 PM,C,29.937
06-24-13 03:10:01 PM,C,29.937
06-24-13 04:10:01 PM,C,28.938
06-24-13 05:10:01 PM,C,25.002
06-24-13 06:10:01 PM,C,23.439
06-24-13 07:10:01 PM,C,18.873
06-24-13 08:10:01 PM,C,18.873
06-24-13 09:10:01 PM,C,19.061
06-24-13 10:10:01 PM,C,19.248
06-24-13 11:10:01 PM,C,19.373
06-25-13 12:10:01 AM,C,19.123
06-25-13 01:10:01 AM,C,18.935
06-25-13 02:10:01 AM,C,18.998
06-25-13 03:10:01 AM,C,18.748
06-25-13 04:10:01 AM,C,18.685
06-25-13 05:10:01 AM,C,18.873
06-25-13 06:10:01 AM,C,19.061
06-25-13 07:10:01 AM,C,19.436
06-25-13 08:10:01 AM,C,21.563
06-25-13 09:10:01 AM,C,21.938
06-25-13 10:10:01 AM,C,24.814
06-25-13 11:10:01 AM,C,27.314
06-25-13 12:10:01 PM,C,30
06-25-13 01:10:01 PM,C,31.935
06-25-13 02:10:01 PM,C,30.812
06-25-13 03:10:01 PM,C,30.125
06-25-13 04:10:01 PM,C,31.436
06-25-13 05:10:01 PM,C,25.502
06-25-13 06:10:01 PM,C,24.252
06-25-13 07:10:01 PM,C,23.064
06-25-13 08:10:01 PM,C,22.001
06-25-13 09:10:01 PM,C,19.937
06-25-13 10:10:01 PM,C,19.311
06-25-13 11:10:01 PM,C,19.061
06-26-13 12:10:01 AM,C,18.873
06-26-13 01:10:01 AM,C,19.624
06-26-13 02:10:01 AM,C,19.123
06-26-13 03:10:01 AM,C,19.186
06-26-13 04:10:01 AM,C,18.935
06-26-13 05:10:01 AM,C,18.122
06-26-13 06:10:01 AM,C,18.748
06-26-13 07:10:01 AM,C,20.375
06-26-13 08:10:01 AM,C,23.189
06-26-13 09:10:01 AM,C,25.502
06-26-13 10:10:01 AM,C,28.439
06-26-13 11:10:01 AM,C,29.875
06-26-13 12:10:01 PM,C,29.25
06-26-13 01:10:01 PM,C,30.624
06-26-13 02:10:01 PM,C,33.558
06-26-13 03:10:01 PM,C,29.126
06-26-13 04:10:01 PM,C,27.689
06-26-13 05:10:01 PM,C,25.439
06-26-13 06:10:01 PM,C,23.752
06-26-13 07:10:01 PM,C,22.564
06-26-13 08:10:01 PM,C,22.001
06-26-13 09:10:01 PM,C,22.501
06-26-13 10:10:01 PM,C,21.688
06-26-13 11:10:01 PM,C,20.938
06-27-13 12:10:01 AM,C,21.063
06-27-13 01:10:01 AM,C,20.687
06-27-13 02:10:01 AM,C,20.249
06-27-13 03:10:01 AM,C,20.062
