1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000002BB51D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 16:00:01 CST 2013
Mission Sample Count:  1915
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Jun 07 16:00:01 CST 2013
Total Mission Samples:  1915
Total Device Samples:  9031
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-07-13 04:00:01 PM,C,32.726
06-07-13 05:00:01 PM,C,27.168
06-07-13 06:00:01 PM,C,20.666
06-07-13 07:00:01 PM,C,20.478
06-07-13 08:00:01 PM,C,20.416
06-07-13 09:00:01 PM,C,20.791
06-07-13 10:00:01 PM,C,20.979
06-07-13 11:00:01 PM,C,20.228
06-08-13 12:00:01 AM,C,20.166
06-08-13 01:00:01 AM,C,20.541
06-08-13 02:00:01 AM,C,20.541
06-08-13 03:00:01 AM,C,20.854
06-08-13 04:00:01 AM,C,20.666
06-08-13 05:00:01 AM,C,20.791
06-08-13 06:00:01 AM,C,20.854
06-08-13 07:00:01 AM,C,23.855
06-08-13 08:00:01 AM,C,24.418
06-08-13 09:00:01 AM,C,27.293
06-08-13 10:00:01 AM,C,31.103
06-08-13 11:00:01 AM,C,30.853
06-08-13 12:00:01 PM,C,33.476
06-08-13 01:00:01 PM,C,32.851
06-08-13 02:00:01 PM,C,33.538
06-08-13 03:00:01 PM,C,30.666
06-08-13 04:00:01 PM,C,33.226
06-08-13 05:00:01 PM,C,29.604
06-08-13 06:00:01 PM,C,26.543
06-08-13 07:00:01 PM,C,24.168
06-08-13 08:00:01 PM,C,23.168
06-08-13 09:00:01 PM,C,23.105
06-08-13 10:00:01 PM,C,22.48
06-08-13 11:00:01 PM,C,22.167
06-09-13 12:00:01 AM,C,21.854
06-09-13 01:00:01 AM,C,21.917
06-09-13 02:00:01 AM,C,21.667
06-09-13 03:00:01 AM,C,21.604
06-09-13 04:00:01 AM,C,21.354
06-09-13 05:00:01 AM,C,21.229
06-09-13 06:00:01 AM,C,21.604
06-09-13 07:00:01 AM,C,22.667
06-09-13 08:00:01 AM,C,26.668
06-09-13 09:00:01 AM,C,29.979
06-09-13 10:00:01 AM,C,31.29
