1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000002BDE3D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu May 30 08:16:01 CST 2013
Mission Sample Count:  2618
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 30 08:16:01 CST 2013
Total Mission Samples:  2618
Total Device Samples:  9764
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05-30-13 08:16:01 AM,C,24.094
05-30-13 09:16:01 AM,C,25.594
05-30-13 10:16:01 AM,C,32.589
05-30-13 11:16:01 AM,C,31.091
05-30-13 12:16:01 PM,C,30.092
05-30-13 01:16:01 PM,C,32.589
05-30-13 02:16:01 PM,C,32.589
05-30-13 03:16:01 PM,C,29.092
05-30-13 04:16:01 PM,C,28.593
05-30-13 05:16:01 PM,C,28.093
05-30-13 06:16:01 PM,C,28.093
05-30-13 07:16:01 PM,C,27.093
05-30-13 08:16:01 PM,C,26.594
05-30-13 09:16:01 PM,C,26.594
05-30-13 10:16:01 PM,C,26.094
05-30-13 11:16:01 PM,C,25.594
05-31-13 12:16:01 AM,C,25.594
05-31-13 01:16:01 AM,C,25.094
05-31-13 02:16:01 AM,C,24.594
05-31-13 03:16:01 AM,C,24.094
05-31-13 04:16:01 AM,C,24.094
05-31-13 05:16:01 AM,C,23.593
05-31-13 06:16:01 AM,C,23.093
05-31-13 07:16:01 AM,C,23.593
05-31-13 08:16:01 AM,C,24.594
05-31-13 09:16:01 AM,C,26.094
05-31-13 10:16:01 AM,C,27.593
05-31-13 11:16:01 AM,C,29.092
05-31-13 12:16:01 PM,C,30.591
05-31-13 01:16:01 PM,C,31.091
05-31-13 02:16:01 PM,C,31.091
05-31-13 03:16:01 PM,C,31.091
05-31-13 04:16:01 PM,C,30.591
05-31-13 05:16:01 PM,C,29.592
05-31-13 06:16:01 PM,C,28.593
05-31-13 07:16:01 PM,C,28.093
05-31-13 08:16:01 PM,C,27.593
05-31-13 09:16:01 PM,C,27.593
05-31-13 10:16:01 PM,C,27.093
05-31-13 11:16:01 PM,C,26.594
06-01-13 12:16:01 AM,C,26.594
06-01-13 01:16:01 AM,C,26.594
06-01-13 02:16:01 AM,C,26.094
06-01-13 03:16:01 AM,C,25.594
06-01-13 04:16:01 AM,C,25.594
06-01-13 05:16:01 AM,C,25.094
06-01-13 06:16:01 AM,C,24.594
06-01-13 07:16:01 AM,C,24.594
06-01-13 08:16:01 AM,C,25.094
06-01-13 09:16:01 AM,C,26.094
06-01-13 10:16:01 AM,C,27.593
06-01-13 11:16:01 AM,C,29.592
06-01-13 12:16:01 PM,C,31.091
06-01-13 01:16:01 PM,C,31.59
06-01-13 02:16:01 PM,C,31.091
06-01-13 03:16:01 PM,C,30.092
06-01-13 04:16:01 PM,C,30.092
06-01-13 05:16:01 PM,C,30.092
06-01-13 06:16:01 PM,C,29.592
06-01-13 07:16:01 PM,C,28.593
06-01-13 08:16:01 PM,C,28.093
06-01-13 09:16:01 PM,C,27.093
