1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 73000000337DBA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:05:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:45:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10783
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:45:01 AM,%RH,39.732
04/08/14 05:05:01 AM,%RH,38.439
04/08/14 05:25:01 AM,%RH,38.439
04/08/14 05:45:01 AM,%RH,37.79
04/08/14 06:05:01 AM,%RH,37.14
04/08/14 06:25:01 AM,%RH,37.14
04/08/14 06:45:01 AM,%RH,37.14
04/08/14 07:05:01 AM,%RH,36.488
04/08/14 07:25:01 AM,%RH,35.18
04/08/14 07:45:01 AM,%RH,36.488
04/08/14 08:05:01 AM,%RH,35.18
04/08/14 08:25:01 AM,%RH,35.835
04/08/14 08:45:01 AM,%RH,36.488
04/08/14 09:05:01 AM,%RH,35.18
04/08/14 09:25:01 AM,%RH,35.835
04/08/14 09:45:01 AM,%RH,37.79
04/08/14 10:05:01 AM,%RH,44.207
04/08/14 10:25:01 AM,%RH,60.157
04/08/14 10:45:01 AM,%RH,99.757
04/08/14 11:05:01 AM,%RH,99.757
04/08/14 11:25:01 AM,%RH,100.233
04/08/14 11:45:01 AM,%RH,100.708
04/08/14 12:05:01 PM,%RH,98.799
04/08/14 12:25:01 PM,%RH,98.318
04/08/14 12:45:01 PM,%RH,97.352
04/08/14 01:05:01 PM,%RH,91.419
04/08/14 01:25:01 PM,%RH,88.88
04/08/14 01:45:01 PM,%RH,93.421
04/08/14 02:05:01 PM,%RH,91.419
04/08/14 02:25:01 PM,%RH,96.378
04/08/14 02:45:01 PM,%RH,98.318
04/08/14 03:05:01 PM,%RH,99.757
04/08/14 03:25:01 PM,%RH,99.279
04/08/14 03:45:01 PM,%RH,90.408
04/08/14 04:05:01 PM,%RH,86.821
04/08/14 04:25:01 PM,%RH,73.941
04/08/14 04:45:01 PM,%RH,70.014
04/08/14 05:05:01 PM,%RH,68.878
04/08/14 05:25:01 PM,%RH,63.688
04/08/14 05:45:01 PM,%RH,62.517
04/08/14 06:05:01 PM,%RH,58.968
04/08/14 06:25:01 PM,%RH,70.014
04/08/14 06:45:01 PM,%RH,69.446
04/08/14 07:05:01 PM,%RH,69.446
04/08/14 07:25:01 PM,%RH,72.267
04/08/14 07:45:01 PM,%RH,71.706
04/08/14 08:05:01 PM,%RH,73.384
04/08/14 08:25:01 PM,%RH,73.384
04/08/14 08:45:01 PM,%RH,71.706
04/08/14 09:05:01 PM,%RH,72.826
04/08/14 09:25:01 PM,%RH,71.143
04/08/14 09:45:01 PM,%RH,68.307
04/08/14 10:05:01 PM,%RH,65.432
04/08/14 10:25:01 PM,%RH,65.432
04/08/14 10:45:01 PM,%RH,66.587
04/08/14 11:05:01 PM,%RH,68.878
04/08/14 11:25:01 PM,%RH,68.307
04/08/14 11:45:01 PM,%RH,70.014
05/08/14 12:05:01 AM,%RH,72.267
05/08/14 12:25:01 AM,%RH,71.706
05/08/14 12:45:01 AM,%RH,71.706
05/08/14 01:05:01 AM,%RH,71.706
05/08/14 01:25:01 AM,%RH,71.706
05/08/14 01:45:01 AM,%RH,56.571
05/08/14 02:05:01 AM,%RH,57.172
05/08/14 02:25:01 AM,%RH,55.967
