1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 08000000337BD541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:53:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:33:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10717
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:33:01 AM,%RH,110.456
04/08/14 04:53:01 AM,%RH,109.907
04/08/14 05:13:01 AM,%RH,111.004
04/08/14 05:33:01 AM,%RH,110.456
04/08/14 05:53:01 AM,%RH,111.004
04/08/14 06:13:01 AM,%RH,111.004
04/08/14 06:33:01 AM,%RH,111.004
04/08/14 06:53:01 AM,%RH,109.907
04/08/14 07:13:01 AM,%RH,109.907
04/08/14 07:33:01 AM,%RH,109.907
04/08/14 07:53:01 AM,%RH,110.456
04/08/14 08:13:01 AM,%RH,109.907
04/08/14 08:33:01 AM,%RH,109.356
04/08/14 08:53:01 AM,%RH,106.579
04/08/14 09:13:01 AM,%RH,100.337
04/08/14 09:33:01 AM,%RH,98.603
04/08/14 09:53:01 AM,%RH,96.269
04/08/14 10:13:01 AM,%RH,90.931
04/08/14 10:33:01 AM,%RH,83.624
04/08/14 10:53:01 AM,%RH,82.385
04/08/14 11:13:01 AM,%RH,79.261
04/08/14 11:33:01 AM,%RH,84.241
04/08/14 11:53:01 AM,%RH,76.1
04/08/14 12:13:01 PM,%RH,79.261
04/08/14 12:33:01 PM,%RH,76.735
04/08/14 12:53:01 PM,%RH,75.463
04/08/14 01:13:01 PM,%RH,75.463
04/08/14 01:33:01 PM,%RH,75.463
04/08/14 01:53:01 PM,%RH,78.001
04/08/14 02:13:01 PM,%RH,81.14
04/08/14 02:33:01 PM,%RH,81.763
04/08/14 02:53:01 PM,%RH,83.005
04/08/14 03:13:01 PM,%RH,86.084
04/08/14 03:33:01 PM,%RH,93.319
04/08/14 03:53:01 PM,%RH,100.337
04/08/14 04:13:01 PM,%RH,106.579
04/08/14 04:33:01 PM,%RH,104.894
04/08/14 04:53:01 PM,%RH,106.019
04/08/14 05:13:01 PM,%RH,107.137
04/08/14 05:33:01 PM,%RH,107.137
04/08/14 05:53:01 PM,%RH,106.579
04/08/14 06:13:01 PM,%RH,107.694
04/08/14 06:33:01 PM,%RH,107.694
04/08/14 06:53:01 PM,%RH,108.249
04/08/14 07:13:01 PM,%RH,107.137
04/08/14 07:33:01 PM,%RH,107.694
04/08/14 07:53:01 PM,%RH,107.694
04/08/14 08:13:01 PM,%RH,107.694
04/08/14 08:33:01 PM,%RH,107.694
04/08/14 08:53:01 PM,%RH,107.694
04/08/14 09:13:01 PM,%RH,108.803
04/08/14 09:33:01 PM,%RH,109.356
04/08/14 09:53:01 PM,%RH,107.694
04/08/14 10:13:01 PM,%RH,108.803
04/08/14 10:33:01 PM,%RH,109.356
04/08/14 10:53:01 PM,%RH,108.803
04/08/14 11:13:01 PM,%RH,109.356
04/08/14 11:33:01 PM,%RH,108.803
04/08/14 11:53:01 PM,%RH,109.356
05/08/14 12:13:01 AM,%RH,108.803
05/08/14 12:33:01 AM,%RH,109.356
05/08/14 12:53:01 AM,%RH,108.803
05/08/14 01:13:01 AM,%RH,109.907
05/08/14 01:33:01 AM,%RH,108.249
05/08/14 01:53:01 AM,%RH,109.356
05/08/14 02:13:01 AM,%RH,109.907
05/08/14 02:33:01 AM,%RH,109.356
05/08/14 02:53:01 AM,%RH,109.356
05/08/14 03:13:01 AM,%RH,109.907
05/08/14 03:33:01 AM,%RH,109.356
05/08/14 03:53:01 AM,%RH,109.907
05/08/14 04:13:01 AM,%RH,109.356
05/08/14 04:33:01 AM,%RH,108.803
