1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C000000337AC341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:07:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 03:47:01 CST 2014
Total Mission Samples:  3822
Total Device Samples:  10713
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 03:47:01 AM,%RH,104.003
04/08/14 04:07:01 AM,%RH,104.003
04/08/14 04:27:01 AM,%RH,104.003
04/08/14 04:47:01 AM,%RH,104.003
04/08/14 05:07:01 AM,%RH,104.003
04/08/14 05:27:01 AM,%RH,104.971
04/08/14 05:47:01 AM,%RH,103.517
04/08/14 06:07:01 AM,%RH,104.003
04/08/14 06:27:01 AM,%RH,104.488
04/08/14 06:47:01 AM,%RH,103.517
04/08/14 07:07:01 AM,%RH,102.541
04/08/14 07:27:01 AM,%RH,102.541
04/08/14 07:47:01 AM,%RH,102.541
04/08/14 08:07:01 AM,%RH,102.541
04/08/14 08:27:01 AM,%RH,102.541
04/08/14 08:47:01 AM,%RH,101.066
04/08/14 09:07:01 AM,%RH,96.056
04/08/14 09:27:01 AM,%RH,94.525
04/08/14 09:47:01 AM,%RH,91.945
04/08/14 10:07:01 AM,%RH,86.143
04/08/14 10:27:01 AM,%RH,83.449
04/08/14 10:47:01 AM,%RH,81.816
04/08/14 11:07:01 AM,%RH,83.449
04/08/14 11:27:01 AM,%RH,86.143
04/08/14 11:47:01 AM,%RH,83.449
04/08/14 12:07:01 PM,%RH,83.991
04/08/14 12:27:01 PM,%RH,85.607
04/08/14 12:47:01 PM,%RH,85.07
04/08/14 01:07:01 PM,%RH,85.607
04/08/14 01:27:01 PM,%RH,83.991
04/08/14 01:47:01 PM,%RH,83.449
04/08/14 02:07:01 PM,%RH,85.07
04/08/14 02:27:01 PM,%RH,85.607
04/08/14 02:47:01 PM,%RH,85.607
04/08/14 03:07:01 PM,%RH,86.143
04/08/14 03:27:01 PM,%RH,90.38
04/08/14 03:47:01 PM,%RH,97.069
04/08/14 04:07:01 PM,%RH,100.075
04/08/14 04:27:01 PM,%RH,101.066
04/08/14 04:47:01 PM,%RH,101.066
04/08/14 05:07:01 PM,%RH,101.559
04/08/14 05:27:01 PM,%RH,101.559
04/08/14 05:47:01 PM,%RH,102.051
04/08/14 06:07:01 PM,%RH,102.541
04/08/14 06:27:01 PM,%RH,102.051
04/08/14 06:47:01 PM,%RH,102.541
04/08/14 07:07:01 PM,%RH,102.541
04/08/14 07:27:01 PM,%RH,102.541
04/08/14 07:47:01 PM,%RH,102.541
04/08/14 08:07:01 PM,%RH,102.541
04/08/14 08:27:01 PM,%RH,103.517
04/08/14 08:47:01 PM,%RH,103.03
04/08/14 09:07:01 PM,%RH,103.03
04/08/14 09:27:01 PM,%RH,103.03
04/08/14 09:47:01 PM,%RH,103.03
04/08/14 10:07:01 PM,%RH,103.517
04/08/14 10:27:01 PM,%RH,103.517
04/08/14 10:47:01 PM,%RH,103.517
04/08/14 11:07:01 PM,%RH,103.03
04/08/14 11:27:01 PM,%RH,103.517
04/08/14 11:47:01 PM,%RH,104.003
05/08/14 12:07:01 AM,%RH,102.541
05/08/14 12:27:01 AM,%RH,103.03
05/08/14 12:47:01 AM,%RH,103.517
05/08/14 01:07:01 AM,%RH,103.517
05/08/14 01:27:01 AM,%RH,103.517
05/08/14 01:47:01 AM,%RH,103.517
05/08/14 02:07:01 AM,%RH,103.517
05/08/14 02:27:01 AM,%RH,103.03
05/08/14 02:47:01 AM,%RH,102.541
05/08/14 03:07:01 AM,%RH,103.03
05/08/14 03:27:01 AM,%RH,105.933
05/08/14 03:47:01 AM,%RH,103.03
05/08/14 04:07:01 AM,%RH,103.517
05/08/14 04:27:01 AM,%RH,103.517
05/08/14 04:47:01 AM,%RH,104.488
05/08/14 05:07:01 AM,%RH,104.003
05/08/14 05:27:01 AM,%RH,103.517
05/08/14 05:47:01 AM,%RH,104.003
05/08/14 06:07:01 AM,%RH,103.517
05/08/14 06:27:01 AM,%RH,102.541
05/08/14 06:47:01 AM,%RH,103.03
05/08/14 07:07:01 AM,%RH,102.541
05/08/14 07:27:01 AM,%RH,102.541
05/08/14 07:47:01 AM,%RH,101.559
05/08/14 08:07:01 AM,%RH,102.541
05/08/14 08:27:01 AM,%RH,102.051
05/08/14 08:47:01 AM,%RH,99.079
05/08/14 09:07:01 AM,%RH,92.981
05/08/14 09:27:01 AM,%RH,91.945
05/08/14 09:47:01 AM,%RH,87.743
05/08/14 10:07:01 AM,%RH,82.362
05/08/14 10:27:01 AM,%RH,81.816
05/08/14 10:47:01 AM,%RH,81.268
05/08/14 11:07:01 AM,%RH,82.362
05/08/14 11:27:01 AM,%RH,87.211
05/08/14 11:47:01 AM,%RH,83.991
05/08/14 12:07:01 PM,%RH,83.991
05/08/14 12:27:01 PM,%RH,85.07
05/08/14 12:47:01 PM,%RH,85.607
05/08/14 01:07:01 PM,%RH,80.169
05/08/14 01:27:01 PM,%RH,85.607
05/08/14 01:47:01 PM,%RH,90.38
05/08/14 02:07:01 PM,%RH,88.802
05/08/14 02:27:01 PM,%RH,87.743
05/08/14 02:47:01 PM,%RH,86.143
05/08/14 03:07:01 PM,%RH,86.143
05/08/14 03:27:01 PM,%RH,87.211
05/08/14 03:47:01 PM,%RH,87.211
05/08/14 04:07:01 PM,%RH,90.903
05/08/14 04:27:01 PM,%RH,91.945
05/08/14 04:47:01 PM,%RH,94.012
05/08/14 05:07:01 PM,%RH,95.547
05/08/14 05:27:01 PM,%RH,95.547
05/08/14 05:47:01 PM,%RH,97.069
