1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B000000337DB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:53:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10754
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:53:01 PM,%RH,101.381
04/08/14 09:13:01 PM,%RH,101.381
04/08/14 09:33:01 PM,%RH,101.381
04/08/14 09:53:01 PM,%RH,101.853
04/08/14 10:13:01 PM,%RH,101.853
04/08/14 10:33:01 PM,%RH,102.794
04/08/14 10:53:01 PM,%RH,101.853
04/08/14 11:13:01 PM,%RH,101.853
04/08/14 11:33:01 PM,%RH,101.853
04/08/14 11:53:01 PM,%RH,102.324
05/08/14 12:13:01 AM,%RH,101.381
05/08/14 12:33:01 AM,%RH,102.324
05/08/14 12:53:01 AM,%RH,100.431
05/08/14 01:13:01 AM,%RH,102.794
05/08/14 01:33:01 AM,%RH,101.853
05/08/14 01:53:01 AM,%RH,101.853
05/08/14 02:13:01 AM,%RH,101.853
05/08/14 02:33:01 AM,%RH,101.853
05/08/14 02:53:01 AM,%RH,101.853
05/08/14 03:13:01 AM,%RH,102.324
05/08/14 03:33:01 AM,%RH,102.794
05/08/14 03:53:01 AM,%RH,101.853
05/08/14 04:13:01 AM,%RH,103.262
05/08/14 04:33:01 AM,%RH,101.853
05/08/14 04:53:01 AM,%RH,102.324
05/08/14 05:13:01 AM,%RH,101.381
05/08/14 05:33:01 AM,%RH,100.907
05/08/14 05:53:01 AM,%RH,91.107
05/08/14 06:13:01 AM,%RH,76.366
05/08/14 06:33:01 AM,%RH,69.684
05/08/14 06:53:01 AM,%RH,64.528
05/08/14 07:13:01 AM,%RH,63.366
05/08/14 07:33:01 AM,%RH,57.463
05/08/14 07:53:01 AM,%RH,56.864
05/08/14 08:13:01 AM,%RH,57.463
05/08/14 08:33:01 AM,%RH,55.059
05/08/14 08:53:01 AM,%RH,47.702
05/08/14 09:13:01 AM,%RH,49.562
05/08/14 09:33:01 AM,%RH,62.783
05/08/14 09:53:01 AM,%RH,58.06
05/08/14 10:13:01 AM,%RH,48.943
05/08/14 10:33:01 AM,%RH,55.059
05/08/14 10:53:01 AM,%RH,59.842
05/08/14 11:13:01 AM,%RH,65.685
05/08/14 11:33:01 AM,%RH,65.107
05/08/14 11:53:01 AM,%RH,52.02
05/08/14 12:13:01 PM,%RH,63.366
05/08/14 12:33:01 PM,%RH,69.684
05/08/14 12:53:01 PM,%RH,53.24
05/08/14 01:13:01 PM,%RH,63.948
05/08/14 01:33:01 PM,%RH,73.609
05/08/14 01:53:01 PM,%RH,76.366
05/08/14 02:13:01 PM,%RH,71.936
05/08/14 02:33:01 PM,%RH,77.459
05/08/14 02:53:01 PM,%RH,74.716
05/08/14 03:13:01 PM,%RH,74.716
05/08/14 03:33:01 PM,%RH,75.268
05/08/14 03:53:01 PM,%RH,79.625
05/08/14 04:13:01 PM,%RH,84.411
05/08/14 04:33:01 PM,%RH,87.017
05/08/14 04:53:01 PM,%RH,89.585
05/08/14 05:13:01 PM,%RH,91.612
05/08/14 05:33:01 PM,%RH,94.111
05/08/14 05:53:01 PM,%RH,96.083
05/08/14 06:13:01 PM,%RH,97.06
05/08/14 06:33:01 PM,%RH,98.514
05/08/14 06:53:01 PM,%RH,96.083
05/08/14 07:13:01 PM,%RH,94.111
05/08/14 07:33:01 PM,%RH,93.116
05/08/14 07:53:01 PM,%RH,90.601
05/08/14 08:13:01 PM,%RH,83.358
05/08/14 08:33:01 PM,%RH,80.7
05/08/14 08:53:01 PM,%RH,87.534
05/08/14 09:13:01 PM,%RH,87.534
05/08/14 09:33:01 PM,%RH,84.936
05/08/14 09:53:01 PM,%RH,65.107
05/08/14 10:13:01 PM,%RH,73.052
05/08/14 10:33:01 PM,%RH,73.052
05/08/14 10:53:01 PM,%RH,68.549
05/08/14 11:13:01 PM,%RH,69.117
05/08/14 11:33:01 PM,%RH,70.249
05/08/14 11:53:01 PM,%RH,74.163
06/08/14 12:13:01 AM,%RH,76.366
06/08/14 12:33:01 AM,%RH,76.913
06/08/14 12:53:01 AM,%RH,77.459
06/08/14 01:13:01 AM,%RH,79.625
06/08/14 01:33:01 AM,%RH,82.83
06/08/14 01:53:01 AM,%RH,85.458
06/08/14 02:13:01 AM,%RH,88.049
06/08/14 02:33:01 AM,%RH,90.094
06/08/14 02:53:01 AM,%RH,88.562
06/08/14 03:13:01 AM,%RH,90.601
06/08/14 03:33:01 AM,%RH,90.601
06/08/14 03:53:01 AM,%RH,90.601
06/08/14 04:13:01 AM,%RH,91.107
06/08/14 04:33:01 AM,%RH,91.612
06/08/14 04:53:01 AM,%RH,93.116
06/08/14 05:13:01 AM,%RH,93.116
06/08/14 05:33:01 AM,%RH,92.115
06/08/14 05:53:01 AM,%RH,92.115
06/08/14 06:13:01 AM,%RH,93.614
06/08/14 06:33:01 AM,%RH,95.592
06/08/14 06:53:01 AM,%RH,98.031
06/08/14 07:13:01 AM,%RH,99.476
06/08/14 07:33:01 AM,%RH,100.431
06/08/14 07:53:01 AM,%RH,99.476
06/08/14 08:13:01 AM,%RH,99.954
06/08/14 08:33:01 AM,%RH,100.431
06/08/14 08:53:01 AM,%RH,99.954
06/08/14 09:13:01 AM,%RH,99.476
06/08/14 09:33:01 AM,%RH,97.546
06/08/14 09:53:01 AM,%RH,96.083
06/08/14 10:13:01 AM,%RH,92.115
06/08/14 10:33:01 AM,%RH,83.358
06/08/14 10:53:01 AM,%RH,63.366
06/08/14 11:13:01 AM,%RH,58.06
06/08/14 11:33:01 AM,%RH,46.454
06/08/14 11:53:01 AM,%RH,61.611
06/08/14 12:13:01 PM,%RH,70.249
06/08/14 12:33:01 PM,%RH,74.716
06/08/14 12:53:01 PM,%RH,84.936
06/08/14 01:13:01 PM,%RH,82.299
06/08/14 01:33:01 PM,%RH,79.086
06/08/14 01:53:01 PM,%RH,74.716
06/08/14 02:13:01 PM,%RH,79.625
06/08/14 02:33:01 PM,%RH,80.7
06/08/14 02:53:01 PM,%RH,81.234
06/08/14 03:13:01 PM,%RH,80.163
06/08/14 03:33:01 PM,%RH,81.234
06/08/14 03:53:01 PM,%RH,81.234
06/08/14 04:13:01 PM,%RH,83.358
06/08/14 04:33:01 PM,%RH,87.017
06/08/14 04:53:01 PM,%RH,92.616
06/08/14 05:13:01 PM,%RH,94.606
06/08/14 05:33:01 PM,%RH,96.083
06/08/14 05:53:01 PM,%RH,98.031
06/08/14 06:13:01 PM,%RH,99.476
06/08/14 06:33:01 PM,%RH,98.996
06/08/14 06:53:01 PM,%RH,99.476
06/08/14 07:13:01 PM,%RH,99.476
06/08/14 07:33:01 PM,%RH,99.476
06/08/14 07:53:01 PM,%RH,98.996
06/08/14 08:13:01 PM,%RH,99.954
06/08/14 08:33:01 PM,%RH,100.431
06/08/14 08:53:01 PM,%RH,98.514
06/08/14 09:13:01 PM,%RH,97.546
06/08/14 09:33:01 PM,%RH,95.1
06/08/14 09:53:01 PM,%RH,95.592
06/08/14 10:13:01 PM,%RH,98.514
06/08/14 10:33:01 PM,%RH,98.996
06/08/14 10:53:01 PM,%RH,98.996
06/08/14 11:13:01 PM,%RH,98.514
06/08/14 11:33:01 PM,%RH,99.476
06/08/14 11:53:01 PM,%RH,96.572
07/08/14 12:13:01 AM,%RH,96.572
07/08/14 12:33:01 AM,%RH,98.031
07/08/14 12:53:01 AM,%RH,99.476
07/08/14 01:13:01 AM,%RH,99.476
07/08/14 01:33:01 AM,%RH,99.954
07/08/14 01:53:01 AM,%RH,97.06
07/08/14 02:13:01 AM,%RH,96.083
07/08/14 02:33:01 AM,%RH,97.06
07/08/14 02:53:01 AM,%RH,95.592
07/08/14 03:13:01 AM,%RH,98.514
07/08/14 03:33:01 AM,%RH,99.954
07/08/14 03:53:01 AM,%RH,99.954
07/08/14 04:13:01 AM,%RH,99.954
07/08/14 04:33:01 AM,%RH,96.572
07/08/14 04:53:01 AM,%RH,94.606
07/08/14 05:13:01 AM,%RH,92.115
07/08/14 05:33:01 AM,%RH,91.612
07/08/14 05:53:01 AM,%RH,90.601
07/08/14 06:13:01 AM,%RH,91.107
07/08/14 06:33:01 AM,%RH,89.585
07/08/14 06:53:01 AM,%RH,90.601
07/08/14 07:13:01 AM,%RH,88.562
07/08/14 07:33:01 AM,%RH,80.7
07/08/14 07:53:01 AM,%RH,81.768
07/08/14 08:13:01 AM,%RH,70.813
07/08/14 08:33:01 AM,%RH,59.842
07/08/14 08:53:01 AM,%RH,55.662
07/08/14 09:13:01 AM,%RH,67.979
07/08/14 09:33:01 AM,%RH,70.249
07/08/14 09:53:01 AM,%RH,53.848
07/08/14 10:13:01 AM,%RH,57.463
07/08/14 10:33:01 AM,%RH,55.059
07/08/14 10:53:01 AM,%RH,59.842
07/08/14 11:13:01 AM,%RH,66.835
07/08/14 11:33:01 AM,%RH,61.611
07/08/14 11:53:01 AM,%RH,56.264
07/08/14 12:13:01 PM,%RH,61.611
07/08/14 12:33:01 PM,%RH,63.948
07/08/14 12:53:01 PM,%RH,65.107
07/08/14 01:13:01 PM,%RH,67.408
07/08/14 01:33:01 PM,%RH,68.549
07/08/14 01:53:01 PM,%RH,74.716
07/08/14 02:13:01 PM,%RH,76.366
07/08/14 02:33:01 PM,%RH,79.625
07/08/14 02:53:01 PM,%RH,81.234
07/08/14 03:13:01 PM,%RH,77.459
07/08/14 03:33:01 PM,%RH,80.7
07/08/14 03:53:01 PM,%RH,75.268
07/08/14 04:13:01 PM,%RH,76.913
07/08/14 04:33:01 PM,%RH,78.545
07/08/14 04:53:01 PM,%RH,79.625
07/08/14 05:13:01 PM,%RH,88.049
07/08/14 05:33:01 PM,%RH,90.601
07/08/14 05:53:01 PM,%RH,95.1
07/08/14 06:13:01 PM,%RH,98.031
07/08/14 06:33:01 PM,%RH,98.996
07/08/14 06:53:01 PM,%RH,98.996
07/08/14 07:13:01 PM,%RH,98.031
07/08/14 07:33:01 PM,%RH,99.476
07/08/14 07:53:01 PM,%RH,98.996
07/08/14 08:13:01 PM,%RH,97.546
07/08/14 08:33:01 PM,%RH,96.083
07/08/14 08:53:01 PM,%RH,97.06
07/08/14 09:13:01 PM,%RH,96.083
07/08/14 09:33:01 PM,%RH,96.572
07/08/14 09:53:01 PM,%RH,92.616
07/08/14 10:13:01 PM,%RH,96.083
07/08/14 10:33:01 PM,%RH,97.06
07/08/14 10:53:01 PM,%RH,98.031
07/08/14 11:13:01 PM,%RH,98.031
07/08/14 11:33:01 PM,%RH,98.514
07/08/14 11:53:01 PM,%RH,98.514
08/08/14 12:13:01 AM,%RH,99.476
08/08/14 12:33:01 AM,%RH,100.431
08/08/14 12:53:01 AM,%RH,99.954
08/08/14 01:13:01 AM,%RH,100.431
08/08/14 01:33:01 AM,%RH,100.907
08/08/14 01:53:01 AM,%RH,100.431
08/08/14 02:13:01 AM,%RH,99.476
08/08/14 02:33:01 AM,%RH,96.572
08/08/14 02:53:01 AM,%RH,98.514
08/08/14 03:13:01 AM,%RH,98.514
08/08/14 03:33:01 AM,%RH,97.06
08/08/14 03:53:01 AM,%RH,95.592
08/08/14 04:13:01 AM,%RH,96.083
08/08/14 04:33:01 AM,%RH,94.606
08/08/14 04:53:01 AM,%RH,97.06
08/08/14 05:13:01 AM,%RH,99.954
08/08/14 05:33:01 AM,%RH,100.907
08/08/14 05:53:01 AM,%RH,100.907
08/08/14 06:13:01 AM,%RH,100.431
08/08/14 06:33:01 AM,%RH,100.907
08/08/14 06:53:01 AM,%RH,99.954
08/08/14 07:13:01 AM,%RH,100.431
08/08/14 07:33:01 AM,%RH,100.907
08/08/14 07:53:01 AM,%RH,101.853
08/08/14 08:13:01 AM,%RH,101.381
08/08/14 08:33:01 AM,%RH,100.907
08/08/14 08:53:01 AM,%RH,100.431
08/08/14 09:13:01 AM,%RH,100.431
08/08/14 09:33:01 AM,%RH,100.431
08/08/14 09:53:01 AM,%RH,100.431
08/08/14 10:13:01 AM,%RH,99.954
08/08/14 10:33:01 AM,%RH,99.476
08/08/14 10:53:01 AM,%RH,100.907
08/08/14 11:13:01 AM,%RH,99.954
08/08/14 11:33:01 AM,%RH,100.907
08/08/14 11:53:01 AM,%RH,100.431
08/08/14 12:13:01 PM,%RH,100.431
08/08/14 12:33:01 PM,%RH,100.907
08/08/14 12:53:01 PM,%RH,99.954
08/08/14 01:13:01 PM,%RH,98.996
08/08/14 01:33:01 PM,%RH,97.06
08/08/14 01:53:01 PM,%RH,98.031
08/08/14 02:13:01 PM,%RH,98.514
08/08/14 02:33:01 PM,%RH,98.996
08/08/14 02:53:01 PM,%RH,98.996
08/08/14 03:13:01 PM,%RH,98.996
08/08/14 03:33:01 PM,%RH,99.476
08/08/14 03:53:01 PM,%RH,100.431
08/08/14 04:13:01 PM,%RH,100.907
08/08/14 04:33:01 PM,%RH,100.431
08/08/14 04:53:01 PM,%RH,100.907
08/08/14 05:13:01 PM,%RH,101.381
08/08/14 05:33:01 PM,%RH,100.907
08/08/14 05:53:01 PM,%RH,100.907
08/08/14 06:13:01 PM,%RH,100.907
08/08/14 06:33:01 PM,%RH,100.907
08/08/14 06:53:01 PM,%RH,99.954
08/08/14 07:13:01 PM,%RH,101.853
08/08/14 07:33:01 PM,%RH,102.324
08/08/14 07:53:01 PM,%RH,101.381
08/08/14 08:13:01 PM,%RH,102.324
08/08/14 08:33:01 PM,%RH,101.853
08/08/14 08:53:01 PM,%RH,101.381
08/08/14 09:13:01 PM,%RH,103.262
08/08/14 09:33:01 PM,%RH,101.853
08/08/14 09:53:01 PM,%RH,101.381
08/08/14 10:13:01 PM,%RH,101.853
08/08/14 10:33:01 PM,%RH,102.324
08/08/14 10:53:01 PM,%RH,101.853
08/08/14 11:13:01 PM,%RH,101.853
08/08/14 11:33:01 PM,%RH,101.853
08/08/14 11:53:01 PM,%RH,102.324
09/08/14 12:13:01 AM,%RH,101.853
09/08/14 12:33:01 AM,%RH,101.853
09/08/14 12:53:01 AM,%RH,100.907
09/08/14 01:13:01 AM,%RH,101.853
09/08/14 01:33:01 AM,%RH,101.853
09/08/14 01:53:01 AM,%RH,100.907
09/08/14 02:13:01 AM,%RH,101.381
09/08/14 02:33:01 AM,%RH,101.853
09/08/14 02:53:01 AM,%RH,101.853
09/08/14 03:13:01 AM,%RH,101.381
09/08/14 03:33:01 AM,%RH,102.324
09/08/14 03:53:01 AM,%RH,102.324
09/08/14 04:13:01 AM,%RH,101.853
09/08/14 04:33:01 AM,%RH,102.324
09/08/14 04:53:01 AM,%RH,101.381
09/08/14 05:13:01 AM,%RH,102.324
09/08/14 05:33:01 AM,%RH,101.853
09/08/14 05:53:01 AM,%RH,100.907
09/08/14 06:13:01 AM,%RH,82.299
09/08/14 06:33:01 AM,%RH,83.358
09/08/14 06:53:01 AM,%RH,76.366
09/08/14 07:13:01 AM,%RH,71.375
09/08/14 07:33:01 AM,%RH,67.408
09/08/14 07:53:01 AM,%RH,65.107
09/08/14 08:13:01 AM,%RH,59.842
09/08/14 08:33:01 AM,%RH,56.864
09/08/14 08:53:01 AM,%RH,54.454
09/08/14 09:13:01 AM,%RH,47.702
