1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AB000000337C8141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:43:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10880
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:43:01 PM,%RH,101.976
04/08/14 08:03:01 PM,%RH,101.976
04/08/14 08:23:01 PM,%RH,102.471
04/08/14 08:43:01 PM,%RH,101.976
04/08/14 09:03:01 PM,%RH,102.965
04/08/14 09:23:01 PM,%RH,102.965
04/08/14 09:43:01 PM,%RH,102.965
04/08/14 10:03:01 PM,%RH,102.965
04/08/14 10:23:01 PM,%RH,103.457
04/08/14 10:43:01 PM,%RH,102.965
04/08/14 11:03:01 PM,%RH,103.457
04/08/14 11:23:01 PM,%RH,102.471
04/08/14 11:43:01 PM,%RH,102.965
05/08/14 12:03:01 AM,%RH,103.457
05/08/14 12:23:01 AM,%RH,102.965
05/08/14 12:43:01 AM,%RH,104.926
05/08/14 01:03:01 AM,%RH,103.457
05/08/14 01:23:01 AM,%RH,102.965
05/08/14 01:43:01 AM,%RH,103.948
05/08/14 02:03:01 AM,%RH,103.457
05/08/14 02:23:01 AM,%RH,103.457
05/08/14 02:43:01 AM,%RH,102.471
05/08/14 03:03:01 AM,%RH,103.457
05/08/14 03:23:01 AM,%RH,102.965
05/08/14 03:43:01 AM,%RH,103.948
05/08/14 04:03:01 AM,%RH,103.948
05/08/14 04:23:01 AM,%RH,103.457
05/08/14 04:43:01 AM,%RH,103.457
05/08/14 05:03:01 AM,%RH,103.457
05/08/14 05:23:01 AM,%RH,103.948
05/08/14 05:43:01 AM,%RH,103.948
05/08/14 06:03:01 AM,%RH,103.457
05/08/14 06:23:01 AM,%RH,103.457
05/08/14 06:43:01 AM,%RH,103.457
05/08/14 07:03:01 AM,%RH,102.471
05/08/14 07:23:01 AM,%RH,99.983
05/08/14 07:43:01 AM,%RH,96.954
05/08/14 08:03:01 AM,%RH,93.359
05/08/14 08:23:01 AM,%RH,88.11
05/08/14 08:43:01 AM,%RH,79.986
05/08/14 09:03:01 AM,%RH,58.664
05/08/14 09:23:01 AM,%RH,62.838
05/08/14 09:43:01 AM,%RH,56.855
05/08/14 10:03:01 AM,%RH,56.249
05/08/14 10:23:01 AM,%RH,55.642
05/08/14 10:43:01 AM,%RH,55.642
05/08/14 11:03:01 AM,%RH,60.461
05/08/14 11:23:01 AM,%RH,61.652
05/08/14 11:43:01 AM,%RH,53.814
05/08/14 12:03:01 PM,%RH,58.664
05/08/14 12:23:01 PM,%RH,69.841
05/08/14 12:43:01 PM,%RH,60.461
05/08/14 01:03:01 PM,%RH,59.863
05/08/14 01:23:01 PM,%RH,64.018
05/08/14 01:43:01 PM,%RH,77.211
05/08/14 02:03:01 PM,%RH,75.53
05/08/14 02:23:01 PM,%RH,69.841
05/08/14 02:43:01 PM,%RH,62.246
05/08/14 03:03:01 PM,%RH,64.018
05/08/14 03:23:01 PM,%RH,68.108
05/08/14 03:43:01 PM,%RH,72.133
05/08/14 04:03:01 PM,%RH,78.88
05/08/14 04:23:01 PM,%RH,81.086
05/08/14 04:43:01 PM,%RH,84.356
05/08/14 05:03:01 PM,%RH,85.973
05/08/14 05:23:01 PM,%RH,90.751
05/08/14 05:43:01 PM,%RH,92.84
05/08/14 06:03:01 PM,%RH,97.462
05/08/14 06:23:01 PM,%RH,98.475
05/08/14 06:43:01 PM,%RH,98.475
05/08/14 07:03:01 PM,%RH,96.444
05/08/14 07:23:01 PM,%RH,94.393
05/08/14 07:43:01 PM,%RH,93.876
05/08/14 08:03:01 PM,%RH,94.393
05/08/14 08:23:01 PM,%RH,93.876
05/08/14 08:43:01 PM,%RH,94.908
05/08/14 09:03:01 PM,%RH,97.969
05/08/14 09:23:01 PM,%RH,97.462
05/08/14 09:43:01 PM,%RH,96.954
05/08/14 10:03:01 PM,%RH,96.954
05/08/14 10:23:01 PM,%RH,97.969
05/08/14 10:43:01 PM,%RH,96.954
05/08/14 11:03:01 PM,%RH,98.475
05/08/14 11:23:01 PM,%RH,97.969
05/08/14 11:43:01 PM,%RH,98.979
06/08/14 12:03:01 AM,%RH,99.983
06/08/14 12:23:01 AM,%RH,99.482
06/08/14 12:43:01 AM,%RH,99.983
06/08/14 01:03:01 AM,%RH,100.982
06/08/14 01:23:01 AM,%RH,100.484
06/08/14 01:43:01 AM,%RH,100.982
06/08/14 02:03:01 AM,%RH,99.482
06/08/14 02:23:01 AM,%RH,99.983
06/08/14 02:43:01 AM,%RH,100.484
06/08/14 03:03:01 AM,%RH,98.979
06/08/14 03:23:01 AM,%RH,99.983
06/08/14 03:43:01 AM,%RH,99.983
06/08/14 04:03:01 AM,%RH,101.976
06/08/14 04:23:01 AM,%RH,100.484
06/08/14 04:43:01 AM,%RH,100.484
06/08/14 05:03:01 AM,%RH,99.482
06/08/14 05:23:01 AM,%RH,99.983
06/08/14 05:43:01 AM,%RH,99.983
06/08/14 06:03:01 AM,%RH,98.979
06/08/14 06:23:01 AM,%RH,98.475
06/08/14 06:43:01 AM,%RH,99.482
06/08/14 07:03:01 AM,%RH,99.983
06/08/14 07:23:01 AM,%RH,100.982
06/08/14 07:43:01 AM,%RH,101.976
06/08/14 08:03:01 AM,%RH,101.976
06/08/14 08:23:01 AM,%RH,101.48
06/08/14 08:43:01 AM,%RH,99.983
06/08/14 09:03:01 AM,%RH,100.484
06/08/14 09:23:01 AM,%RH,98.979
06/08/14 09:43:01 AM,%RH,91.798
06/08/14 10:03:01 AM,%RH,89.17
06/08/14 10:23:01 AM,%RH,81.635
06/08/14 10:43:01 AM,%RH,73.271
