1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1B000000337BDB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:03:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10803
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:03:01 PM,%RH,101.588
04/08/14 08:23:01 PM,%RH,100.634
04/08/14 08:43:01 PM,%RH,101.588
04/08/14 09:03:01 PM,%RH,102.063
04/08/14 09:23:01 PM,%RH,102.063
04/08/14 09:43:01 PM,%RH,101.588
04/08/14 10:03:01 PM,%RH,102.536
04/08/14 10:23:01 PM,%RH,102.063
04/08/14 10:43:01 PM,%RH,102.063
04/08/14 11:03:01 PM,%RH,102.063
04/08/14 11:23:01 PM,%RH,102.063
04/08/14 11:43:01 PM,%RH,102.063
05/08/14 12:03:01 AM,%RH,102.063
05/08/14 12:23:01 AM,%RH,100.634
05/08/14 12:43:01 AM,%RH,102.536
05/08/14 01:03:01 AM,%RH,102.063
05/08/14 01:23:01 AM,%RH,102.063
05/08/14 01:43:01 AM,%RH,103.008
05/08/14 02:03:01 AM,%RH,101.588
05/08/14 02:23:01 AM,%RH,102.063
05/08/14 02:43:01 AM,%RH,102.536
05/08/14 03:03:01 AM,%RH,102.536
05/08/14 03:23:01 AM,%RH,102.536
05/08/14 03:43:01 AM,%RH,102.536
05/08/14 04:03:01 AM,%RH,102.536
05/08/14 04:23:01 AM,%RH,102.063
05/08/14 04:43:01 AM,%RH,102.063
05/08/14 05:03:01 AM,%RH,103.008
05/08/14 05:23:01 AM,%RH,102.536
05/08/14 05:43:01 AM,%RH,102.063
05/08/14 06:03:01 AM,%RH,103.008
05/08/14 06:23:01 AM,%RH,101.588
05/08/14 06:43:01 AM,%RH,102.063
05/08/14 07:03:01 AM,%RH,102.063
05/08/14 07:23:01 AM,%RH,101.111
05/08/14 07:43:01 AM,%RH,100.634
05/08/14 08:03:01 AM,%RH,99.191
05/08/14 08:23:01 AM,%RH,89.748
05/08/14 08:43:01 AM,%RH,77.606
05/08/14 09:03:01 AM,%RH,67.559
05/08/14 09:23:01 AM,%RH,64.684
05/08/14 09:43:01 AM,%RH,61.772
05/08/14 10:03:01 AM,%RH,58.228
05/08/14 10:23:01 AM,%RH,60.596
05/08/14 10:43:01 AM,%RH,56.437
05/08/14 11:03:01 AM,%RH,55.235
05/08/14 11:23:01 AM,%RH,65.838
05/08/14 11:43:01 AM,%RH,56.437
05/08/14 12:03:01 PM,%RH,61.185
05/08/14 12:23:01 PM,%RH,66.987
05/08/14 12:43:01 PM,%RH,58.228
05/08/14 01:03:01 PM,%RH,57.633
05/08/14 01:23:01 PM,%RH,62.941
05/08/14 01:43:01 PM,%RH,75.415
05/08/14 02:03:01 PM,%RH,74.863
05/08/14 02:23:01 PM,%RH,69.833
05/08/14 02:43:01 PM,%RH,67.559
05/08/14 03:03:01 PM,%RH,70.961
05/08/14 03:23:01 PM,%RH,73.2
05/08/14 03:43:01 PM,%RH,77.06
05/08/14 04:03:01 PM,%RH,80.849
05/08/14 04:23:01 PM,%RH,82.981
05/08/14 04:43:01 PM,%RH,85.613
05/08/14 05:03:01 PM,%RH,87.693
05/08/14 05:23:01 PM,%RH,94.785
05/08/14 05:43:01 PM,%RH,95.774
05/08/14 06:03:01 PM,%RH,96.267
05/08/14 06:23:01 PM,%RH,98.222
05/08/14 06:43:01 PM,%RH,98.707
05/08/14 07:03:01 PM,%RH,98.707
05/08/14 07:23:01 PM,%RH,99.191
05/08/14 07:43:01 PM,%RH,98.222
05/08/14 08:03:01 PM,%RH,96.758
05/08/14 08:23:01 PM,%RH,96.758
05/08/14 08:43:01 PM,%RH,96.758
05/08/14 09:03:01 PM,%RH,96.758
05/08/14 09:23:01 PM,%RH,97.247
05/08/14 09:43:01 PM,%RH,95.28
05/08/14 10:03:01 PM,%RH,92.788
05/08/14 10:23:01 PM,%RH,91.275
05/08/14 10:43:01 PM,%RH,96.758
05/08/14 11:03:01 PM,%RH,95.28
05/08/14 11:23:01 PM,%RH,96.267
05/08/14 11:43:01 PM,%RH,95.774
06/08/14 12:03:01 AM,%RH,95.774
06/08/14 12:23:01 AM,%RH,96.758
06/08/14 12:43:01 AM,%RH,98.222
06/08/14 01:03:01 AM,%RH,98.707
06/08/14 01:23:01 AM,%RH,99.673
06/08/14 01:43:01 AM,%RH,99.673
06/08/14 02:03:01 AM,%RH,100.154
06/08/14 02:23:01 AM,%RH,99.191
06/08/14 02:43:01 AM,%RH,99.673
06/08/14 03:03:01 AM,%RH,100.154
06/08/14 03:23:01 AM,%RH,100.154
06/08/14 03:43:01 AM,%RH,99.673
06/08/14 04:03:01 AM,%RH,99.191
06/08/14 04:23:01 AM,%RH,98.707
06/08/14 04:43:01 AM,%RH,99.191
06/08/14 05:03:01 AM,%RH,99.673
06/08/14 05:23:01 AM,%RH,99.673
06/08/14 05:43:01 AM,%RH,99.191
06/08/14 06:03:01 AM,%RH,97.736
06/08/14 06:23:01 AM,%RH,98.707
06/08/14 06:43:01 AM,%RH,99.191
06/08/14 07:03:01 AM,%RH,97.736
06/08/14 07:23:01 AM,%RH,100.154
06/08/14 07:43:01 AM,%RH,100.154
06/08/14 08:03:01 AM,%RH,99.673
06/08/14 08:23:01 AM,%RH,100.154
06/08/14 08:43:01 AM,%RH,99.673
06/08/14 09:03:01 AM,%RH,99.673
06/08/14 09:23:01 AM,%RH,96.758
06/08/14 09:43:01 AM,%RH,90.259
06/08/14 10:03:01 AM,%RH,88.209
06/08/14 10:23:01 AM,%RH,78.15
06/08/14 10:43:01 AM,%RH,68.13
06/08/14 11:03:01 AM,%RH,67.559
06/08/14 11:23:01 AM,%RH,61.185
06/08/14 11:43:01 AM,%RH,62.357
06/08/14 12:03:01 PM,%RH,74.31
06/08/14 12:23:01 PM,%RH,77.606
06/08/14 12:43:01 PM,%RH,85.09
