1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000003382C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:09:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:49:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10827
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:49:01 PM,%RH,102.156
04/08/14 09:09:01 PM,%RH,102.618
04/08/14 09:29:01 PM,%RH,101.691
04/08/14 09:49:01 PM,%RH,102.156
04/08/14 10:09:01 PM,%RH,102.156
04/08/14 10:29:01 PM,%RH,101.691
04/08/14 10:49:01 PM,%RH,102.156
04/08/14 11:09:01 PM,%RH,102.156
04/08/14 11:29:01 PM,%RH,102.156
04/08/14 11:49:01 PM,%RH,102.156
05/08/14 12:09:01 AM,%RH,102.156
05/08/14 12:29:01 AM,%RH,102.156
05/08/14 12:49:01 AM,%RH,102.156
05/08/14 01:09:01 AM,%RH,102.618
05/08/14 01:29:01 AM,%RH,102.156
05/08/14 01:49:01 AM,%RH,102.156
05/08/14 02:09:01 AM,%RH,102.156
05/08/14 02:29:01 AM,%RH,102.156
05/08/14 02:49:01 AM,%RH,102.618
05/08/14 03:09:01 AM,%RH,102.156
05/08/14 03:29:01 AM,%RH,102.618
05/08/14 03:49:01 AM,%RH,101.225
05/08/14 04:09:01 AM,%RH,103.08
05/08/14 04:29:01 AM,%RH,103.08
05/08/14 04:49:01 AM,%RH,101.691
05/08/14 05:09:01 AM,%RH,101.691
05/08/14 05:29:01 AM,%RH,101.691
05/08/14 05:49:01 AM,%RH,102.156
05/08/14 06:09:01 AM,%RH,102.618
05/08/14 06:29:01 AM,%RH,102.156
05/08/14 06:49:01 AM,%RH,101.691
05/08/14 07:09:01 AM,%RH,101.225
05/08/14 07:29:01 AM,%RH,99.818
05/08/14 07:49:01 AM,%RH,98.397
05/08/14 08:09:01 AM,%RH,83.921
05/08/14 08:29:01 AM,%RH,72.053
05/08/14 08:49:01 AM,%RH,66.976
05/08/14 09:09:01 AM,%RH,61.186
05/08/14 09:29:01 AM,%RH,69.248
05/08/14 09:49:01 AM,%RH,64.101
05/08/14 10:09:01 AM,%RH,58.231
