1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B500000033824641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:06:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:46:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10853
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:46:01 PM,%RH,101.972
04/08/14 09:06:01 PM,%RH,101.972
04/08/14 09:26:01 PM,%RH,101.972
04/08/14 09:46:01 PM,%RH,102.442
04/08/14 10:06:01 PM,%RH,101.972
04/08/14 10:26:01 PM,%RH,102.442
04/08/14 10:46:01 PM,%RH,102.911
04/08/14 11:06:01 PM,%RH,101.972
04/08/14 11:26:01 PM,%RH,101.972
04/08/14 11:46:01 PM,%RH,102.911
05/08/14 12:06:01 AM,%RH,102.911
05/08/14 12:26:01 AM,%RH,101.972
05/08/14 12:46:01 AM,%RH,102.442
05/08/14 01:06:01 AM,%RH,102.442
05/08/14 01:26:01 AM,%RH,102.442
05/08/14 01:46:01 AM,%RH,102.442
05/08/14 02:06:01 AM,%RH,103.378
05/08/14 02:26:01 AM,%RH,102.442
05/08/14 02:46:01 AM,%RH,102.911
05/08/14 03:06:01 AM,%RH,102.442
05/08/14 03:26:01 AM,%RH,102.442
05/08/14 03:46:01 AM,%RH,102.442
05/08/14 04:06:01 AM,%RH,102.442
05/08/14 04:26:01 AM,%RH,102.442
05/08/14 04:46:01 AM,%RH,101.972
05/08/14 05:06:01 AM,%RH,102.442
05/08/14 05:26:01 AM,%RH,102.911
05/08/14 05:46:01 AM,%RH,102.442
05/08/14 06:06:01 AM,%RH,101.972
05/08/14 06:26:01 AM,%RH,101.972
05/08/14 06:46:01 AM,%RH,100.553
05/08/14 07:06:01 AM,%RH,101.501
05/08/14 07:26:01 AM,%RH,101.972
05/08/14 07:46:01 AM,%RH,101.501
05/08/14 08:06:01 AM,%RH,101.501
05/08/14 08:26:01 AM,%RH,101.501
05/08/14 08:46:01 AM,%RH,100.553
05/08/14 09:06:01 AM,%RH,101.501
05/08/14 09:26:01 AM,%RH,100.553
05/08/14 09:46:01 AM,%RH,95.226
05/08/14 10:06:01 AM,%RH,78.11
05/08/14 10:26:01 AM,%RH,77.018
05/08/14 10:46:01 AM,%RH,78.654
05/08/14 11:06:01 AM,%RH,78.11
05/08/14 11:26:01 AM,%RH,78.654
05/08/14 11:46:01 AM,%RH,74.815
05/08/14 12:06:01 PM,%RH,75.919
05/08/14 12:26:01 PM,%RH,79.737
05/08/14 12:46:01 PM,%RH,75.368
05/08/14 01:06:01 PM,%RH,69.766
05/08/14 01:26:01 PM,%RH,75.919
05/08/14 01:46:01 PM,%RH,82.947
05/08/14 02:06:01 PM,%RH,79.737
05/08/14 02:26:01 PM,%RH,78.11
